年份,工业企业国家资本金,轻工业企业国家资本金,重工业企业国家资本金,大型工业企业国家资本金,中型工业企业国家资本金,小型工业企业国家资本金,内资工业企业国家资本金,国有工业企业国家资本金,集体工业企业国家资本金,股份合作工业企业国家资本金,联营工业企业国家资本金,国有联营工业企业国家资本金,集体联营工业企业国家资本金,国有与集体联营工业企业国家资本金,其他联营工业企业国家资本金,有限责任公司工业企业国家资本金,国有独资公司工业企业国家资本金,其他有限责任公司工业企业国家资本金,股份有限公司工业企业国家资本金,私营工业企业国家资本金,私营独资工业企业国家资本金,私营合伙工业企业国家资本金,私营有限责任公司工业企业国家资本金,私营股份有限公司工业企业国家资本金,其他工业企业国家资本金,港、澳、台商投资工业企业国家资本金,合资经营(港或澳、台资)工业企业国家资本金,合作经营(港或澳、台资)工业企业国家资本金,港澳台商独资经营工业企业国家资本金,港澳台商投资股份有限公司工业企业国家资本金,其他港澳台商投资工业企业国家资本金,外商投资工业企业国家资本金,中外合资经营工业企业国家资本金,中外合作经营工业企业国家资本金,外资工业企业国家资本金,外商投资股份有限公司工业企业国家资本金,其他外商投资工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,80050.92,4727.78,75323.14,41399.38,28161.44,10490.1,76414.42,14495.78,2.9,0.37,3.58,1.62,0.51,1.45,0.0,51060.03,15860.42,35199.61,10525.08,315.58,1.37,0.7,283.05,30.45,11.1,1237.52,924.53,79.6,195.48,34.71,3.2,2398.98,2026.19,144.71,107.72,110.97,9.39
2016,59163.1,3990.56,55172.54,37151.54,10141.2,11870.36,56080.04,15601.85,2.39,1.04,6.42,3.66,0.51,2.21,0.03,30150.54,12685.82,17464.73,10101.0,215.7,3.57,0.86,191.37,19.9,1.1,953.91,698.61,84.44,119.04,49.87,1.95,2129.16,1857.66,81.59,82.07,103.37,4.48
2015,53076.32,3490.01,49586.31,34141.79,9458.57,9475.96,50369.47,13170.98,7.02,3.22,17.85,4.1,0.01,12.25,1.48,25828.89,11487.16,14341.73,9790.48,1534.01,4.47,2.33,1502.41,24.79,17.03,931.44,721.87,52.09,118.25,37.29,1.95,1775.4,1480.67,82.37,71.29,140.27,0.8
2014,39470.22,3093.77,36376.45,25971.8,7515.74,5982.68,36758.66,7027.14,89.29,0.85,16.74,12.44,0.01,2.84,1.45,19882.61,8263.39,11619.22,9495.23,178.38,4.33,1.49,150.3,22.26,68.43,815.13,620.25,59.26,109.91,25.51,0.2,1896.43,1589.63,78.76,79.83,147.21,1.0
2013,34694.96,2832.34,31862.63,23137.33,6615.43,4942.2,32187.45,6940.54,7.33,1.83,11.73,6.96,0.03,3.3,1.45,16459.95,7271.9,9188.05,8573.79,150.78,7.14,1.62,126.87,15.15,41.5,637.88,480.35,58.3,67.36,30.19,1.68,1869.64,1442.0,86.83,96.66,243.38,0.77
2012,29227.92565,2381.81012,26846.11553,19587.91605,6249.66615,3390.34345,27239.7386,9976.5144,13.83547,58.50415,54.5413,31.83261,3.0599,15.84366,3.80513,9175.6648,4114.35309,5061.31171,7666.20117,131.94212,29.20436,3.70038,88.8743,10.16308,162.53519,467.78578,329.49301,45.22499,53.16916,39.87689,0.02173,1520.40127,1149.60355,84.58762,35.33715,250.87295,
2011,22601.38116,2164.13725,20437.24391,16086.56001,4305.61781,2209.20334,21158.81328,7911.79303,9.61453,25.40114,44.96841,32.52504,0.04,11.36125,1.04212,7086.10494,3365.0987,3721.00624,5935.14806,87.33503,23.21263,1.80677,54.85782,7.45781,58.44814,310.96777,254.29029,41.16567,7.95426,7.55755,,1131.60011,1017.53115,55.09935,26.36493,32.60468,
2010,20404.37269,2026.42546,18377.94723,10863.57783,7241.34355,2299.45131,18997.81598,8192.91903,15.26193,22.67334,34.03173,23.78106,0.163,9.18001,0.90766,7046.70768,3220.2489,3826.45878,3587.36585,86.98913,14.7332,3.88854,62.14524,6.22215,11.86729,320.33628,226.9716,69.87163,13.15906,10.33399,,1086.22043,846.5574,47.35852,21.01907,171.28544,
2009,21321.01674,2030.46661,19290.55013,11840.36641,7136.29732,2344.35301,19880.51313,7663.70087,12.1316,34.7865,37.59683,29.40602,0.25816,6.26198,1.67067,6906.73608,3397.57254,3509.16354,5145.38131,73.29882,15.87052,0.6193,52.82236,3.98664,6.88112,348.52298,200.65322,53.19776,33.25881,61.41319,,1091.98063,872.55484,21.3703,8.09617,189.95932,
2008,22859.26713,1992.86455,20866.40258,11978.81623,8541.63369,2338.81721,21515.3426,9942.63958,12.9358,25.61421,68.9921,51.23526,5.74805,9.75772,2.25107,6282.12083,3411.03933,2871.0815,5125.80165,50.25894,8.62284,1.16148,33.12052,7.3541,6.97949,400.50498,218.3247,43.51426,110.27933,28.38669,,943.41955,839.67402,41.71451,9.48555,52.54547,
