年份,工业企业本年应交增值税,轻工业企业本年应交增值税,重工业企业本年应交增值税,大型工业企业本年应交增值税,中型工业企业本年应交增值税,小型工业企业本年应交增值税,内资工业企业本年应交增值税,国有工业企业本年应交增值税,集体工业企业本年应交增值税,股份合作工业企业本年应交增值税,联营工业企业本年应交增值税,国有联营工业企业本年应交增值税,集体联营工业企业本年应交增值税,国有与集体联营工业企业本年应交增值税,其他联营工业企业本年应交增值税,有限责任公司工业企业本年应交增值税,国有独资公司工业企业本年应交增值税,其他有限责任公司工业企业本年应交增值税,股份有限公司工业企业本年应交增值税,私营工业企业本年应交增值税,私营独资工业企业本年应交增值税,私营合伙工业企业本年应交增值税,私营有限责任公司工业企业本年应交增值税,私营股份有限公司工业企业本年应交增值税,其他工业企业本年应交增值税,港、澳、台商投资工业企业本年应交增值税,合资经营(港或澳、台资)工业企业本年应交增值税,合作经营(港或澳、台资)工业企业本年应交增值税,港澳台商独资经营工业企业本年应交增值税,港澳台商投资股份有限公司工业企业本年应交增值税,其他港澳台商投资工业企业本年应交增值税,外商投资工业企业本年应交增值税,中外合资经营工业企业本年应交增值税,中外合作经营工业企业本年应交增值税,外资工业企业本年应交增值税,外商投资股份有限公司工业企业本年应交增值税,其他外商投资工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,33979.04,10073.47,23905.56,14500.42,8643.48,10835.14,27027.97,1904.22,194.26,44.85,11.92,6.3,2.9,1.12,1.6,10183.18,1913.38,8269.8,4214.65,10361.76,692.33,128.91,8844.17,696.35,113.12,2613.99,938.52,74.35,1482.84,114.2,4.07,4337.08,2378.7,130.23,1676.35,137.93,13.86
2013,33460.27,9689.84,23770.43,14542.68,8289.53,10628.06,26366.97,2079.24,212.07,50.18,18.55,10.95,3.85,1.47,2.27,9809.55,1879.31,7930.23,4096.28,9961.18,767.16,150.75,8350.38,692.9,139.92,2599.88,932.88,78.11,1472.13,112.58,4.18,4493.42,2415.97,138.78,1771.48,153.3,13.89
2012,29566.64,8368.15965,21198.4821,13255.36018,7259.30576,9051.97581,23365.30575,3224.69662,305.51143,131.66581,42.71602,21.99969,6.7456,6.90347,7.06726,7593.76205,1341.01115,6252.7509,3412.07797,8239.81361,1473.36807,250.04089,5978.76648,537.63817,415.06224,2247.30984,797.04097,63.73284,1297.79942,82.08825,6.64836,3954.02616,2099.20364,121.75859,1547.6267,175.23412,10.20311
2011,26302.71,7190.38452,19112.32913,12316.47264,6168.8279,7817.41311,20627.83992,2829.91627,309.7939,128.71986,44.58899,18.3855,11.08994,6.22421,8.88934,6995.70677,1426.30422,5569.40255,2977.00983,7023.81617,1321.47797,244.12013,5001.89897,456.3191,318.28813,1990.33533,770.43687,65.99047,1038.23558,111.80035,3.87206,3684.5384,2011.04445,75.46256,1446.86929,148.45197,2.71013
2010,22472.72,6107.1574,16365.55786,8505.76373,6547.77013,7419.1814,17351.63847,2591.21213,307.89206,130.06529,39.75316,22.88707,8.54622,4.26333,4.05654,5705.22258,1274.38527,4430.83731,2426.96475,6063.90771,1198.56514,215.34425,4268.12964,381.86868,86.62079,1683.22174,655.39416,56.7267,872.93292,98.16796,,3437.85505,1906.9737,72.8211,1296.14553,161.91472,
2009,17490.2,4963.34771,12526.8554,6274.56118,5138.29459,6077.34734,13456.15039,2119.85161,286.07051,125.26989,39.03785,22.97705,8.38479,3.05052,4.62549,4479.67406,1036.34394,3443.33012,1802.2383,4546.76132,908.57343,168.68292,3185.5226,283.98237,57.24685,1329.90088,535.4521,51.73173,676.20164,66.51541,,2704.15184,1497.25056,63.47214,1009.76988,133.65926,
2008,17690.72,4849.04749,12841.67333,6370.69532,5156.71471,6163.31079,13773.83563,2461.01468,300.04386,121.48559,68.19021,40.71173,9.99292,4.89503,12.59053,4475.16688,976.70878,3498.4581,1907.37478,4378.35622,882.96719,152.40478,3096.31425,246.67,62.20341,1375.15954,543.21141,52.85935,724.73242,54.35636,,2541.72565,1305.24832,67.21199,1039.08291,130.18243,
2007,13650.34,3634.95073,10015.3877,5436.89114,4015.88865,4197.55864,10633.61902,2032.73885,324.34701,110.27225,72.37134,48.54924,7.67538,7.16763,8.97909,3826.6984,930.5665,2896.1319,1532.5303,2698.444,499.89592,106.32473,1930.77921,161.44414,36.21687,1042.81783,476.02408,61.44771,453.91231,51.43373,,1973.90158,1077.35025,99.34136,673.26493,123.94504,
