年份,工业企业销售费用,轻工业企业销售费用,重工业企业销售费用,大型工业企业销售费用,中型工业企业销售费用,小型工业企业销售费用,内资工业企业销售费用,国有工业企业销售费用,集体工业企业销售费用,股份合作工业企业销售费用,联营工业企业销售费用,国有联营工业企业销售费用,集体联营工业企业销售费用,国有与集体联营工业企业销售费用,其他联营工业企业销售费用,有限责任公司工业企业销售费用,国有独资公司工业企业销售费用,其他有限责任公司工业企业销售费用,股份有限公司工业企业销售费用,私营工业企业销售费用,私营独资工业企业销售费用,私营合伙工业企业销售费用,私营有限责任公司工业企业销售费用,私营股份有限公司工业企业销售费用,其他工业企业销售费用,港、澳、台商投资工业企业销售费用,合资经营(港或澳、台资)工业企业销售费用,合作经营(港或澳、台资)工业企业销售费用,港澳台商独资经营工业企业销售费用,港澳台商投资股份有限公司工业企业销售费用,其他港澳台商投资工业企业销售费用,外商投资工业企业销售费用,中外合资经营工业企业销售费用,中外合作经营工业企业销售费用,外资工业企业销售费用,外商投资股份有限公司工业企业销售费用,其他外商投资工业企业销售费用
2019,31362.39,,,,,,,,,,,,,,,,,,,9929.31,,,,,,,,,,,,,,,,,
2018,31007.85,,,,,,,,,,,,,,,,,,,9260.32,,,,,,,,,,,,,,,,,
2017,31343.83,14782.49,16561.34,13133.25,8008.0,10202.58,23015.34,559.11,247.1,21.72,6.17,0.21,0.83,2.88,2.24,8724.16,947.11,7777.05,4211.28,9217.47,326.23,60.05,7964.66,866.53,28.32,3017.18,997.47,59.73,1778.49,157.83,23.67,5311.31,2346.06,87.62,2565.72,266.7,45.21
2016,31174.87,14767.39,16407.48,13239.69,7663.18,10271.99,22921.19,612.09,226.49,31.14,3.37,0.24,0.89,0.44,1.8,8772.0,790.53,7981.47,4044.55,9202.46,388.34,75.31,7905.45,833.36,29.09,2909.61,962.53,37.46,1703.76,169.48,36.37,5344.07,2402.93,88.73,2602.83,231.09,18.49
2015,29150.24,13691.72,15458.52,12192.79,7373.18,9584.27,21143.81,625.94,235.61,33.01,4.61,0.92,0.95,0.52,2.22,7798.91,751.44,7047.47,3748.96,8618.52,437.46,83.5,7350.26,747.31,78.24,2802.06,925.04,36.96,1659.99,169.27,10.79,5204.37,2305.24,90.1,2573.3,219.3,16.42
2014,28001.07,12936.68,15064.39,12108.81,6982.49,8909.77,19877.47,688.9,247.23,32.04,6.9,2.3,1.14,0.65,2.81,7153.19,766.18,6387.01,3731.09,7956.32,428.97,88.62,6753.96,684.77,61.8,2632.59,893.3,49.01,1543.08,142.38,4.82,5491.0,2572.62,96.37,2597.32,213.68,11.01
2013,25945.22,11848.84,14096.37,11167.45,6421.96,8355.81,18113.0,714.99,227.55,35.18,10.48,2.49,3.88,0.95,3.16,6459.3,759.47,5699.83,3423.58,7161.74,469.31,99.61,5984.39,608.44,80.18,2440.56,832.61,43.55,1433.33,127.61,3.46,5391.66,2520.18,88.84,2563.4,202.94,16.3
2012,22908.73516,10326.54774,12582.18742,10249.43951,5590.72201,7068.57364,15804.3213,1158.11859,279.74679,102.00826,19.66958,8.14358,4.63622,2.67574,4.21404,5038.59673,505.59386,4533.00287,2947.01393,5976.61277,981.44983,166.57239,4376.27361,452.31694,282.55465,2287.64276,743.49467,42.58848,1392.27817,104.31234,4.9691,4816.7711,2177.5686,87.71551,2350.30476,188.07539,13.10684
2011,20259.62828,9155.75741,11103.87087,9087.44186,4812.52234,6359.66408,13400.20067,1000.0617,271.31121,104.62176,24.2248,10.10175,5.16755,3.56867,5.38683,4349.42891,497.36522,3852.06369,2365.48745,5083.46638,878.4228,158.55244,3662.52896,383.96218,201.59846,2305.01408,643.78543,44.83645,1519.69162,94.79124,1.90934,4554.41353,2109.50562,72.86959,2193.68109,175.19853,3.1587
2010,17520.2741,7793.45762,9726.81648,5999.62861,5655.19904,5865.44645,11572.13366,841.1277,297.67544,97.89394,24.17241,8.99662,7.03966,4.89585,3.24028,3702.10672,443.42616,3258.68056,1968.91254,4573.61291,824.21412,153.20481,3247.90468,348.2893,66.632,1794.44123,581.82961,34.80791,1105.28311,72.5206,,4153.69921,1927.67678,74.4857,1928.97836,222.55837,
