年份,工业企业利润总额,轻工业企业利润总额,重工业企业利润总额,大型工业企业利润总额,中型工业企业利润总额,小型工业企业利润总额,内资工业企业利润总额,国有工业企业利润总额,集体工业企业利润总额,股份合作工业企业利润总额,联营工业企业利润总额,国有联营工业企业利润总额,集体联营工业企业利润总额,国有与集体联营工业企业利润总额,其他联营工业企业利润总额,有限责任公司工业企业利润总额,国有独资公司工业企业利润总额,其他有限责任公司工业企业利润总额,股份有限公司工业企业利润总额,私营工业企业利润总额,私营独资工业企业利润总额,私营合伙工业企业利润总额,私营有限责任公司工业企业利润总额,私营股份有限公司工业企业利润总额,其他工业企业利润总额,港、澳、台商投资工业企业利润总额,合资经营(港或澳、台资)工业企业利润总额,合作经营(港或澳、台资)工业企业利润总额,港澳台商独资经营工业企业利润总额,港澳台商投资股份有限公司工业企业利润总额,其他港澳台商投资工业企业利润总额,外商投资工业企业利润总额,中外合资经营工业企业利润总额,中外合作经营工业企业利润总额,外资工业企业利润总额,外商投资股份有限公司工业企业利润总额,其他外商投资工业企业利润总额
2019,65799.04,,,29526.36,16496.63,19776.06,49316.02,501.04,75.37,35.21,6.26,-0.25,1.69,1.93,2.88,19934.39,4062.11,15872.28,8107.32,20650.84,442.73,87.18,17818.35,2302.57,5.6,6770.7,2146.7,131.62,4131.56,318.42,42.4,9712.32,4598.41,203.48,4511.88,322.6,75.95
2018,71608.91,,,32129.4,15520.5,18701.5,49575.8,1816.6,102.2,22.8,9.3,0.2,1.9,,7.1,20312.7,2918.7,17394.0,10175.8,17137.0,553.4,97.0,14922.8,1563.8,-0.4,6454.5,2347.9,174.6,3425.6,439.4,67.1,10321.0,5228.8,211.6,4352.7,456.2,71.7
2017,74916.25,24106.87,50809.38,32713.06,18648.45,23554.74,56503.88,2244.62,340.41,51.55,11.97,0.38,3.33,1.09,7.16,21247.92,2631.49,18616.43,9654.84,23043.0,959.88,147.14,19986.75,1949.22,-90.43,7071.96,2533.73,227.57,3745.46,508.17,57.03,11340.42,5832.99,205.84,4727.28,500.21,74.11
2016,71921.43,25569.79,46351.64,26787.79,19405.01,25728.63,54323.96,1748.72,433.16,100.05,12.2,0.06,4.72,-0.09,7.5,18747.09,1907.08,16840.01,7678.99,25494.9,1342.51,190.9,21813.27,2148.22,108.86,6604.11,2413.14,206.49,3472.56,465.24,46.68,10993.36,5775.46,193.31,4619.42,382.04,23.12
2015,66187.07,23725.63,42461.45,23582.32,17982.59,24622.16,50281.3,2107.71,509.45,108.93,10.98,-0.68,4.16,-0.51,8.01,16712.49,1285.48,15427.01,6447.74,24249.73,1539.87,230.67,20562.81,1916.38,134.26,5948.33,2198.02,189.85,3222.69,327.26,10.51,9957.45,5445.22,183.93,3995.91,317.31,15.08
2014,68154.89,22318.62,45836.27,26350.78,17802.13,24001.98,51577.58,2708.44,540.72,117.5,20.61,6.29,4.67,0.64,9.01,17020.9,1656.44,15364.46,7413.04,23550.42,1693.77,261.61,19731.92,1863.11,205.95,5930.16,2105.2,200.6,3334.86,283.39,6.1,10647.15,5755.41,203.37,4264.72,399.12,24.53
2013,68378.91,21592.26,46786.65,26557.4,17449.82,24371.68,52576.32,2944.29,579.67,135.67,29.21,7.4,6.58,2.68,12.55,17216.45,1934.21,15282.23,8042.91,23327.08,1988.04,340.83,19200.8,1797.42,301.04,5455.83,1978.16,196.9,3032.43,243.87,4.48,10346.75,5589.37,242.68,4068.41,412.1,34.19
2012,61910.06,19075.07861,42834.97921,25169.83644,15400.33238,21339.889,47944.11703,3881.70654,894.6196,302.02637,67.2555,17.65618,16.51797,12.32074,20.76061,13916.70063,1633.0778,12283.62283,7649.55535,20191.90056,4029.24886,616.04132,14104.2248,1442.38558,1040.35248,4946.98651,1825.67905,146.01372,2756.50244,205.53806,13.25324,9018.95428,4736.68629,234.6582,3600.29757,424.68834,22.62388
2011,61396.33,17220.6039,44175.72717,26433.71456,15310.06079,19652.55572,45902.11435,3567.45131,864.44363,375.05324,111.3409,25.19112,21.99473,29.13821,35.01684,14259.96699,2099.7916,12160.17539,7647.56419,18155.52172,3687.90334,629.55449,12472.96786,1365.09603,920.77237,5521.08078,2008.19463,166.28686,3100.7813,234.46697,11.35102,9973.13594,5462.94452,185.09037,3893.63921,424.35793,7.10391
2010,53049.66,15018.54026,38031.12384,17630.35402,17346.83278,18072.4773,38030.11604,3302.7661,805.6565,319.02198,69.89742,27.5581,16.72287,10.33062,15.28583,11986.8309,1910.42066,10076.41024,6203.21573,15102.50338,3192.0697,574.278,10233.13599,1103.01969,240.22403,5113.43668,1846.66348,158.3956,2849.31228,259.06532,,9906.11138,5238.17935,214.54356,4021.10201,432.28646,
2009,34542.22,10388.0389,24154.17803,10897.64875,11368.03131,12276.53687,24435.16283,1973.23328,638.07594,241.55466,52.3325,24.28275,12.61221,1.62538,13.81216,7684.6576,1148.30266,6536.35494,4032.58729,9677.68941,2182.34478,372.89644,6415.03318,707.41501,135.03215,3447.75695,1237.3136,123.75939,1905.30545,181.37851,,6659.29715,3558.62455,171.113,2662.28923,267.27037,
2008,30562.37,8467.94128,22094.42433,10518.80547,9410.42572,10633.13442,22319.73978,2531.96637,617.36591,194.87783,56.15224,21.00626,10.64907,6.51098,17.98593,7215.07466,1150.9871,6064.08756,3306.46011,8302.06235,1917.6956,329.53343,5497.61581,557.21751,95.78031,2976.37656,1137.0919,71.97072,1768.7348,-1.42086,,5266.24927,2407.94253,139.18454,2422.82472,296.29748,
2007,27155.18,6713.49872,20441.68592,11411.8439,8214.80386,7528.53688,19627.80395,2629.8531,640.36716,195.14373,108.26392,64.12631,13.13307,15.9815,15.02304,7228.42576,1372.91856,5855.5072,3685.78034,5053.74173,1025.17512,227.51021,3469.68957,331.36683,86.22821,2516.09687,1140.65331,123.72182,1143.54265,108.17909,,5011.28382,2403.30424,224.93563,2154.39815,228.6458,
2006,19504.44,4654.99,14849.45,8604.14,5759.09,5141.21,14120.39,2011.73,529.36,147.03,77.75,48.62,12.5,5.08,11.56,5380.09,1336.66,4043.43,2751.38,3191.05,655.27,147.58,2177.9,210.3,31.98,1796.45,633.78,92.7,992.95,77.02,,3587.6,1656.5,153.37,1591.55,186.18,
