年份,工业企业主营业务成本,轻工业企业主营业务成本,重工业企业主营业务成本,大型工业企业主营业务成本,中型工业企业主营业务成本,小型工业企业主营业务成本,内资工业企业主营业务成本,国有工业企业主营业务成本,集体工业企业主营业务成本,股份合作工业企业主营业务成本,联营工业企业主营业务成本,国有联营工业企业主营业务成本,集体联营工业企业主营业务成本,国有与集体联营工业企业主营业务成本,其他联营工业企业主营业务成本,有限责任公司工业企业主营业务成本,国有独资公司工业企业主营业务成本,其他有限责任公司工业企业主营业务成本,股份有限公司工业企业主营业务成本,私营工业企业主营业务成本,私营独资工业企业主营业务成本,私营合伙工业企业主营业务成本,私营有限责任公司工业企业主营业务成本,私营股份有限公司工业企业主营业务成本,其他工业企业主营业务成本,港、澳、台商投资工业企业主营业务成本,合资经营(港或澳、台资)工业企业主营业务成本,合作经营(港或澳、台资)工业企业主营业务成本,港澳台商独资经营工业企业主营业务成本,港澳台商投资股份有限公司工业企业主营业务成本,其他港澳台商投资工业企业主营业务成本,外商投资工业企业主营业务成本,中外合资经营工业企业主营业务成本,中外合作经营工业企业主营业务成本,外资工业企业主营业务成本,外商投资股份有限公司工业企业主营业务成本,其他外商投资工业企业主营业务成本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,857474.1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,956119.97,277703.16,678416.81,374133.37,226614.64,355371.96,747877.45,33782.77,3883.76,781.16,169.05,10.93,51.73,24.1,82.29,290468.4,44362.45,246105.95,87988.13,329585.66,12475.32,1989.23,293022.55,22098.56,1218.52,87316.03,29670.07,1748.41,51711.02,3426.41,760.13,120926.48,55007.24,1837.06,58945.85,3940.6,1195.73
2016,984668.37,300494.03,684174.35,364999.38,242783.33,376885.67,773540.45,35837.03,4939.65,1130.74,191.55,13.53,64.13,17.19,96.69,291468.87,38668.84,252800.03,82785.98,355823.84,15566.45,2399.42,312473.49,25384.48,1362.79,84747.06,28531.09,1969.34,50510.59,3063.53,672.5,126380.86,57844.68,2039.73,61758.66,4034.45,703.34
2015,944857.26,283347.4,661509.86,354972.97,230665.36,359218.93,736590.72,39588.24,5657.79,1281.06,233.56,40.02,60.36,29.96,103.22,272770.34,39172.89,233597.45,80136.76,334569.19,17875.51,2767.95,290967.42,22958.32,2353.77,83155.89,27016.98,1873.46,50987.52,2986.88,291.05,125110.65,57031.59,2088.03,61512.8,3935.57,542.67
2014,943369.58,270051.08,673318.5,367371.93,228113.79,347883.86,728365.38,42324.86,6514.08,1372.07,340.17,135.36,67.65,28.24,108.91,267467.56,41630.61,225836.95,85284.08,322482.84,19347.95,2929.73,278504.22,21700.94,2579.72,81629.43,27883.17,1895.86,48856.61,2894.22,99.57,133374.77,61057.05,2567.11,64941.97,4295.86,512.77
2013,880679.68,248580.98,632098.7,352336.92,208738.86,319603.91,673423.94,45184.09,6527.88,1397.61,451.06,190.59,100.63,43.45,116.4,240928.56,40376.46,200552.1,82118.07,293764.75,20126.33,3203.28,250661.16,19773.99,3051.9,76536.83,26025.44,1794.15,45497.58,3117.74,101.92,130718.91,58537.3,2619.18,64645.79,4507.76,408.88
2012,784541.19,215757.4078,568783.78442,322644.59349,183959.37153,277937.2272,594982.69089,65768.27585,9210.852,3361.65461,967.58091,433.78982,190.73168,147.47924,195.58017,188735.32125,27565.98327,161169.33798,72194.83656,243192.10189,40477.38866,5601.8822,181351.51475,15761.31628,11552.06782,69517.62611,24019.15112,1626.62774,40811.53413,2860.34548,199.96764,120040.87522,52738.23469,2470.15831,60353.74274,4123.05967,355.67981
2011,708091.99,192194.4265,515897.56849,299600.94708,163486.07344,245004.97447,524160.31209,58468.50589,9389.27099,3201.68223,1383.91546,591.70058,193.91839,304.95808,293.33841,166057.22697,25888.70021,140168.52676,67001.3418,210191.51868,36458.63645,5440.22629,155011.05478,13281.60116,8466.85007,65546.72321,22967.4315,1647.2208,38048.7478,2779.62738,103.69573,118384.95969,52466.52303,2434.72106,59216.61692,4156.15811,110.94057
2010,585256.8,161815.55463,423441.24694,198078.38133,167138.16235,220040.25789,425983.69691,49734.4729,8662.24427,3105.50934,1032.97619,609.21709,173.66576,132.7977,117.29564,133105.89209,24093.87062,109012.02147,50971.99752,177049.47897,31617.72857,4956.3979,129488.98855,10986.36395,2321.12563,55250.18795,19191.40462,1654.49409,31935.56455,2468.72469,,104022.91671,46519.48789,1994.77159,51720.87607,3787.78116,
2009,457510.01,129720.75998,327789.24683,151604.06954,129368.55987,176537.3774,330262.20923,39559.45353,7997.77176,2957.21777,998.22202,632.84629,157.50345,90.515,117.35728,103035.87464,19820.37095,83215.50369,39535.352,134374.5817,24321.64876,3906.03945,97642.53988,8504.35361,1803.73581,43774.79273,15417.82974,1435.06681,25104.67722,1817.21896,,83473.00485,37485.34891,1635.68327,41522.21058,2829.76209,
2008,423295.75,116654.48366,306641.27024,146003.85754,122929.3589,154362.53746,297364.13234,39597.30625,7347.68616,2708.21805,1421.268,942.03203,150.07115,123.42193,205.74289,90117.5952,15498.48064,74619.11456,42495.6761,112220.27465,20145.45326,3190.33388,82533.03367,6351.45384,1456.10793,43250.54744,15099.95623,1382.10464,24798.98119,1969.50538,,82681.07412,36521.80104,1811.33419,41791.90753,2556.03136,
2007,334598.64,95662.36334,238936.28113,120423.73775,99001.74935,115173.15737,227617.22254,29225.02511,8407.16307,2944.03044,1288.54051,760.04143,144.42816,157.63563,226.43529,74728.92792,16029.21748,58699.71044,32523.60362,77335.74788,12670.40686,2527.77931,57889.15822,4248.40349,1164.18399,35403.40423,13896.42629,1494.98681,18244.87716,1767.11397,,71578.0177,30547.44143,1969.39132,36587.2024,2473.98255,
2006,264696.6,76778.93,187917.67,97154.14,79438.15,88104.3,179793.28,25577.2,7648.78,2599.22,1085.23,618.98,163.12,136.86,166.27,58722.72,13296.71,45426.01,27384.04,56316.16,9312.49,1981.57,41906.84,3115.26,459.94,28394.66,10718.35,1359.66,14852.66,1463.99,,56508.65,24389.15,1488.62,28963.32,1667.56,
2005,209862.52,63219.99303,146642.52612,78258.01964,63622.19871,67982.3008,141999.53668,22595.3178,7164.70529,2449.34895,956.22246,557.41498,128.25875,141.57497,128.97376,45873.54634,11201.86557,34671.68077,22508.69878,39914.49934,6692.70093,1451.937,29538.44258,2231.41883,537.19772,23876.92275,9127.51837,1248.59928,12151.61712,1349.18798,,43986.05972,19373.88227,1479.4083,21739.93262,1392.83653,
2004,167246.4,51349.24,115897.17,58636.15,52532.05,56078.21,111596.86,19645.0,6503.71,2184.63,751.77,402.98,95.75,138.86,114.17,34974.4,8353.42,26620.97,17963.17,29452.27,4698.79,1041.85,22161.62,1550.01,121.92,19964.22,7962.28,1235.22,9629.8,1136.92,,35685.32,16159.26,1183.8,17067.43,1274.83,
2003,118638.47,39598.39739,79040.07703,42743.86673,38701.85789,37192.7498,82034.38315,18205.89929,7524.36541,2645.42733,730.06679,271.49308,133.56308,198.98274,126.02789,21881.66925,6405.28971,15476.37954,13699.00261,17194.65387,4296.61378,851.10994,11038.95287,1007.97728,153.2986,14298.70796,5999.65456,1119.00865,6438.86296,741.18179,,22305.38331,11245.62556,801.58613,9639.56872,618.6029,
