年份,工业企业港澳台资本金,轻工业企业港澳台资本金,重工业企业港澳台资本金,大型工业企业港澳台资本金,中型工业企业港澳台资本金,小型工业企业港澳台资本金,内资工业企业港澳台资本金,国有工业企业港澳台资本金,集体工业企业港澳台资本金,股份合作工业企业港澳台资本金,联营工业企业港澳台资本金,国有联营工业企业港澳台资本金,集体联营工业企业港澳台资本金,国有与集体联营工业企业港澳台资本金,其他联营工业企业港澳台资本金,有限责任公司工业企业港澳台资本金,国有独资公司工业企业港澳台资本金,其他有限责任公司工业企业港澳台资本金,股份有限公司工业企业港澳台资本金,私营工业企业港澳台资本金,私营独资工业企业港澳台资本金,私营合伙工业企业港澳台资本金,私营有限责任公司工业企业港澳台资本金,私营股份有限公司工业企业港澳台资本金,其他工业企业港澳台资本金,港、澳、台商投资工业企业港澳台资本金,合资经营(港或澳、台资)工业企业港澳台资本金,合作经营(港或澳、台资)工业企业港澳台资本金,港澳台商独资经营工业企业港澳台资本金,港澳台商投资股份有限公司工业企业港澳台资本金,其他港澳台商投资工业企业港澳台资本金,外商投资工业企业港澳台资本金,中外合资经营工业企业港澳台资本金,中外合作经营工业企业港澳台资本金,外资工业企业港澳台资本金,外商投资股份有限公司工业企业港澳台资本金,其他外商投资工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,13230.44,4869.91,8360.52,4893.48,4159.93,4177.03,529.77,0.0,1.19,0.03,0.0,0.0,0.0,0.0,0.0,201.85,53.15,148.69,237.53,88.38,2.49,0.18,70.76,14.95,0.79,11641.99,2276.56,121.23,8612.85,490.22,141.14,1058.68,451.99,19.53,547.03,31.53,8.6
2016,13252.84,4965.88,8286.96,4752.12,4429.85,4070.88,575.78,0.8,3.04,0.87,,,,,,230.32,48.36,181.96,218.52,121.16,5.22,0.15,101.67,14.12,1.07,11395.84,2181.81,131.37,8482.19,456.39,144.07,1281.23,522.53,16.09,690.58,47.14,4.88
2015,13090.64,4870.54,8220.1,4736.17,4263.16,4091.31,517.94,1.64,4.69,0.41,0.05,0.0,0.05,0.0,0.0,238.14,43.04,195.1,166.38,103.42,5.32,0.24,82.7,15.16,3.2,11229.74,2208.64,210.21,8367.62,398.06,45.21,1342.96,498.8,14.4,784.66,38.67,6.44
2014,12408.18,4685.06,7723.12,4399.46,4158.36,3850.36,459.76,2.91,3.96,0.41,0.0,0.0,0.0,0.0,0.0,181.93,45.76,136.17,148.23,116.05,5.3,0.22,95.02,15.52,6.26,10543.49,2068.79,197.58,7903.4,365.45,8.28,1404.93,519.86,38.89,800.31,42.68,3.19
2013,12366.09,4992.49,7373.6,4361.22,4198.49,3806.38,543.79,6.01,6.76,0.4,1.0,0.0,1.0,0.0,0.0,220.8,67.99,152.81,176.32,125.2,5.52,2.71,85.07,31.9,7.3,10493.84,2201.27,190.61,7773.92,321.48,6.55,1328.47,459.12,40.79,772.04,54.17,2.34
2012,18857.44647,4641.19789,14216.24858,4035.91132,4079.16549,10742.36966,7830.03956,18.9382,5.94372,0.40084,0.80969,,0.60076,,0.20893,7457.00836,36.19974,7420.80862,156.69556,150.1828,72.47254,2.02905,70.71226,4.96895,40.06039,9778.1058,1940.50797,175.74831,7305.04335,331.90224,24.90393,1249.30111,394.65,46.89093,776.74352,26.6476,4.36906
2011,10742.32221,4447.15371,6295.1685,3565.73384,3907.33842,3269.24995,380.17221,23.40091,5.92743,1.46536,0.20675,,0.17,,0.03675,122.82147,34.79761,88.02386,89.59968,94.3832,13.66525,0.48972,72.66254,7.56569,42.36741,9225.47461,1897.38907,173.07016,6826.8,314.81523,13.40015,1136.67539,421.73576,39.02891,635.70025,34.26137,5.9491
2010,10739.49431,4657.37982,6082.11449,2131.64763,4574.94389,4032.90279,395.93451,37.42808,9.7814,2.48861,0.15647,,0.03697,0.1195,,137.14421,37.37435,99.76986,79.01068,126.01172,18.27368,1.60316,99.54107,6.59381,3.91334,9161.58226,1861.07063,265.50706,6715.86535,319.13922,,1181.97754,435.0726,34.33175,688.46854,24.10465,
2009,10170.83016,4512.60019,5658.22997,1795.77612,4307.56246,4067.49158,421.05498,29.6305,10.89584,2.1109,0.25554,,0.02226,,0.23328,141.83523,44.47015,97.36508,114.23034,115.03346,17.27387,3.23024,89.84947,4.67988,7.06317,8686.25762,1843.40214,239.40865,6320.22072,283.22611,,1063.51756,433.15961,26.11161,571.36089,32.88545,
2008,9619.30381,4352.94181,5266.362,1556.44685,4064.18055,3998.67641,310.42747,41.36599,11.31951,1.60251,3.69717,3.46787,0.1793,,0.05,110.63792,23.02947,87.60845,69.94193,67.24499,10.32724,1.3292,49.16347,6.42508,4.61745,8625.89654,1753.38257,241.01062,6394.53053,236.97282,,682.9798,371.31874,39.16289,247.51061,24.98756,
