年份,工业企业主营业务税金及附加,轻工业企业主营业务税金及附加,重工业企业主营业务税金及附加,大型工业企业主营业务税金及附加,中型工业企业主营业务税金及附加,小型工业企业主营业务税金及附加,内资工业企业主营业务税金及附加,国有工业企业主营业务税金及附加,集体工业企业主营业务税金及附加,股份合作工业企业主营业务税金及附加,联营工业企业主营业务税金及附加,国有联营工业企业主营业务税金及附加,集体联营工业企业主营业务税金及附加,国有与集体联营工业企业主营业务税金及附加,其他联营工业企业主营业务税金及附加,有限责任公司工业企业主营业务税金及附加,国有独资公司工业企业主营业务税金及附加,其他有限责任公司工业企业主营业务税金及附加,股份有限公司工业企业主营业务税金及附加,私营工业企业主营业务税金及附加,私营独资工业企业主营业务税金及附加,私营合伙工业企业主营业务税金及附加,私营有限责任公司工业企业主营业务税金及附加,私营股份有限公司工业企业主营业务税金及附加,其他工业企业主营业务税金及附加,港、澳、台商投资工业企业主营业务税金及附加,合资经营(港或澳、台资)工业企业主营业务税金及附加,合作经营(港或澳、台资)工业企业主营业务税金及附加,港澳台商独资经营工业企业主营业务税金及附加,港澳台商投资股份有限公司工业企业主营业务税金及附加,其他港澳台商投资工业企业主营业务税金及附加,外商投资工业企业主营业务税金及附加,中外合资经营工业企业主营业务税金及附加,中外合作经营工业企业主营业务税金及附加,外资工业企业主营业务税金及附加,外商投资股份有限公司工业企业主营业务税金及附加,其他外商投资工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,16961.12,7059.95,9901.17,11669.37,2227.61,3064.14,14747.66,1891.42,56.33,11.34,2.86,1.05,1.0,0.16,0.66,6543.94,2047.55,4496.4,3668.79,2505.6,217.78,47.5,2079.98,160.34,67.38,550.79,187.1,14.11,240.04,108.17,1.35,1662.68,1263.14,66.62,297.63,33.2,2.08
2013,15835.24,6526.51,9308.73,10901.8,2137.3,2796.14,13627.33,2141.93,59.0,13.32,3.76,1.3,1.33,0.23,0.9,5728.91,1924.68,3804.23,3307.45,2323.3,225.66,52.38,1893.34,151.92,49.64,548.15,178.45,12.48,243.53,113.39,0.29,1659.76,1257.05,62.65,292.67,44.72,2.68
2012,14462.73,5761.96885,8700.76543,10034.37853,2072.75996,2355.59579,12527.93243,2967.52941,76.28344,33.55523,7.45171,3.42164,1.54976,0.71509,1.76522,4338.39146,1671.23021,2667.16125,3118.64083,1873.00651,414.06483,76.54719,1267.07304,115.32145,113.07384,487.43382,173.6709,11.0731,233.18348,68.81508,0.69126,1447.36803,1088.63897,54.65524,256.15956,46.67828,1.23598
2011,12669.53,4907.43849,7762.09121,8940.8618,1807.6819,1920.986,11004.24894,2859.61811,77.56285,28.63182,10.17046,4.39165,2.24016,1.15932,2.37933,3589.00212,1637.40598,1951.59614,2819.78133,1553.56516,363.76419,73.59284,1027.30118,88.90695,65.91709,422.90972,147.66948,7.56404,196.45246,71.04147,0.18227,1242.37104,945.49267,63.95177,204.704,27.71498,0.50762
2010,11183.11,4106.87318,7076.23755,6973.88638,2326.95547,1882.26888,9694.13387,2702.88303,77.74107,34.03696,8.57669,5.05914,1.67222,0.68377,1.16156,2892.72295,1193.91309,1698.80986,2320.54366,1628.84459,430.82808,83.20591,1016.98702,97.82358,28.78492,314.14662,107.45671,4.04546,141.04611,61.59834,,1174.83024,960.83616,47.32177,139.99144,26.68087,
2009,8995.95,3463.2574,5532.69513,5362.52727,1941.35994,1692.06532,7833.14741,2147.19378,84.08284,73.64559,9.26174,3.81991,2.24308,0.4975,2.70125,2153.83469,962.08817,1191.74652,2028.51085,1311.37603,336.04526,66.38916,832.92214,76.01947,25.24189,237.07247,95.41979,5.15925,86.78941,49.70402,,925.73265,714.92578,30.22908,158.75354,21.82425,
2008,6277.28,2865.31901,3411.95902,3343.96777,1456.57948,1476.73078,5392.38819,1752.65339,93.15871,28.17214,14.40542,10.38369,1.88164,0.61143,1.52866,1669.88811,767.476,902.41211,691.32371,1123.37665,294.90625,60.24738,705.21032,63.0127,19.41006,237.92316,65.90491,9.47338,146.7519,15.79297,,646.96668,481.67135,5.6177,131.45622,28.22141,
2007,4772.08,2273.77077,2498.30853,2769.03441,1080.37677,922.66812,4118.18946,1580.73087,82.66044,23.40285,15.0204,8.52012,1.7125,3.26809,1.51969,1139.2725,414.73938,724.53312,606.42904,656.62476,150.26388,34.60202,429.11841,42.64045,14.0486,129.14522,56.615,6.31267,48.59438,17.62317,,524.74462,427.29757,5.07331,68.20281,24.17093,
