年份,工业企业资产总计,轻工业企业资产总计,重工业企业资产总计,大型工业企业资产总计,中型工业企业资产总计,小型工业企业资产总计,内资工业企业资产总计,国有工业企业资产总计,集体工业企业资产总计,股份合作工业企业资产总计,联营工业企业资产总计,国有联营工业企业资产总计,集体联营工业企业资产总计,国有与集体联营工业企业资产总计,其他联营工业企业资产总计,有限责任公司工业企业资产总计,国有独资公司工业企业资产总计,其他有限责任公司工业企业资产总计,股份有限公司工业企业资产总计,私营工业企业资产总计,私营独资工业企业资产总计,私营合伙工业企业资产总计,私营有限责任公司工业企业资产总计,私营股份有限公司工业企业资产总计,其他工业企业资产总计,港、澳、台商投资工业企业资产总计,合资经营(港或澳、台资)工业企业资产总计,合作经营(港或澳、台资)工业企业资产总计,港澳台商独资经营工业企业资产总计,港澳台商投资股份有限公司工业企业资产总计,其他港澳台商投资工业企业资产总计,外商投资工业企业资产总计,中外合资经营工业企业资产总计,中外合作经营工业企业资产总计,外资工业企业资产总计,外商投资股份有限公司工业企业资产总计,其他外商投资工业企业资产总计
2019,1205868.92,,,569249.09,271433.46,365186.37,977125.04,30159.58,1191.11,542.46,39.59,6.54,14.91,5.76,12.37,477534.22,135404.51,342129.7,184793.66,282829.6,3634.4,793.74,244731.7,33669.76,34.82,95167.24,36201.1,1136.53,51184.98,5733.35,911.28,133576.63,61485.51,2352.61,62444.52,5911.89,1382.1
2018,1153251.18,,,545158.1,260495.1,328729.0,910029.0,65398.0,1731.7,665.7,137.7,39.5,19.1,41.0,38.2,427067.8,100634.5,326433.3,174685.9,239288.8,4901.7,983.2,208012.8,25391.0,1053.4,98303.9,35864.4,1448.8,53515.8,6071.6,1403.4,126049.3,58161.5,2049.5,57252.3,7424.8,1161.2
2017,1121909.57,261706.25,860203.31,534349.33,263386.84,324173.4,905911.52,63627.72,4735.36,660.89,113.8,39.58,26.86,19.49,27.87,425940.39,103203.65,322736.73,167085.17,242636.74,5887.23,1217.53,211479.87,24052.11,1111.45,93288.36,34999.69,1635.43,49899.97,5450.3,1302.97,122709.68,57915.63,2065.08,54852.67,6753.91,1122.39
2016,1085865.94,258555.2,827310.74,508070.4,258989.44,318806.1,873121.52,67394.1,4923.39,769.77,108.96,28.42,32.4,16.97,31.16,405782.67,91056.8,314725.87,153952.57,239542.71,7337.72,1349.18,207197.72,23658.08,647.35,88299.99,32788.43,1717.79,47499.44,5112.38,1181.97,124444.43,60295.15,2106.75,55055.44,6321.58,665.52
2015,1023398.12,241682.52,781715.6,476028.2,242810.41,304559.51,822095.43,71514.87,5092.53,940.34,190.13,52.62,34.43,61.4,41.68,374094.85,85436.77,288658.07,139031.35,229006.48,8497.0,1547.83,198077.46,20884.2,2224.88,83244.01,31112.39,1716.42,45706.74,4429.04,279.42,118058.68,56275.03,2346.43,52850.78,6069.87,516.57
2014,956777.2,224054.01,732723.19,450366.93,229069.82,277340.46,758615.15,66954.56,5285.04,1266.88,329.14,215.89,37.37,21.35,54.54,343743.25,76809.0,266934.25,125744.34,213114.42,8565.06,1556.6,183564.23,19428.53,2177.52,78458.89,29690.89,1822.5,42820.11,4029.4,96.01,119703.16,56454.77,2573.44,54554.99,5739.01,380.95
2013,870751.07,202031.23,668719.84,419709.73,207021.79,244019.55,682089.65,69825.76,4213.94,1270.11,400.46,268.71,47.52,29.7,54.54,301474.92,70377.51,231097.41,114741.98,187704.4,8478.09,1678.23,160847.35,16700.72,2458.08,73052.56,27792.6,1668.84,39306.63,4203.3,81.19,115608.86,54086.41,2509.45,52770.93,5962.54,279.53
2012,768421.2,175820.58335,592600.61246,379618.3888,184741.97411,204060.8329,596100.91215,102035.45033,5666.1712,3138.30837,1035.7458,590.35671,104.27601,203.45879,137.65429,224762.50722,49088.72451,175673.78271,98056.53442,152548.13423,17474.88321,2735.91397,119629.0205,12708.31655,8858.06058,66212.83388,25497.89278,1563.15675,35022.60923,3951.55134,177.62378,106107.44978,48725.70544,2743.27683,48781.42394,5595.44106,261.60251
2011,675796.86,154148.17519,521648.68816,342998.91072,162942.05173,169855.9009,513809.12503,88753.6282,5422.60536,2750.2013,1507.82264,947.79642,106.49058,300.48679,153.04885,196338.01984,47365.96113,148972.05871,84259.03461,127749.85731,15322.15713,2346.8257,99631.94171,10448.93277,7027.95577,59954.14811,23422.87508,1522.70951,31631.28475,3260.96612,116.31265,102033.59021,46949.85999,2340.65412,47326.539,5326.79325,89.74385
2010,592881.89,137815.15809,455066.72968,236256.9961,191194.5537,165430.33797,444329.5674,79887.92827,5473.44394,2628.50546,1421.7337,1022.68138,106.18397,179.52741,113.34094,168138.91879,43488.41829,124650.5005,68098.80033,116867.83054,15275.17521,2526.15603,90447.04795,8619.45135,1812.40637,52495.35844,20368.65204,1624.68385,27450.67357,3051.34898,,96056.96193,43252.51823,2204.15427,45120.46544,5479.82399,
2009,493692.86,115492.71136,378200.14923,193124.0098,157956.50225,142612.34854,369215.30492,68684.85777,5016.07861,2468.94897,1655.92867,1356.95054,98.36018,101.39969,99.21826,140354.03999,39278.67136,101075.36863,58359.57549,91175.60114,12104.16582,1982.62244,70659.45046,6429.36242,1500.27428,44514.34292,17694.08354,1466.24942,22822.73881,2531.27115,,79963.21275,37232.5774,2045.66602,36471.22657,4213.74276,
2008,431305.55,103082.92597,328222.62205,164286.12711,141042.70845,125976.71246,319160.54029,67101.56263,4990.1251,2369.8126,1687.93679,1326.87891,96.70929,138.06856,126.28003,115888.36784,29868.84417,86019.52367,50132.00333,75879.58719,10350.30841,1697.2248,58915.51796,4916.53602,1111.14481,39129.24102,14954.88177,1303.00848,20960.70245,1910.64832,,73015.76671,33386.34821,2043.01489,33729.84785,3856.55576,
2007,353037.37,88077.52913,264959.84499,138731.14617,118284.41537,96021.81258,256670.33822,54722.83126,5738.74336,2443.41223,1771.34306,1287.77553,96.80626,203.82979,182.93148,99764.66786,30029.37975,69735.28811,38135.13711,53304.94767,6363.58517,1258.39817,42444.1505,3238.81383,789.25567,34070.75137,13806.82558,1485.11018,16679.52034,2099.29527,,62296.28453,27552.69572,2458.25426,28781.08358,3504.25097,
2006,291214.51,74748.78,216465.73,113776.66,98633.78,78804.07,214105.86,48941.61,5504.0,2107.05,1460.82,1048.93,120.35,144.48,147.06,83022.51,26883.27,56139.24,32172.73,40514.83,5105.3,1003.38,31998.41,2407.75,382.31,27290.67,10719.46,1344.55,13650.65,1576.01,,49817.98,22217.65,1836.69,23084.23,2679.41,
2005,244784.25,65285.7778,179498.46725,95078.32279,83738.55894,65967.36332,180475.77776,45754.12254,5382.2524,2185.89615,1314.82483,924.59213,97.7075,170.44444,122.08076,67156.90313,22348.61069,44808.29244,27900.25663,30325.12102,3801.28199,768.28077,23945.25269,1810.30557,456.40106,23874.763,9928.08739,1245.08897,11168.56422,1533.02242,,40433.70429,18429.07043,1942.64796,17745.52267,2316.46323,
2004,215358.0,58523.41,156835.06,78771.1,75407.38,61179.99,159756.68,44418.42,5285.44,2000.94,1146.72,798.04,81.26,161.94,105.48,57091.35,18872.66,38218.69,25990.12,23724.8,2794.45,579.21,18810.35,1540.79,98.88,20918.37,9089.61,1307.06,9099.1,1422.6,,34683.42,16321.4,1655.55,14329.31,2377.17,
2003,168807.7,49128.09134,119679.60501,66277.24674,58854.47053,43675.97908,129547.44005,41636.66847,6902.34369,2621.26599,1028.68776,526.11906,123.85616,266.15771,112.55483,40448.5075,15331.53187,25116.97563,22259.10883,14525.28987,2829.11885,544.37006,10150.83887,1000.96209,125.56794,16218.56758,7474.69202,1340.11645,6375.54707,1028.21204,,23041.68872,12225.74124,1249.90586,8172.32781,1393.71381,
2002,146217.78,45134.97182,101082.80949,84242.11387,19274.33079,42701.33665,114704.02147,40293.29426,7346.12203,2580.60734,1132.17345,500.14914,138.07855,343.77469,150.17107,34421.16415,15423.94368,18997.22047,20089.21641,8759.61513,2028.94216,379.99462,5763.10043,587.57792,81.8287,13627.69789,6555.38224,1355.62483,4844.26465,872.42617,,17886.06195,9824.2923,1043.65706,5901.59219,1116.5204,
2001,135403.0,41596.22299,93806.2622,79299.76485,18072.4549,38030.26544,107048.02185,41996.17882,8013.59137,2364.16414,1136.14592,513.89011,135.401,342.30142,144.55339,28941.46695,13972.98775,14968.4792,18604.70393,5901.98409,1572.16359,284.72824,3632.26357,412.82869,89.78663,12634.50392,6206.622,1336.86537,4186.38205,904.6345,,15719.95942,9333.76789,980.97126,4606.63477,798.5855,
2000,126211.24,39433.35048,86777.89048,71069.96674,16239.86665,38901.40757,100497.18417,47330.34165,9631.39841,2365.02109,1205.18291,513.86986,178.76839,391.44288,121.10178,21013.50729,11362.70417,9650.80312,14930.12943,3873.82723,1301.22591,246.11956,2102.32913,224.15263,147.77616,11864.7601,6324.22988,1328.53334,3377.6011,834.39578,,13849.29669,8854.94799,779.16309,3687.30865,527.87696,
