年份,工业企业存货,轻工业企业存货,重工业企业存货,大型工业企业存货,中型工业企业存货,小型工业企业存货,内资工业企业存货,国有工业企业存货,集体工业企业存货,股份合作工业企业存货,联营工业企业存货,国有联营工业企业存货,集体联营工业企业存货,国有与集体联营工业企业存货,其他联营工业企业存货,有限责任公司工业企业存货,国有独资公司工业企业存货,其他有限责任公司工业企业存货,股份有限公司工业企业存货,私营工业企业存货,私营独资工业企业存货,私营合伙工业企业存货,私营有限责任公司工业企业存货,私营股份有限公司工业企业存货,其他工业企业存货,港、澳、台商投资工业企业存货,合资经营(港或澳、台资)工业企业存货,合作经营(港或澳、台资)工业企业存货,港澳台商独资经营工业企业存货,港澳台商投资股份有限公司工业企业存货,其他港澳台商投资工业企业存货,外商投资工业企业存货,中外合资经营工业企业存货,中外合作经营工业企业存货,外资工业企业存货,外商投资股份有限公司工业企业存货,其他外商投资工业企业存货
2019,119225.71,,,,,,,,,,,,,,,,,,,37116.53,,,,,,,,,,,,,,,,,
2018,118974.9,,,,,,,,,,,,,,,,,,,34157.61,,,,,,,,,,,,,,,,,
2017,113305.35,37373.22,75932.13,50707.31,26876.26,35721.78,87593.07,3033.26,505.35,84.41,11.14,2.43,2.35,4.0,2.36,40304.37,8217.82,32086.55,13970.31,29635.93,467.99,132.03,26217.2,2818.71,48.29,10621.39,3427.38,153.68,6352.48,502.9,184.94,15090.89,6483.92,232.1,7673.93,554.65,146.28
2016,106962.71,35371.61,71591.1,48739.1,25176.38,33047.23,83026.04,3495.04,457.93,99.01,10.68,2.35,2.96,2.64,2.74,38474.95,7441.29,31033.67,12971.13,27468.53,528.52,85.9,24378.67,2475.44,48.76,9750.34,3176.46,155.66,5859.05,444.08,115.09,14186.33,6243.54,221.16,7047.38,600.15,74.09
2015,102804.0,33844.51,68959.49,46476.3,24281.51,32046.19,79181.82,4255.54,456.39,112.73,19.2,6.07,4.42,4.86,3.85,35893.99,6988.71,28905.28,12201.31,26063.47,638.39,96.32,23071.45,2257.32,179.2,9745.48,3138.88,181.44,5962.29,441.56,21.31,13876.7,6052.41,224.83,6958.24,576.3,64.92
2014,102874.39,32816.48,70057.91,47426.81,24637.28,30810.3,78034.08,4611.15,496.61,126.14,30.83,17.85,4.81,4.41,3.75,35039.45,6527.05,28512.4,12517.01,25066.17,661.99,97.88,22198.71,2107.6,146.73,9773.17,3310.09,212.64,5773.89,467.98,8.58,15067.13,6624.05,280.85,7541.52,563.67,57.04
2013,97119.22,30433.56,66685.66,45154.92,23834.1,28130.19,72720.16,4983.57,459.6,138.43,43.63,26.87,6.41,5.05,5.31,31483.37,6001.79,25481.58,12324.77,23118.89,710.3,112.97,20347.42,1948.2,167.91,9576.44,3348.08,196.3,5422.73,598.78,10.56,14822.61,6438.92,319.06,7460.95,577.56,26.13
2012,88324.65176,26783.49601,61541.15575,42093.76574,21898.60804,24332.27798,64813.88893,7649.9698,611.47096,336.86994,91.27706,45.05332,15.95793,18.57676,11.68905,25315.57171,4363.58119,20951.99052,10705.71837,19166.29701,1533.48548,232.26161,15763.92179,1636.62813,936.71408,9141.92313,3227.24066,215.08653,5122.77526,555.92893,20.89175,14368.8397,6068.90368,342.97086,7349.78393,582.63323,24.548
2011,80583.14623,23720.4744,56862.67183,39489.30265,20063.31701,21030.52657,57507.90315,7030.32726,623.31647,295.5806,152.15553,90.3902,14.40774,27.93414,19.42345,22296.65642,4300.19856,17996.45786,9798.43641,16614.13669,1426.00548,205.31928,13582.9457,1399.86623,697.29377,8512.62538,3161.02218,186.8863,4706.39629,444.0171,14.30351,14562.6177,6244.50517,319.54078,7342.50716,637.93034,18.13425
2010,69790.09631,21075.92834,48714.16797,27258.02048,22247.39774,20284.67809,49166.28002,6127.168,643.4614,339.16981,161.70402,115.71971,14.32263,20.46306,11.19862,19073.85274,4187.49538,14886.35736,7618.08683,15004.16383,1519.43622,238.26419,12104.71619,1141.74723,198.67339,7514.68267,2649.66356,203.80152,4199.79424,461.42335,,13109.13362,5626.63206,295.26688,6602.25826,584.97642,
