年份,工业企业应收账款净额,轻工业企业应收账款净额,重工业企业应收账款净额,大型工业企业应收账款净额,中型工业企业应收账款净额,小型工业企业应收账款净额,内资工业企业应收账款净额,国有工业企业应收账款净额,集体工业企业应收账款净额,股份合作工业企业应收账款净额,联营工业企业应收账款净额,国有联营工业企业应收账款净额,集体联营工业企业应收账款净额,国有与集体联营工业企业应收账款净额,其他联营工业企业应收账款净额,有限责任公司工业企业应收账款净额,国有独资公司工业企业应收账款净额,其他有限责任公司工业企业应收账款净额,股份有限公司工业企业应收账款净额,私营工业企业应收账款净额,私营独资工业企业应收账款净额,私营合伙工业企业应收账款净额,私营有限责任公司工业企业应收账款净额,私营股份有限公司工业企业应收账款净额,其他工业企业应收账款净额,港、澳、台商投资工业企业应收账款净额,合资经营(港或澳、台资)工业企业应收账款净额,合作经营(港或澳、台资)工业企业应收账款净额,港澳台商独资经营工业企业应收账款净额,港澳台商投资股份有限公司工业企业应收账款净额,其他港澳台商投资工业企业应收账款净额,外商投资工业企业应收账款净额,中外合资经营工业企业应收账款净额,中外合作经营工业企业应收账款净额,外资工业企业应收账款净额,外商投资股份有限公司工业企业应收账款净额,其他外商投资工业企业应收账款净额
2019,156298.4,,,,,,,,,,,,,,,,,,,48769.69,,,,,,,,,,,,,,,,,
2018,146083.83,,,,,,,,,,,,,,,,,,,41768.39,,,,,,,,,,,,,,,,,
2017,135645.13,31022.55,104622.58,54162.49,33189.21,48293.43,94040.9,2148.18,392.93,130.07,14.74,5.28,3.48,3.49,2.5,41059.97,5591.27,35468.7,14972.88,35237.08,677.37,125.44,30985.39,3448.88,85.05,17982.94,5271.65,168.44,11598.17,770.47,174.21,23621.29,9090.9,268.79,13159.74,883.83,218.04
2016,126847.19,30399.73,96447.46,51897.69,31102.51,43846.98,87484.67,2325.48,447.89,142.79,13.57,4.58,3.43,3.93,1.63,38245.8,5164.95,33080.85,13983.15,32257.5,770.43,133.82,28194.79,3158.46,68.49,16411.32,4784.86,200.6,10629.96,682.94,112.96,22951.19,9050.15,299.81,12819.25,672.15,109.83
2015,117246.31,28158.86,89087.45,47249.97,28665.95,41330.39,81291.23,2687.55,449.28,159.55,23.17,8.33,4.61,6.73,3.51,34651.51,5211.23,29440.28,12514.74,30628.35,903.87,147.13,26847.66,2729.69,177.08,15042.74,4069.77,188.01,10108.23,648.23,28.5,20912.34,8331.11,321.29,11566.78,600.94,92.22
2014,107436.99,25773.85,81663.14,42357.09,27085.18,37994.72,73017.57,2611.12,504.37,168.56,25.39,9.17,4.85,6.17,5.19,30726.45,4819.13,25907.32,11015.81,27805.4,915.09,149.17,24400.69,2340.45,160.48,13415.29,3888.14,226.42,8684.11,611.98,4.64,21004.13,8067.53,366.43,11879.8,630.23,60.14
2013,97402.73,23319.95,74082.79,38390.72,24906.87,34105.13,64942.02,2856.56,502.68,173.65,37.02,15.82,6.58,6.93,7.68,26787.37,4488.13,22299.24,9730.95,24676.23,942.55,160.89,21529.77,2043.02,177.57,12002.6,3599.03,211.37,7615.03,563.29,13.88,20458.11,8154.15,360.66,11246.98,640.3,56.01
2012,84043.13948,20113.3272,63929.81228,34421.63476,21559.6509,28061.85382,54192.5166,4668.65579,598.89347,328.5187,103.53185,47.5094,12.0086,26.92728,17.08657,19786.16363,2878.55812,16907.60551,7991.17592,19819.71446,1761.86816,298.6457,16187.98071,1571.21989,895.86278,11341.01127,3342.27137,189.33437,7260.56969,525.12621,23.70963,18509.61161,7031.10119,336.42979,10462.57765,639.05834,40.44464
2011,70502.00153,17072.59998,53429.40155,28999.99197,18882.06597,22619.94359,43369.95758,3664.75399,580.78543,325.05979,88.16604,31.6726,15.15806,24.80495,16.53043,15764.07282,2271.68968,13492.38314,6079.86774,16244.407,1562.72546,241.6044,13159.71041,1280.36673,622.84477,9820.84936,2960.80704,191.13743,6272.34701,381.94129,14.61659,17311.19459,6505.4091,269.31908,9941.19303,582.32742,12.94596
2010,61441.24994,15751.63253,45689.61741,17894.10797,21325.88758,22221.25439,37264.9503,3551.82275,679.33442,333.91205,84.78327,41.53222,14.68031,18.86011,9.71063,12892.03797,2079.85015,10812.18782,4423.51248,15137.66328,1693.10894,298.56231,12090.39952,1055.59251,161.88408,8460.65383,2572.97968,186.75336,5365.87971,335.04108,,15715.64581,6036.31778,291.10657,8852.52011,535.70135,
