年份,工业企业利息支出,轻工业企业利息支出,重工业企业利息支出,大型工业企业利息支出,中型工业企业利息支出,小型工业企业利息支出,内资工业企业利息支出,国有工业企业利息支出,集体工业企业利息支出,股份合作工业企业利息支出,联营工业企业利息支出,国有联营工业企业利息支出,集体联营工业企业利息支出,国有与集体联营工业企业利息支出,其他联营工业企业利息支出,有限责任公司工业企业利息支出,国有独资公司工业企业利息支出,其他有限责任公司工业企业利息支出,股份有限公司工业企业利息支出,私营工业企业利息支出,私营独资工业企业利息支出,私营合伙工业企业利息支出,私营有限责任公司工业企业利息支出,私营股份有限公司工业企业利息支出,其他工业企业利息支出,港、澳、台商投资工业企业利息支出,合资经营(港或澳、台资)工业企业利息支出,合作经营(港或澳、台资)工业企业利息支出,港澳台商独资经营工业企业利息支出,港澳台商投资股份有限公司工业企业利息支出,其他港澳台商投资工业企业利息支出,外商投资工业企业利息支出,中外合资经营工业企业利息支出,中外合作经营工业企业利息支出,外资工业企业利息支出,外商投资股份有限公司工业企业利息支出,其他外商投资工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,12188.91,2473.19,9715.72,5627.56,3010.6,3550.75,10605.31,438.86,45.22,5.6,2.37,1.04,0.14,0.02,1.17,5626.77,1262.04,4364.73,1703.33,2770.44,68.5,9.87,2441.14,250.94,12.72,739.14,363.02,18.79,301.55,37.54,18.24,844.46,460.18,22.84,290.82,61.68,8.95
2016,12505.14,2902.68,9602.47,5586.12,3307.36,3611.67,10897.41,774.05,42.8,6.54,1.33,0.37,0.18,0.05,0.73,5603.34,1233.56,4369.78,1600.68,2858.18,85.6,13.3,2474.93,284.36,10.5,705.04,332.22,19.07,307.39,34.68,11.68,902.7,504.62,21.59,311.75,59.07,5.67
2015,13029.77,2783.16,10246.61,5937.48,3232.97,3859.32,11257.45,645.25,49.6,9.57,1.65,0.5,0.31,0.17,0.67,5798.14,1333.97,4464.16,1686.17,3041.23,110.13,15.98,2645.21,269.91,25.84,767.85,372.44,26.25,333.1,34.44,1.61,1004.47,564.07,25.75,345.62,63.86,5.18
2014,13577.53,2867.83,10709.71,6289.56,3389.55,3898.42,11644.11,750.58,43.77,23.05,6.38,4.86,0.33,0.14,1.05,5906.96,1253.52,4653.43,1706.33,3178.3,110.33,19.05,2773.55,275.36,28.75,844.16,424.24,22.33,357.77,39.29,0.52,1089.26,612.44,33.04,373.5,66.43,3.84
2013,12346.02,2680.36,9665.66,5748.61,3128.22,3469.19,10492.75,855.72,40.75,23.73,7.7,6.32,0.47,0.16,0.76,5011.58,1064.67,3946.91,1554.12,2965.57,118.93,22.36,2578.58,245.7,33.57,800.43,403.95,18.95,330.07,45.71,1.74,1052.84,571.57,33.92,378.78,65.21,3.36
2012,11530.63252,2478.49576,9052.13676,5496.95129,2936.1666,3097.51463,9619.88953,1620.75331,59.84303,55.17638,21.42811,15.69181,1.1859,3.12454,1.42586,3873.26958,740.12233,3133.14725,1279.15369,2578.7559,260.02513,36.99509,2071.83434,209.90134,131.50953,795.41591,411.71804,18.73967,311.38615,50.88292,2.68913,1115.32708,578.1047,42.6072,414.93634,76.8024,2.87644
2011,9054.30254,1991.56887,7062.73367,4271.60497,2347.06632,2435.63125,7477.91789,1285.0875,62.75978,42.865,32.67573,24.36126,1.69348,5.42705,1.19394,2961.66419,579.70229,2381.9619,963.88433,2026.77999,223.17742,30.64409,1620.53769,152.42079,102.20137,656.41926,348.15895,16.75092,248.6795,41.28137,1.54852,919.96539,491.93282,32.11079,337.60069,57.54993,0.77116
2010,6274.20018,1435.74649,4838.45369,2176.78356,2224.1637,1873.25292,5251.12865,890.64105,52.16064,33.21307,25.21983,20.66206,1.74158,1.31367,1.50252,2060.64089,442.87286,1617.76803,628.2209,1535.3029,201.07589,30.53701,1195.86781,107.82219,25.72937,421.57181,227.35603,13.22921,151.88162,29.10495,,601.49972,320.34743,26.43583,209.70789,45.00857,
2009,5323.00587,1214.12454,4108.88133,1806.45216,1910.53675,1606.01696,4344.96819,786.4078,55.69644,29.44407,26.49433,23.54172,1.27475,1.06834,0.60952,1686.58144,374.12932,1312.45212,561.30032,1178.02829,158.46389,22.93374,902.21429,94.41637,21.0155,369.68325,197.15142,13.86399,134.28168,24.38616,,608.35443,324.92196,26.83578,214.84936,41.74733,
2008,5664.16458,1335.19307,4328.97151,1959.50711,2051.26269,1653.39478,4493.673,837.23061,58.82997,35.29916,28.39376,23.22168,2.13771,2.26304,0.77133,1743.89685,357.33683,1386.56002,650.30297,1119.67996,136.282,19.62812,895.91332,67.85652,20.03972,422.79456,222.18904,14.80187,159.91138,25.89227,,747.69702,403.51981,30.88622,263.41354,49.87745,
