年份,工业企业集体资本金,轻工业企业集体资本金,重工业企业集体资本金,大型工业企业集体资本金,中型工业企业集体资本金,小型工业企业集体资本金,内资工业企业集体资本金,国有工业企业集体资本金,集体工业企业集体资本金,股份合作工业企业集体资本金,联营工业企业集体资本金,国有联营工业企业集体资本金,集体联营工业企业集体资本金,国有与集体联营工业企业集体资本金,其他联营工业企业集体资本金,有限责任公司工业企业集体资本金,国有独资公司工业企业集体资本金,其他有限责任公司工业企业集体资本金,股份有限公司工业企业集体资本金,私营工业企业集体资本金,私营独资工业企业集体资本金,私营合伙工业企业集体资本金,私营有限责任公司工业企业集体资本金,私营股份有限公司工业企业集体资本金,其他工业企业集体资本金,港、澳、台商投资工业企业集体资本金,合资经营(港或澳、台资)工业企业集体资本金,合作经营(港或澳、台资)工业企业集体资本金,港澳台商独资经营工业企业集体资本金,港澳台商投资股份有限公司工业企业集体资本金,其他港澳台商投资工业企业集体资本金,外商投资工业企业集体资本金,中外合资经营工业企业集体资本金,中外合作经营工业企业集体资本金,外资工业企业集体资本金,外商投资股份有限公司工业企业集体资本金,其他外商投资工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,3716.62,874.32,2842.3,980.51,1215.27,1520.85,3294.28,41.71,118.14,7.14,5.62,0.12,3.16,2.34,0.0,1676.75,83.78,1592.98,806.48,634.99,5.78,2.5,523.73,102.98,3.46,162.38,133.19,5.17,10.19,13.61,0.21,259.96,209.51,19.01,17.75,12.97,0.72
2016,3970.2,929.24,3040.96,1213.54,1172.19,1584.48,3561.51,24.15,168.19,9.91,4.38,0.12,3.76,0.49,0.01,1695.59,38.52,1657.07,985.05,668.24,10.03,1.73,552.51,103.97,5.99,175.75,115.88,6.03,40.84,12.37,0.64,232.94,192.87,20.74,16.83,2.06,0.44
2015,4101.08,1056.66,3044.42,1217.51,1009.33,1874.25,3695.7,44.22,274.29,11.62,3.55,0.22,2.3,1.03,0.0,2039.04,80.04,1959.0,755.42,557.32,11.99,3.56,461.8,79.96,10.23,141.98,94.21,5.4,27.15,15.17,0.06,263.4,210.11,22.15,21.95,7.19,2.0
2014,3360.39,666.92,2693.46,1071.59,908.71,1380.08,2980.73,57.75,319.74,11.72,4.86,0.0,3.58,1.27,0.01,1320.0,56.27,1263.73,775.44,482.84,18.36,4.54,387.22,72.72,8.39,140.67,108.16,5.53,15.55,11.42,0.02,238.99,183.73,28.53,19.13,7.54,0.07
2013,3383.92,899.08,2484.84,1076.74,847.86,1459.32,3015.06,82.56,365.13,18.23,3.83,0.0,1.83,1.72,0.28,1453.84,37.07,1416.77,668.15,413.74,12.72,7.0,345.09,48.92,9.58,147.64,122.11,4.83,16.81,3.85,0.03,221.22,170.25,9.27,39.78,1.84,0.09
2012,3118.12906,664.81373,2453.31533,1109.03191,727.67655,1281.4206,2814.34347,67.52996,445.22578,212.91028,12.73576,1.27189,4.306,6.02907,1.1288,902.06678,26.53418,875.5326,546.33329,574.33058,37.09907,8.65107,494.93234,33.6481,53.21104,144.3158,117.35203,3.65382,19.54152,3.76843,,159.46979,141.58363,4.3057,9.27591,3.45509,0.84946
2011,2080.46583,515.04451,1565.42132,763.59566,580.69447,736.1757,1833.77233,82.43152,399.98224,40.01586,16.0118,0.42802,5.35969,9.3195,0.90459,628.97718,8.97512,620.00206,415.15707,213.11872,30.65219,7.87517,152.14712,22.44424,38.07794,90.78219,75.70776,5.61305,7.39274,1.58761,0.48103,155.91131,139.23032,4.19647,10.54142,1.9431,
2010,1968.22485,596.4883,1371.73655,397.12933,598.97957,972.11595,1733.05112,56.69973,500.624,69.53631,65.88299,42.91034,7.32713,7.59329,8.05223,643.17677,31.68402,611.49275,184.76287,184.25961,31.0038,5.05091,121.13541,27.06949,28.10884,90.64892,77.50886,4.04025,5.21901,3.8808,,144.52481,112.50025,9.17378,19.90565,2.94513,
2009,1862.96086,527.21702,1335.74384,348.72764,648.36025,865.87297,1639.93842,50.07658,528.60169,42.8299,59.42438,43.03092,7.87458,5.74091,2.77797,619.15564,29.0019,590.15374,175.8225,154.14506,24.60472,5.61816,109.56723,14.35495,9.88267,98.72821,86.57428,5.19269,3.8853,3.07594,,124.29423,98.98255,8.21127,13.02357,4.07684,
2008,1890.71929,580.28376,1310.43553,392.0931,609.27602,889.35017,1637.98163,73.61119,599.45039,55.6305,17.4232,0.14102,9.38022,6.26929,1.63267,576.41718,2.48914,573.92804,170.51178,135.0747,21.43352,4.08124,91.5342,18.02574,9.86269,90.24343,80.19715,5.20757,2.43559,2.40312,,162.49423,123.64849,19.67845,10.63194,8.53535,
