年份,工业亏损企业亏损总额,轻工业亏损企业亏损总额,重工业亏损企业亏损总额,大型工业亏损企业亏损总额,中型工业亏损企业亏损总额,小型工业亏损企业亏损总额,内资工业亏损企业亏损总额,国有工业亏损企业亏损总额,集体工业亏损企业亏损总额,股份合作工业亏损企业亏损总额,联营工业亏损企业亏损总额,国有联营工业亏损企业亏损总额,集体联营工业亏损企业亏损总额,国有与集体联营工业亏损企业亏损总额,其他联营工业亏损企业亏损总额,有限责任公司工业亏损企业亏损总额,国有独资公司工业亏损企业亏损总额,其他有限责任公司工业亏损企业亏损总额,股份有限公司工业亏损企业亏损总额,私营工业亏损企业亏损总额,私营独资工业亏损企业亏损总额,私营合伙工业亏损企业亏损总额,私营有限责任公司工业亏损企业亏损总额,私营股份有限公司工业亏损企业亏损总额,其他工业亏损企业亏损总额,港、澳、台商投资工业亏损企业亏损总额,合资经营(港或澳、台资)工业亏损企业亏损总额,合作经营(港或澳、台资)工业亏损企业亏损总额,港澳台商独资经营工业亏损企业亏损总额,港澳台商投资股份有限公司工业亏损企业亏损总额,其他港澳台商投资工业亏损企业亏损总额,外商投资工业亏损企业亏损总额,中外合资经营工业亏损企业亏损总额,中外合作经营工业亏损企业亏损总额,外资工业亏损企业亏损总额,外商投资股份有限公司工业亏损企业亏损总额,其他外商投资工业亏损企业亏损总额
2019,9414.6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,7940.8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,7130.16,1034.42,6095.74,2732.66,2099.77,2297.73,5720.94,273.93,10.88,2.15,0.67,0.3,0.0,0.31,0.05,3257.35,768.47,2488.89,1089.12,909.74,13.85,4.36,827.01,64.52,177.1,524.76,199.93,8.65,286.92,22.62,6.64,884.46,448.3,14.28,404.11,12.11,5.66
2016,8289.55,953.3,7336.25,3780.28,2296.66,2212.61,6740.39,427.82,13.08,4.05,1.86,0.61,0.02,0.95,0.29,3723.01,742.69,2980.32,1719.36,846.38,12.13,5.21,771.08,57.97,4.83,560.6,171.02,7.93,324.39,45.34,11.92,988.56,468.26,9.0,478.01,22.06,11.24
2015,9366.84,1110.17,8256.67,4419.14,2434.61,2513.09,7326.74,616.59,17.62,4.66,5.37,3.32,0.18,1.65,0.22,3831.21,930.08,2901.13,1754.05,1041.9,19.61,8.76,941.47,72.04,55.34,717.71,201.48,10.21,421.06,79.78,5.18,1322.39,578.3,25.3,690.96,16.89,10.95
2014,7035.43,1078.02,5957.42,3037.91,2013.89,1983.63,5478.57,472.1,19.54,3.82,5.63,5.08,0.05,0.47,0.03,2887.47,653.94,2233.52,1196.12,885.38,19.65,10.94,794.4,60.4,8.52,522.4,168.27,6.92,300.08,46.48,0.65,1034.46,444.72,30.77,543.63,11.5,3.85
2013,5571.32,876.62,4694.7,2280.02,1589.94,1701.36,4126.14,352.17,18.7,3.48,6.95,6.51,0.13,0.17,0.14,2064.42,441.0,1623.42,927.14,744.33,17.71,7.07,664.52,55.03,8.94,482.81,151.82,7.57,258.87,64.25,0.31,962.36,329.9,13.88,597.53,20.26,0.8
2012,5672.66487,842.03129,4830.63358,2610.42725,1548.80406,1513.43356,4156.60968,927.21874,20.52875,25.8278,13.15923,11.73171,0.24983,0.70863,0.46906,1556.19109,282.69316,1273.49793,948.39136,621.9725,43.69522,11.03742,526.92997,40.30989,43.32021,498.43646,168.36482,9.26862,279.52466,40.73227,0.54609,1017.61873,337.64221,19.85503,620.81941,37.23518,2.0669
2011,3913.21216,626.88581,3286.32635,1731.42477,1196.0956,985.69179,2906.17698,697.47229,14.72887,12.87522,9.18383,7.63604,0.42805,0.4556,0.66414,962.86435,152.12951,810.73484,844.14143,332.34714,28.3221,6.32319,276.85253,20.84932,32.56385,324.34014,119.55619,7.0808,174.70409,22.92012,0.07894,682.69504,225.72418,35.91842,397.56871,22.25992,1.22381
2010,2359.17518,519.18479,1839.99039,543.18954,898.90738,917.07826,1627.87138,398.7178,16.8505,9.87566,6.43681,4.74088,0.17933,1.22087,0.29573,651.63844,86.03506,565.60338,256.63119,282.25878,26.99062,7.10393,231.91814,16.24609,5.4622,264.12036,98.35092,6.44611,142.61088,16.71245,,467.18344,145.54763,11.44469,283.09215,27.09897,
2009,3281.03453,622.92182,2658.11271,963.01347,1114.4858,1203.53526,2198.81242,620.55147,25.10178,14.09605,8.14429,5.38517,0.37101,1.99587,0.39224,777.3186,174.16774,603.15086,362.5749,384.99042,36.7235,8.62983,319.3022,20.33489,6.03491,336.08131,110.24235,7.25154,198.64079,19.94663,,746.1408,232.8002,10.51614,456.8858,45.93866,
