年份,工业企业累计折旧,轻工业企业累计折旧,重工业企业累计折旧,大型工业企业累计折旧,中型工业企业累计折旧,小型工业企业累计折旧,内资工业企业累计折旧,国有工业企业累计折旧,集体工业企业累计折旧,股份合作工业企业累计折旧,联营工业企业累计折旧,国有联营工业企业累计折旧,集体联营工业企业累计折旧,国有与集体联营工业企业累计折旧,其他联营工业企业累计折旧,有限责任公司工业企业累计折旧,国有独资公司工业企业累计折旧,其他有限责任公司工业企业累计折旧,股份有限公司工业企业累计折旧,私营工业企业累计折旧,私营独资工业企业累计折旧,私营合伙工业企业累计折旧,私营有限责任公司工业企业累计折旧,私营股份有限公司工业企业累计折旧,其他工业企业累计折旧,港、澳、台商投资工业企业累计折旧,合资经营(港或澳、台资)工业企业累计折旧,合作经营(港或澳、台资)工业企业累计折旧,港澳台商独资经营工业企业累计折旧,港澳台商投资股份有限公司工业企业累计折旧,其他港澳台商投资工业企业累计折旧,外商投资工业企业累计折旧,中外合资经营工业企业累计折旧,中外合作经营工业企业累计折旧,外资工业企业累计折旧,外商投资股份有限公司工业企业累计折旧,其他外商投资工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,284901.92,55845.21,229056.72,152318.45,65576.74,67006.74,223106.49,24773.69,656.57,132.71,27.2,6.01,7.63,6.63,6.92,101151.77,29954.36,71197.41,42784.23,52749.08,1737.67,230.38,46975.18,3805.85,831.24,21716.63,8751.65,679.07,11051.43,1007.99,226.49,40078.81,15166.13,986.46,22277.2,1393.99,255.03
2016,286223.98,61027.56,225196.42,143770.66,69962.16,72491.15,224726.8,25774.19,860.71,166.84,32.09,7.99,11.58,5.77,6.75,97426.84,25584.6,71842.25,41289.35,58918.19,2192.18,329.52,52139.09,4257.4,258.58,21830.28,8368.37,903.52,11394.77,981.16,182.47,39666.9,16163.97,941.05,20954.51,1478.95,128.44
2015,257455.69,55293.3,202162.39,128531.62,62703.02,66221.05,203173.98,24509.31,983.39,236.46,35.19,11.64,7.04,8.62,7.88,85557.22,22789.09,62768.13,36879.98,54120.33,2496.05,366.48,47566.41,3691.38,852.11,20507.59,7579.4,858.06,11111.47,904.92,53.73,33774.12,14557.05,1012.49,16504.98,1610.53,89.07
2014,236308.74,49553.05,186755.69,120526.01,55575.03,60207.7,185042.4,22770.48,980.39,218.47,168.76,126.45,8.5,9.24,24.57,75800.64,19722.01,56078.63,34463.3,49895.89,2480.49,372.3,43595.13,3447.96,744.47,19194.62,6738.67,766.41,10886.95,782.31,20.29,32071.72,13831.54,1018.11,15633.57,1496.93,91.58
2013,208700.07,44800.16,163899.91,109983.99,47922.3,50793.78,161678.33,21045.99,1018.2,230.36,200.99,134.44,9.11,10.68,46.77,65446.5,17171.52,48274.98,29499.34,43358.32,2332.1,359.3,37553.81,3113.12,878.63,16775.27,6041.93,671.25,9294.03,748.67,19.4,30246.46,12481.44,968.05,15182.55,1547.71,66.71
2012,177901.10842,36813.84578,141087.26264,94779.44094,41380.72381,41740.94367,137418.85994,28872.66552,1456.24381,724.80288,306.29917,202.6379,15.96724,36.8235,50.87053,47183.69719,10610.9931,36572.70409,24546.91243,31930.96677,4990.57994,560.66213,24232.93438,2146.79032,2397.27217,14591.08812,5131.81315,598.08538,8041.11498,796.21349,23.86112,25891.16036,11209.95117,770.64139,12481.9401,1366.71044,61.91726
2011,157312.32145,33564.11174,123748.20971,87302.99168,36226.48724,33782.84253,120829.07114,24901.01107,3018.25488,493.2077,402.24243,300.40035,17.80682,46.81463,37.22063,41816.0293,10078.63944,31737.38986,22975.88912,25473.61004,3987.14116,537.45089,19357.91346,1591.10453,1748.8266,12805.23985,4523.90898,599.89181,7037.26894,634.56422,9.6059,23678.01046,10129.99731,1012.16778,11277.09868,1235.61856,23.12813
2010,123546.79674,25055.94535,98490.85139,57696.63508,38078.11505,27772.04661,93279.36682,22374.06734,1233.11265,426.72672,353.61844,285.26285,20.34836,36.12346,11.88377,34144.65121,9167.16165,24977.48956,16215.40273,18217.63423,2838.60566,431.96991,13697.747,1249.31166,314.1535,10130.43157,3821.70383,650.40903,4962.14765,696.17106,,20136.99835,8417.68153,624.2088,9746.12707,1348.98095,
2009,98894.67144,20160.78184,78733.8896,46765.68426,30221.49028,21907.4969,73843.08892,18640.17783,1119.32205,389.36526,323.92092,256.70538,24.751,29.73981,12.72473,26749.3301,7756.69479,18992.63531,14093.06182,12318.92661,1845.08182,298.96935,9335.59456,839.28088,208.98433,8339.9193,3058.54003,565.73677,4062.73336,652.90914,,16711.66322,6947.56943,541.83089,8072.28273,1149.98017,
