年份,工业企业固定资产原价合计,轻工业企业固定资产原价合计,重工业企业固定资产原价合计,大型工业企业固定资产原价合计,中型工业企业固定资产原价合计,小型工业企业固定资产原价合计,内资工业企业固定资产原价合计,国有工业企业固定资产原价合计,集体工业企业固定资产原价合计,股份合作工业企业固定资产原价合计,联营工业企业固定资产原价合计,国有联营工业企业固定资产原价合计,集体联营工业企业固定资产原价合计,国有与集体联营工业企业固定资产原价合计,其他联营工业企业固定资产原价合计,有限责任公司工业企业固定资产原价合计,国有独资公司工业企业固定资产原价合计,其他有限责任公司工业企业固定资产原价合计,股份有限公司工业企业固定资产原价合计,私营工业企业固定资产原价合计,私营独资工业企业固定资产原价合计,私营合伙工业企业固定资产原价合计,私营有限责任公司工业企业固定资产原价合计,私营股份有限公司工业企业固定资产原价合计,其他工业企业固定资产原价合计,港、澳、台商投资工业企业固定资产原价合计,合资经营(港或澳、台资)工业企业固定资产原价合计,合作经营(港或澳、台资)工业企业固定资产原价合计,港澳台商独资经营工业企业固定资产原价合计,港澳台商投资股份有限公司工业企业固定资产原价合计,其他港澳台商投资工业企业固定资产原价合计,外商投资工业企业固定资产原价合计,中外合资经营工业企业固定资产原价合计,中外合作经营工业企业固定资产原价合计,外资工业企业固定资产原价合计,外商投资股份有限公司工业企业固定资产原价合计,其他外商投资工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,643861.14,125223.38,518637.76,317728.39,152931.63,173201.11,524548.86,51041.16,1431.48,277.69,62.2,13.46,16.63,11.54,20.56,255083.09,69337.8,185745.28,89158.03,126087.1,4135.51,698.22,111901.55,9351.81,1408.12,45444.21,18820.11,1235.22,22635.91,2069.95,683.01,73868.07,31814.9,1526.27,37129.93,2786.59,610.37
2016,650592.73,133794.83,516797.9,307404.22,159758.32,183430.19,529302.21,53485.66,1878.81,350.43,73.58,15.0,25.67,10.62,22.29,247817.88,60494.01,187323.87,88180.4,137033.69,5241.44,863.67,120185.18,10743.39,481.75,45655.35,18144.91,1489.74,23289.29,2069.66,661.75,75635.18,33892.01,1506.78,36783.61,3088.12,364.65
2015,603273.76,124253.05,479020.71,284245.35,146698.77,172329.64,491051.33,53716.79,2141.85,462.71,81.17,23.53,19.29,14.17,24.18,222848.66,55070.82,167777.84,81076.32,128858.36,5972.66,971.55,112282.71,9631.45,1865.47,43251.68,16996.04,1429.55,22761.62,1895.14,169.32,68970.75,31663.2,1672.58,32206.86,3172.92,255.2
2014,563859.94,113892.03,449967.9,273246.66,134948.18,155665.1,454728.44,52672.99,2161.87,464.91,326.1,245.91,20.0,14.6,45.58,200929.25,48698.9,152230.36,76180.63,120249.25,5954.52,1011.07,103401.54,9882.12,1743.43,41243.26,16087.84,1340.53,22089.07,1658.21,67.61,67888.23,30851.52,1778.75,31805.6,3204.9,247.46
2013,499404.09,101534.27,397869.83,251389.38,117614.1,130400.61,396765.68,49547.12,2056.89,489.0,397.59,285.65,26.65,17.6,67.69,172060.04,43575.82,128484.22,67044.94,103175.81,5669.86,1008.36,88376.1,8121.49,1994.28,37866.53,14536.17,1165.94,20285.54,1834.36,44.52,64771.88,28483.91,1753.32,30758.92,3604.82,170.9
2012,434474.274,86665.57583,347808.69817,220014.82063,104186.84349,110272.60988,343063.97937,73946.07891,3193.37368,1704.09179,763.89934,527.20245,46.74434,88.39002,101.56253,122761.97622,26546.47388,96215.50234,55062.1818,79904.05101,12121.07259,1608.7876,60520.04326,5654.14756,5728.32662,33513.14741,13080.75163,1112.45005,17518.89626,1728.32193,72.72754,57897.14722,25729.17889,1747.51355,27112.88654,3170.12714,137.4411
2011,386086.7167,77594.98852,308491.72818,201358.41162,92243.78964,92484.51544,301727.83749,65141.72447,4665.58526,1406.33833,1102.16859,855.2403,50.79755,110.96038,85.17036,108729.39316,26194.23281,82535.16035,50715.76903,65621.76672,10296.3294,1478.20537,49492.79855,4354.4334,4345.09193,30260.77264,11731.83843,1091.86687,16004.69063,1398.62428,33.75243,54098.10657,24162.72959,1758.10533,25074.74011,3049.43811,53.09343
2010,334839.41192,66496.67622,268342.7357,143133.16226,104828.72407,86877.52559,257230.44203,59183.00857,2921.95057,1274.64846,965.73694,790.83587,55.8707,76.19496,42.83541,95396.10154,24550.39601,70845.70553,40055.78019,56459.88587,9046.75051,1411.52508,42230.10507,3771.50521,973.32989,26459.02361,10623.61992,1206.99871,13092.90195,1535.50303,,51149.94628,21460.97414,1334.51226,25177.80223,3176.65765,
