年份,工业企业应付帐款,轻工业企业应付帐款,重工业企业应付帐款,大型工业企业应付帐款,中型工业企业应付帐款,小型工业企业应付帐款,内资工业企业应付帐款,国有工业企业应付帐款,集体工业企业应付帐款,股份合作工业企业应付帐款,联营工业企业应付帐款,国有联营工业企业应付帐款,集体联营工业企业应付帐款,国有与集体联营工业企业应付帐款,其他联营工业企业应付帐款,有限责任公司工业企业应付帐款,国有独资公司工业企业应付帐款,其他有限责任公司工业企业应付帐款,股份有限公司工业企业应付帐款,私营工业企业应付帐款,私营独资工业企业应付帐款,私营合伙工业企业应付帐款,私营有限责任公司工业企业应付帐款,私营股份有限公司工业企业应付帐款,其他工业企业应付帐款,港、澳、台商投资工业企业应付帐款,合资经营(港或澳、台资)工业企业应付帐款,合作经营(港或澳、台资)工业企业应付帐款,港澳台商独资经营工业企业应付帐款,港澳台商投资股份有限公司工业企业应付帐款,其他港澳台商投资工业企业应付帐款,外商投资工业企业应付帐款,中外合资经营工业企业应付帐款,中外合作经营工业企业应付帐款,外资工业企业应付帐款,外商投资股份有限公司工业企业应付帐款,其他外商投资工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,139984.64,27394.25,112590.39,72388.55,31402.86,36193.22,99996.08,6902.44,609.54,85.4,10.05,1.99,2.13,5.42,0.51,47898.16,9763.7,38134.46,16376.0,27995.83,423.94,84.69,25255.48,2231.72,118.66,16773.38,4903.39,138.21,11062.33,503.28,166.17,23215.18,10351.17,255.91,11496.69,884.66,226.75
2016,128214.21,25665.4,102548.81,66142.6,29314.01,32757.61,91060.65,6896.81,606.23,87.83,9.92,1.59,2.39,4.89,1.06,43860.58,8781.79,35078.79,15200.86,24356.02,438.58,86.98,21876.81,1953.65,42.41,14934.08,4376.28,146.37,9829.22,450.91,131.29,22219.49,10267.39,265.19,10910.99,661.59,114.33
2015,116886.0,23816.55,93069.46,59895.06,26407.85,30583.09,83653.5,7120.7,600.5,103.96,19.38,5.31,2.81,7.96,3.3,39539.76,7921.49,31618.26,13691.99,22340.87,564.83,95.75,19981.99,1698.31,236.36,13437.7,3754.81,161.21,9079.86,419.3,22.52,19794.79,9270.91,284.87,9571.32,581.71,85.99
2014,112819.42,22671.85,90147.57,59047.11,25839.5,27932.81,78678.06,6932.79,601.21,108.97,28.31,13.76,3.11,5.62,5.81,36732.03,7619.78,29112.25,13515.2,20541.78,593.86,100.28,18386.18,1461.46,217.77,12767.17,3626.83,190.17,8462.63,483.29,4.25,21374.19,9351.5,337.53,11028.3,588.77,68.09
2013,104105.91,21131.2,82974.71,56034.69,23476.47,24594.75,70924.32,6801.87,494.28,107.13,45.45,25.27,5.59,7.16,7.44,32560.71,7375.45,25185.26,12467.02,18168.08,556.5,113.31,16127.32,1370.95,279.78,12172.48,3404.77,174.55,7999.02,587.02,7.12,21009.11,9144.18,354.58,10816.04,652.05,42.26
2012,91417.25996,18518.01338,72899.24658,49177.20657,20898.45239,21341.601,60900.21412,10266.64364,659.08448,252.5462,131.80069,78.75983,16.42941,21.21272,15.39873,23893.91852,4640.45056,19253.46796,9893.92076,14823.48799,1153.85631,193.83662,12416.66088,1059.13418,978.81184,11494.93633,3277.7376,193.54648,7490.87788,517.46843,15.30594,19022.10951,7636.85845,337.44899,10380.55305,621.04983,46.19919
2011,81391.68625,16772.75254,64618.93371,44007.96956,19031.74577,18351.97092,52593.58342,8954.69747,585.3685,229.4037,135.35418,81.56325,13.02927,19.77447,20.98719,20487.55744,4240.46787,16247.08957,8736.19899,12671.56579,1160.82779,180.16122,10356.58472,973.99206,793.43735,10190.26356,3147.3182,170.27274,6468.77254,395.45251,8.44757,18607.83927,7567.15923,317.66437,10108.05974,599.34512,15.61081
2010,71375.99484,15572.16134,55803.8335,30807.27142,22215.57713,18353.14629,45043.65506,7757.10165,641.71854,248.16776,121.30976,75.89096,14.20271,22.72535,8.49074,17424.8045,3919.81697,13504.98753,6730.72882,11932.92164,1329.57877,221.4854,9513.43683,868.42064,186.90239,8852.90831,2652.94174,232.39527,5562.95187,404.61943,,17479.43147,7208.84433,309.48267,9368.707,592.39747,
2009,58167.93813,13281.83819,44886.09994,23911.1373,17864.4282,16392.37263,36944.54889,6260.39825,550.99185,251.32816,144.40181,108.11066,10.64877,13.88251,11.75987,14213.66523,3394.1759,10819.48933,5524.94837,9837.22801,1082.09783,186.76958,7951.06092,617.29968,161.58721,7094.55454,1999.98494,193.39403,4610.99482,290.18075,,14128.8347,6057.7442,245.71447,7431.04847,394.32756,
