年份,工业企业流动资产合计,轻工业企业流动资产合计,重工业企业流动资产合计,大型工业企业流动资产合计,中型工业企业流动资产合计,小型工业企业流动资产合计,内资工业企业流动资产合计,国有工业企业流动资产合计,集体工业企业流动资产合计,股份合作工业企业流动资产合计,联营工业企业流动资产合计,国有联营工业企业流动资产合计,集体联营工业企业流动资产合计,国有与集体联营工业企业流动资产合计,其他联营工业企业流动资产合计,有限责任公司工业企业流动资产合计,国有独资公司工业企业流动资产合计,其他有限责任公司工业企业流动资产合计,股份有限公司工业企业流动资产合计,私营工业企业流动资产合计,私营独资工业企业流动资产合计,私营合伙工业企业流动资产合计,私营有限责任公司工业企业流动资产合计,私营股份有限公司工业企业流动资产合计,其他工业企业流动资产合计,港、澳、台商投资工业企业流动资产合计,合资经营(港或澳、台资)工业企业流动资产合计,合作经营(港或澳、台资)工业企业流动资产合计,港澳台商独资经营工业企业流动资产合计,港澳台商投资股份有限公司工业企业流动资产合计,其他港澳台商投资工业企业流动资产合计,外商投资工业企业流动资产合计,中外合资经营工业企业流动资产合计,中外合作经营工业企业流动资产合计,外资工业企业流动资产合计,外商投资股份有限公司工业企业流动资产合计,其他外商投资工业企业流动资产合计
2019,591231.28,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,565178.27,,,,,,,,,,,,,,,,,,,134355.0,,,,,,,,,,,,,,,,,
2017,534080.93,143701.9,390379.04,246400.92,126533.61,161146.4,405982.56,16374.69,2704.29,400.65,49.78,14.07,13.17,12.0,10.53,183384.36,36973.25,146411.11,74842.52,127828.04,2505.54,506.67,111667.91,13147.92,398.24,54987.69,19114.41,835.72,31561.72,2779.41,696.43,73110.69,32881.0,1078.27,35009.58,3501.82,640.02
2016,500852.8,138526.82,362325.97,229886.23,120769.47,150197.1,378773.59,17029.78,2646.95,455.28,47.61,12.08,13.33,9.91,12.29,171232.57,32121.28,139111.29,67010.69,120053.62,3031.95,527.2,104319.02,12175.46,297.1,50934.76,17567.28,903.38,29265.04,2603.98,595.08,71144.44,32870.53,1133.25,33960.04,2847.63,332.99
2015,469207.26,130229.5,338977.77,212169.27,113295.12,143742.87,354726.32,19177.39,3128.64,541.14,108.12,28.68,15.65,45.9,17.89,156451.11,29974.38,126476.73,59541.09,114893.16,3602.55,605.84,99930.99,10753.78,885.66,47835.88,16474.71,911.09,28008.73,2332.46,108.89,66645.07,30827.01,1281.84,31669.48,2590.56,276.19
2014,445742.36,122161.53,323580.83,202037.33,108983.59,134721.44,332018.8,18842.23,3303.25,576.98,113.66,57.35,17.34,14.42,24.55,145396.73,26923.55,118473.18,54448.84,108457.83,3690.47,638.11,94676.22,9453.02,879.28,45200.83,15749.31,1032.9,26207.98,2171.91,38.74,68522.73,31220.61,1386.39,33127.67,2600.81,187.26
2013,413490.92,112855.23,300635.69,186767.41,102221.68,124501.82,304720.69,20686.24,2587.8,605.32,140.43,73.2,24.49,17.54,25.2,130143.52,24738.21,105405.31,50312.6,99272.0,3860.84,731.35,85910.68,8769.13,972.78,42275.75,15130.08,983.51,23901.47,2225.55,35.15,66494.47,30499.92,1343.71,31923.1,2585.63,142.12
2012,368200.71,98211.50277,269989.20591,173636.08857,91014.82804,103549.79207,267910.7698,30670.60756,3097.8804,1498.4427,365.90205,168.24415,59.52046,80.8186,57.31884,102125.48546,19313.21814,82812.26732,44896.16299,81049.07129,7764.13511,1209.79208,65317.20886,6757.93524,4207.21735,38899.00088,14178.30431,888.17006,21602.80914,2136.58219,93.13518,61390.938,27595.50777,1407.27216,29652.76726,2596.73848,138.65233
2011,327778.65,86398.44535,241380.20608,159412.0209,81093.32082,87273.30971,232444.00918,27116.16258,2968.62349,1344.40322,510.61759,243.25523,50.39262,145.64875,71.32099,89268.97036,18494.85878,70774.11158,38932.54839,69059.44716,6914.59444,1048.35126,55341.44869,5755.05277,3243.23639,35188.66832,13125.24619,846.99894,19376.64937,1770.57122,69.2026,60145.97393,27422.88318,1221.74138,28930.93313,2523.96436,46.45188
2010,279227.32,75723.233,203504.0869,105064.13007,90834.86499,83328.32484,194898.68364,24497.26113,2949.14459,1296.91539,470.57333,305.50415,53.70386,65.44888,45.91644,73779.21969,16885.86733,56893.35236,29255.44988,61798.67052,6976.90763,1159.87205,49055.6983,4606.19254,851.44911,29834.25296,10926.05533,921.32891,16377.07094,1609.79778,,54494.3833,25255.9382,1145.20389,25548.50768,2544.73353,
