年份,工业企业产成品,轻工业企业产成品,重工业企业产成品,大型工业企业产成品,中型工业企业产成品,小型工业企业产成品,内资工业企业产成品,国有工业企业产成品,集体工业企业产成品,股份合作工业企业产成品,联营工业企业产成品,国有联营工业企业产成品,集体联营工业企业产成品,国有与集体联营工业企业产成品,其他联营工业企业产成品,有限责任公司工业企业产成品,国有独资公司工业企业产成品,其他有限责任公司工业企业产成品,股份有限公司工业企业产成品,私营工业企业产成品,私营独资工业企业产成品,私营合伙工业企业产成品,私营有限责任公司工业企业产成品,私营股份有限公司工业企业产成品,其他工业企业产成品,港、澳、台商投资工业企业产成品,合资经营(港或澳、台资)工业企业产成品,合作经营(港或澳、台资)工业企业产成品,港澳台商独资经营工业企业产成品,港澳台商投资股份有限公司工业企业产成品,其他港澳台商投资工业企业产成品,外商投资工业企业产成品,中外合资经营工业企业产成品,中外合作经营工业企业产成品,外资工业企业产成品,外商投资股份有限公司工业企业产成品,其他外商投资工业企业产成品
2019,44060.17,,,,,,,,,,,,,,,,,,,15814.08,,,,,,,,,,,,,,,,,
2018,43987.65,,,,,,,,,,,,,,,,,,,14574.79,,,,,,,,,,,,,,,,,
2017,42393.68,14384.57,28009.11,16820.93,10704.59,14868.16,32697.72,824.73,326.41,35.77,5.94,1.64,1.37,1.6,1.33,13330.68,1933.22,11397.46,5305.75,12840.83,248.32,51.87,11411.02,1129.62,27.61,4102.07,1414.61,47.5,2402.87,193.59,43.5,5593.89,2501.85,74.25,2751.47,209.64,56.68
2016,40492.79,13798.42,26694.37,15858.36,10238.4,14396.03,31663.05,907.88,276.89,45.77,5.53,1.25,1.72,0.91,1.65,13039.15,1812.82,11226.33,4994.81,12364.78,278.55,43.95,10988.42,1053.86,28.25,3796.48,1315.62,44.97,2237.81,167.87,30.21,5033.26,2302.24,76.66,2468.2,156.27,29.89
2015,39501.15,13414.63,26086.52,14954.67,10175.3,14371.18,30567.37,954.41,251.78,50.15,10.06,2.91,2.88,2.45,1.81,12462.53,1845.9,10616.63,4697.45,12075.1,333.32,50.16,10739.93,951.7,65.89,3858.82,1367.99,53.07,2266.08,163.02,8.66,5074.96,2253.36,77.52,2532.57,183.2,28.31
2014,38359.51,12902.58,25456.93,14864.05,10102.88,13392.58,29336.51,1083.16,236.97,55.02,16.17,8.33,3.28,2.42,2.13,11939.91,1788.14,10151.77,4499.1,11435.32,345.48,52.52,10089.95,947.37,70.87,3571.97,1352.96,56.08,2007.14,151.8,3.99,5451.02,2522.97,93.58,2635.81,185.98,12.68
2013,34535.8,11728.8,22807.0,13654.75,9236.82,11644.23,26145.93,1126.13,223.42,61.68,18.74,10.09,4.05,2.03,2.58,10391.28,1552.34,8838.94,4147.35,10101.74,370.58,59.28,8815.7,856.18,75.59,3340.9,1253.69,54.27,1879.59,149.79,3.57,5048.97,2342.72,91.59,2426.21,178.65,9.81
2012,31919.19469,10694.85119,21224.3435,12844.20417,8614.76838,10460.22214,23719.61757,1751.86524,265.02406,162.57827,42.79177,19.10905,8.51639,9.72242,5.44391,8765.38589,1204.31423,7561.07166,3634.50009,8659.62083,781.73408,120.79922,7064.90973,692.1778,437.85142,3203.06749,1214.97781,71.46603,1770.29706,137.4784,8.84819,4996.50963,2280.85564,105.19891,2421.82273,180.86552,7.76683
2011,28478.63959,9360.78201,19117.85758,11724.48467,7810.77639,8943.37853,20504.98003,1531.64875,282.76237,138.9991,61.03054,30.00381,7.24678,15.20565,8.5743,7481.67594,1123.24722,6358.42872,3333.58422,7388.26305,748.03824,111.33314,5933.4421,595.44957,287.01606,3032.65756,1141.8008,57.82681,1704.4196,123.36062,5.24973,4941.002,2293.66128,85.54627,2360.13659,196.36674,5.29112
2010,23841.14751,8031.24276,15809.90475,7460.18511,8005.54153,8375.42087,17252.99758,1324.91386,277.13974,140.28464,49.80375,29.34739,6.61443,9.87333,3.9686,6216.83152,1118.35222,5098.4793,2566.23958,6601.1743,777.2692,118.49981,5251.00177,454.40352,76.61019,2443.7626,933.77075,56.33094,1361.45846,92.20245,,4144.38733,1964.17306,78.90774,1916.47836,184.82817,
2009,20495.01256,6985.43957,13509.57299,5606.03371,6842.5634,8046.41545,14860.38863,1210.07623,272.43294,144.65615,48.60777,29.68728,5.90193,7.55524,5.46332,5073.78977,884.25829,4189.53148,2151.03039,5876.1211,715.60757,113.34424,4669.03292,378.13637,83.67428,2099.68197,839.76719,50.96039,1128.29354,80.66085,,3534.94196,1696.93822,62.99613,1629.43561,145.572,
