年份,工业企业管理费用,轻工业企业管理费用,重工业企业管理费用,大型工业企业管理费用,中型工业企业管理费用,小型工业企业管理费用,内资工业企业管理费用,国有工业企业管理费用,集体工业企业管理费用,股份合作工业企业管理费用,联营工业企业管理费用,国有联营工业企业管理费用,集体联营工业企业管理费用,国有与集体联营工业企业管理费用,其他联营工业企业管理费用,有限责任公司工业企业管理费用,国有独资公司工业企业管理费用,其他有限责任公司工业企业管理费用,股份有限公司工业企业管理费用,私营工业企业管理费用,私营独资工业企业管理费用,私营合伙工业企业管理费用,私营有限责任公司工业企业管理费用,私营股份有限公司工业企业管理费用,其他工业企业管理费用,港、澳、台商投资工业企业管理费用,合资经营(港或澳、台资)工业企业管理费用,合作经营(港或澳、台资)工业企业管理费用,港澳台商独资经营工业企业管理费用,港澳台商投资股份有限公司工业企业管理费用,其他港澳台商投资工业企业管理费用,外商投资工业企业管理费用,中外合资经营工业企业管理费用,中外合作经营工业企业管理费用,外资工业企业管理费用,外商投资股份有限公司工业企业管理费用,其他外商投资工业企业管理费用
2019,54801.71,,,,,,,,,,,,,,,,,,,17991.74,,,,,,,,,,,,,,,,,
2018,48152.5,,,,,,,,,,,,,,,,,,,14366.8,,,,,,,,,,,,,,,,,
2017,46717.81,14130.32,32587.49,19049.8,11717.55,15950.46,35718.66,1105.63,277.87,39.52,11.04,1.11,2.63,2.37,4.92,14922.28,2465.7,12456.59,5883.3,13430.11,409.17,82.75,11746.79,1191.4,48.92,4348.77,1427.53,70.34,2580.12,232.34,38.44,6650.38,2876.62,85.57,3357.78,278.41,52.01
2016,45490.74,14132.01,31358.73,18115.52,11723.38,15651.83,34696.03,1278.63,274.57,47.93,11.29,1.08,2.08,2.51,5.62,14241.74,2183.68,12058.06,5650.58,13142.6,498.07,97.12,11418.2,1129.21,48.68,4172.95,1368.82,73.01,2476.12,227.35,27.64,6621.76,2940.45,93.54,3323.97,234.24,29.56
2015,43125.3,13237.77,29887.53,17176.93,11193.02,14755.35,32584.02,1551.93,271.51,56.65,13.83,3.23,2.21,2.86,5.53,13114.46,2151.11,10963.35,5196.66,12278.54,565.35,112.89,10610.62,989.68,100.44,3995.33,1282.97,78.16,2394.72,230.14,9.34,6545.95,2873.01,101.27,3327.59,221.3,22.78
2014,41120.97,12286.06,28834.91,16723.25,10667.02,13730.71,30755.84,1701.57,305.21,58.4,20.78,8.11,2.76,2.78,7.13,12191.69,2121.75,10069.93,5106.11,11266.73,565.87,118.97,9701.45,880.44,105.36,3783.21,1254.56,104.83,2210.8,208.21,4.8,6581.93,2958.55,115.12,3278.24,216.37,13.66
2013,39431.9,11555.72,27876.18,15788.17,10359.73,13283.99,29553.58,2009.25,294.25,71.69,23.21,8.04,5.71,3.16,6.29,11508.01,2200.87,9307.14,4773.77,10719.69,661.38,146.76,9056.72,854.83,153.7,3500.33,1176.29,107.8,2023.27,188.85,4.11,6378.0,2756.94,122.88,3279.37,209.37,9.44
2012,35888.12005,10229.44505,25658.675,15120.03185,9311.66264,11456.42556,26905.54879,3255.75995,399.51391,162.37215,43.28799,18.39988,9.06892,7.86833,7.95086,9312.05533,1678.59995,7633.45538,4258.19124,9025.33434,1314.45554,229.23806,6845.76322,635.87752,449.03388,3217.39836,1116.01751,102.17896,1829.81928,161.11081,8.2718,5765.1729,2397.80107,124.4176,3028.16318,201.88308,12.90797
2011,32165.16504,8933.07082,23232.09422,14047.45617,8273.24229,9844.46658,23884.17787,3067.66956,400.65404,148.1994,70.15236,38.63349,12.40506,9.98292,9.13089,8347.78199,1690.48114,6657.30085,3757.18014,7751.17638,1139.87466,231.29415,5836.48495,543.52262,341.364,2837.75278,995.82807,89.79316,1617.83961,130.02232,4.26962,5443.23439,2279.01914,113.50114,2847.5196,196.6393,6.55521
2010,28872.98918,8206.20245,20666.78673,9870.73016,9037.51653,9964.74249,21328.73898,2908.99758,443.77289,145.75378,60.92295,30.81433,11.3348,11.3102,7.46362,7553.08616,1744.47289,5808.61327,2916.72917,7179.90209,1139.99724,225.60698,5349.74888,464.54899,119.57436,2484.39978,859.2119,97.19803,1410.20428,117.78557,,5059.85042,2199.78865,117.84981,2528.48603,213.72593,
