年份,工业企业外商资本金,轻工业企业外商资本金,重工业企业外商资本金,大型工业企业外商资本金,中型工业企业外商资本金,小型工业企业外商资本金,内资工业企业外商资本金,国有工业企业外商资本金,集体工业企业外商资本金,股份合作工业企业外商资本金,联营工业企业外商资本金,国有联营工业企业外商资本金,集体联营工业企业外商资本金,国有与集体联营工业企业外商资本金,其他联营工业企业外商资本金,有限责任公司工业企业外商资本金,国有独资公司工业企业外商资本金,其他有限责任公司工业企业外商资本金,股份有限公司工业企业外商资本金,私营工业企业外商资本金,私营独资工业企业外商资本金,私营合伙工业企业外商资本金,私营有限责任公司工业企业外商资本金,私营股份有限公司工业企业外商资本金,其他工业企业外商资本金,港、澳、台商投资工业企业外商资本金,合资经营(港或澳、台资)工业企业外商资本金,合作经营(港或澳、台资)工业企业外商资本金,港澳台商独资经营工业企业外商资本金,港澳台商投资股份有限公司工业企业外商资本金,其他港澳台商投资工业企业外商资本金,外商投资工业企业外商资本金,中外合资经营工业企业外商资本金,中外合作经营工业企业外商资本金,外资工业企业外商资本金,外商投资股份有限公司工业企业外商资本金,其他外商投资工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,22624.5,6310.42,16314.08,8669.29,6421.87,7533.33,987.45,25.8,2.62,0.0,0.0,0.0,0.0,0.0,0.0,631.05,109.19,521.86,187.66,137.84,12.43,0.0,102.27,23.13,2.48,2039.87,624.4,42.3,1306.62,40.26,26.3,19597.18,5128.65,204.13,13465.88,604.6,193.93
2016,23977.69,6613.75,17363.95,8806.6,6901.92,8269.17,1037.77,4.98,1.16,,,,,,,634.41,110.6,523.81,249.89,144.88,12.35,0.01,105.08,27.43,2.46,2292.24,747.05,45.73,1426.3,56.49,16.68,20647.69,5133.08,273.94,14541.1,603.58,95.98
2015,22234.05,6620.0,15614.05,8374.36,6808.12,7051.56,758.54,19.32,1.06,0.2,0.0,0.0,0.0,0.0,0.0,394.32,113.13,281.19,222.14,118.63,17.22,0.0,83.71,17.69,2.87,2078.74,754.38,28.49,1240.6,49.98,5.29,19396.77,4786.86,319.12,13614.93,604.92,70.95
2014,23216.68,7335.52,15881.16,8915.49,6889.41,7411.78,710.86,13.29,1.54,0.2,0.4,0.0,0.03,0.0,0.38,357.43,113.85,243.58,210.78,126.89,6.09,0.01,105.77,15.02,0.34,2430.83,952.61,19.75,1415.47,40.61,2.39,20074.98,5163.06,330.57,13920.19,617.29,43.86
2013,22153.57,6839.61,15313.95,8635.91,6682.84,6834.81,720.64,13.03,2.52,0.26,0.0,0.0,0.0,0.0,0.0,341.19,107.25,233.94,217.96,138.53,4.79,0.01,119.72,14.01,7.15,1849.28,616.27,17.09,1180.09,32.13,3.7,19583.64,5140.36,330.96,13430.63,656.57,25.12
2012,20925.05458,6485.66898,14439.3856,8102.63324,6484.54328,6337.87806,694.37599,69.04326,4.02844,0.73366,1.0692,0.3,0.318,0.147,0.3042,254.77285,78.54743,176.22542,196.52996,113.21574,21.3363,0.64511,86.19803,5.0363,54.98288,1648.39674,546.3255,17.30809,1034.92803,42.81219,7.02293,18582.28185,4864.95501,306.17422,12765.03948,610.4758,35.63734
2011,19755.88446,6123.32563,13632.55883,7646.22092,6215.36311,5894.30043,649.4916,19.66773,4.69433,1.8349,1.45047,0.03,,,1.42047,255.74774,77.95448,177.79326,188.49118,117.43937,22.39321,0.63712,89.17776,5.23128,60.16588,1266.64658,365.78753,27.32456,830.52398,42.68014,0.33037,17839.74628,4699.38572,341.49442,12214.06652,568.71455,16.08507
2010,19656.05908,6227.26451,13428.79457,4726.19695,8244.60887,6685.25326,717.21272,50.03511,5.49493,2.00552,0.60317,0.3,0.14067,,0.1625,349.18949,101.72787,247.46162,145.04681,159.18509,26.88305,0.47305,123.35877,8.47022,5.6526,1177.08502,289.18862,17.78517,850.14131,19.96992,,17761.76134,4769.11611,364.60705,12070.7095,557.32868,
2009,18230.52998,5681.26711,12549.26287,3757.77692,7618.78008,6853.97298,547.77006,70.68029,7.68057,1.17859,1.64374,0.36298,,0.1764,1.10436,182.3921,9.88177,172.51033,107.0842,166.5726,31.89785,0.39927,127.15604,7.11944,10.53797,930.65483,222.50034,26.24826,663.55694,18.34929,,16752.10509,4474.23349,359.51089,11371.39011,546.9706,
2008,17278.26515,5536.49844,11741.76671,3658.81557,7291.6247,6327.82488,413.89104,24.33295,3.31886,4.6681,1.39521,0.43852,0.0541,,0.90259,138.56738,5.62272,132.94466,158.31882,79.46474,9.34636,0.20777,64.87301,5.0376,3.82498,535.97496,126.92684,21.92259,378.51624,8.60929,,16328.39915,4539.70894,390.05954,10893.03114,505.59953,
