年份,工业企业所有者权益合计,轻工业企业所有者权益合计,重工业企业所有者权益合计,大型工业企业所有者权益合计,中型工业企业所有者权益合计,小型工业企业所有者权益合计,内资工业企业所有者权益合计,国有工业企业所有者权益合计,集体工业企业所有者权益合计,股份合作工业企业所有者权益合计,联营工业企业所有者权益合计,国有联营工业企业所有者权益合计,集体联营工业企业所有者权益合计,国有与集体联营工业企业所有者权益合计,其他联营工业企业所有者权益合计,有限责任公司工业企业所有者权益合计,国有独资公司工业企业所有者权益合计,其他有限责任公司工业企业所有者权益合计,股份有限公司工业企业所有者权益合计,私营工业企业所有者权益合计,私营独资工业企业所有者权益合计,私营合伙工业企业所有者权益合计,私营有限责任公司工业企业所有者权益合计,私营股份有限公司工业企业所有者权益合计,其他工业企业所有者权益合计,港、澳、台商投资工业企业所有者权益合计,合资经营(港或澳、台资)工业企业所有者权益合计,合作经营(港或澳、台资)工业企业所有者权益合计,港澳台商独资经营工业企业所有者权益合计,港澳台商投资股份有限公司工业企业所有者权益合计,其他港澳台商投资工业企业所有者权益合计,外商投资工业企业所有者权益合计,中外合资经营工业企业所有者权益合计,中外合作经营工业企业所有者权益合计,外资工业企业所有者权益合计,外商投资股份有限公司工业企业所有者权益合计,其他外商投资工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,490835.31,133404.53,357430.78,228441.86,117766.11,144627.35,392013.48,29580.44,1638.85,318.94,48.34,5.04,16.71,7.2,19.39,163022.8,39363.19,123659.6,83242.15,113612.81,3532.31,711.57,96090.59,13278.34,549.15,42101.15,15350.81,918.04,22116.1,3191.64,524.56,56720.68,24789.99,1060.62,27015.76,3376.8,477.51
2016,476105.14,133033.78,343071.36,212333.96,116507.61,147263.57,378808.48,30801.19,1829.52,387.43,45.8,-1.85,21.7,5.0,20.95,153519.72,33177.36,120342.36,75016.82,116858.3,4501.02,772.29,98711.9,12873.09,349.69,39853.95,14235.94,948.32,21155.06,3037.28,477.35,57442.71,25720.92,1085.95,27098.86,3267.95,269.04
2015,440932.66,121655.29,319277.37,194826.78,107120.92,138984.95,349805.9,31104.64,2019.27,468.26,78.82,9.77,19.56,26.26,23.23,140030.01,30895.45,109134.55,66221.33,108660.59,5113.46,877.14,91547.12,11122.86,1222.99,36379.57,12743.61,859.74,20047.07,2599.33,129.82,54747.18,24294.33,1179.65,25938.73,3125.62,208.85
2014,405981.71,109877.63,296104.08,182322.71,98589.22,125069.78,318386.39,28218.57,2419.75,554.0,147.76,89.89,20.5,5.41,31.96,127060.71,28349.35,98711.35,59044.28,99880.35,4998.28,893.22,83600.16,10388.69,1060.97,33468.61,11940.22,868.17,18343.35,2263.22,53.64,54126.71,24043.61,1192.29,25848.86,2897.08,144.89
2013,361263.38,97135.07,264128.31,168048.24,86524.99,106690.15,279418.25,27426.0,1791.69,544.86,163.8,102.02,23.06,10.02,28.7,110130.68,25681.08,84449.6,53242.81,84938.19,4993.34,909.6,70601.78,8433.46,1180.24,30731.91,10968.56,784.99,16861.68,2079.89,36.79,51113.22,22733.1,1082.91,24080.11,3072.48,144.62
2012,320614.07,83584.29664,237029.77312,152762.41606,76659.51915,91192.13455,246128.21874,38117.83823,2684.14696,1391.13285,361.08523,145.75189,51.05924,100.80305,63.47105,83724.16696,19509.92422,64214.24274,46903.24363,68946.34886,10231.24428,1528.33065,50846.32791,6340.44602,4000.25602,27583.72197,9924.67694,746.27486,14899.35219,1937.57566,75.84232,46902.12905,20684.45771,1122.32143,22126.01879,2837.14462,132.1865
2011,282003.81,73009.62941,208994.17847,138604.63389,67445.47123,75953.70276,212301.47204,33070.24282,2533.56497,1206.32275,584.57687,329.57242,49.87108,133.42563,71.70774,74006.38326,19755.74404,54250.63922,40267.75406,57479.12095,8859.27855,1318.70415,42024.937,5276.20125,3153.50636,25130.25886,9028.66881,783.33843,13675.14819,1603.02987,40.07356,44572.07698,19472.92016,1009.16826,21168.80849,2880.74457,40.4355
2010,251160.35,64933.11008,186227.23597,97415.22453,79401.37976,74343.74176,184901.4231,30979.92704,2459.95315,1155.22942,542.02701,353.26777,48.60403,92.90999,47.24522,64538.32253,17961.85551,46576.46702,32183.41154,52295.5084,8277.96771,1348.45494,38509.23495,4159.8508,747.04401,22790.99114,8145.35948,763.7053,12538.84163,1343.08473,,43467.93181,18022.50302,1027.88857,21671.7915,2745.74872,
2009,206688.83,54314.76343,152374.06236,79592.025,64298.17534,62798.62545,152437.36005,26615.1096,2292.02763,1085.13996,559.60675,433.39175,44.5802,35.92456,45.71024,53570.99759,16200.51967,37370.47792,27312.17995,40383.66656,6498.04531,1072.51672,29804.55266,3008.55187,618.63201,19104.52638,6875.15778,712.41037,10392.4085,1124.54973,,35146.93936,15511.76073,957.9957,16552.22514,2124.95779,
