年份,人民检察院书面提出纠正件次,人民检察院立案监督书面提出纠正件次,人民检察院监督立案书面提出纠正件次,人民检察院监督撤案书面提出纠正件次,人民检察院书面提出纠正侦查监督件次,人民检察院审查批捕环节书面提出纠正件次,人民检察院审查起诉环节书面提出纠正件次,人民检察院刑事审判监督书面提出纠正件次,人民检察院书面提出纠正刑罚执行监督人次,人民检察院书面提出纠正监管活动人次,人民检察院书面提出纠正超期羁押人次,人民检察院书面提出纠正减刑、假释、保外就医人次
2019,,,,,,,,,,,,
2018,114989.0,46588.0,26866.0,19722.0,58744.0,,,9657.0,69485.0,25509.0,1646.0,42330.0
2017,94951.0,37809.0,22941.0,14868.0,47871.0,,,9271.0,55638.0,23145.0,1605.0,30888.0
2016,77885.0,30093.0,18668.0,11425.0,39621.0,,,8171.0,58770.0,30261.0,583.0,27926.0
2015,72534.0,28010.0,17546.0,10464.0,37292.0,,,7232.0,55063.0,31607.0,439.0,23017.0
2014,111872.0,46677.0,26396.0,20281.0,54949.0,,,10246.0,68445.0,43855.0,474.0,24116.0
2013,147316.0,57381.0,31754.0,25627.0,72718.0,37684.0,35034.0,17217.0,60750.0,43389.0,455.0,16906.0
2012,119445.0,49842.0,29372.0,20470.0,57280.0,30584.0,26696.0,12323.0,47911.0,32472.0,588.0,14851.0
2011,81634.0,33167.0,21201.0,11966.0,39812.0,20801.0,19011.0,8655.0,36482.0,24075.0,243.0,12164.0
2010,84949.0,44141.0,32830.0,11311.0,34180.0,18880.0,15300.0,6628.0,31535.0,20181.0,525.0,10829.0
2009,58023.0,28014.0,21191.0,6823.0,25974.0,14308.0,11666.0,4035.0,32762.0,22268.0,337.0,10157.0
2008,54327.0,28908.0,22061.0,6847.0,22424.0,12296.0,10128.0,2995.0,17139.0,11660.0,181.0,5298.0
2007,42259.0,24010.0,19172.0,4838.0,15634.0,7805.0,7829.0,2615.0,10309.0,6281.0,86.0,3942.0
2006,,,,,,,,,,,,
2005,,,,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
