年份,文物业机构数,文物科研机构数,文物保护管理机构数,博物馆机构数,文物商店机构数,其他文物机构数,中央文物业机构数,省、市、区文物业机构数,地、市文物业机构数,县、市文物业机构数,文物部门文物业机构数,其他部门文物业机构数
2019,10562,126,3518,5132,83,1703,12,328,1809,8413,8750,1812
2018,10160,122,3550,4918,64,1506,12,308,1752,8088,8478,1682
2017,9931,121,3518,4721,66,1505,12,311,1725,7883,8334,1597
2016,8954,122,3318,4109,68,1337,12,300,1622,7020,7737,1217
2015,8676,122,3307,3852,69,1326,12,297,1570,6797,7675,1001
2014,8421,118,3280,3658,71,1294,11,301,1507,6602,7515,906
2013,7737,115,2809,3473,71,1269,12,297,1444,5984,6885,852
2012,6124,114,2705,3069,72,164,12,262,1163,4687,5630,494
2011,5728,107,2735,2650,75,161,13,259,1104,4352,5456,272
2010,5207,108,2436,2435,76,152,14,257,1064,3872,4947,260
2009,4842,104,2263,2252,80,143,11,257,978,3596,4608,234
2008,4437,96,2223,1893,84,141,10,254,1012,3161,,
2007,4277,99,2229,1722,89,138,,,,,,
2006,4092,90,2204,1617,96,85,,,,,,
2005,4030,88,2186,1581,97,78,,,,,,
2004,3965,81,2151,1548,106,79,,,,,,
2003,3903,75,2275,1515,113,71,,,,,,
2002,3867,72,2108,1511,115,61,,,,,,
2001,3739,67,2021,1461,119,71,,,,,,
2000,3618,57,1984,1392,117,68,,,,,,
