年份,文物业从业人员数,文物科研机构从业人数,文物保护管理机构从业人数,博物馆从业人数,文物商店从业人数,其他文物机构从业人数,中央文物业从业人数,省、市、区文物业从业人数,地、市文物业从业人数,县、市文物业从业人数,文物部门文物业从业人数,其他部门文物业从业人数
2019,162285,4313,30689,107993,1344,17946,3092,18526,49093,91574,134959,27326
2018,162638,4133,32406,107506,1139,17454,3073,19246,48452,91867,136334,26304
2017,161577,3995,33400,105079,1203,17900,3615,19237,47995,90730,135856,25721
2016,151430,4763,33407,93431,1364,18465,3285,18616,47140,82389,129956,21474
2015,146098,5217,32030,89133,1466,18252,3592,18931,44647,78928,126776,19322
2014,148095,7314,37843,83970,1565,17403,3582,20831,42422,81260,130077,18018
2013,137173,5243,35334,79075,1596,15925,3432,18147,40402,75192,120282,16891
2012,125155,4917,34854,71748,1623,12013,3462,17527,36671,67495,113015,12140
2011,111338,4078,33035,62181,1719,10325,3420,16885,32915,58118,105462,5876
2010,102471,3846,30171,57431,1737,9286,2645,17421,32363,50042,97392,5079
2009,101986,3799,28629,59919,1898,7741,,,,,,
2008,92060,3966,29661,51587,2020,4826,,,,,,
2007,84886,3981,31175,42636,2177,4917,,,,,,
2006,80894,3668,29257,40818,2355,4796,,,,,,
2005,82988,3444,34052,38603,2310,4579,,,,,,
2004,77101,3363,28128,39266,2478,3866,,,,,,
2003,66676,3110,29277,34891,2508,3285,,,,,,
2002,66125,2904,21786,35833,2647,2955,,,,,,
2001,70923,3252,25812,35092,2742,3720,,,,,,
2000,68038,2800,24051,34199,2937,4051,,,,,,
