年份,文物业参观人次,文物科研机构参观人次,文物保护管理机构参观人次,博物馆参观人次,文物商店参观人次,其他文物机构参观人次,中央文物业参观人次,省、市、区文物业参观人次,地、市文物业参观人次,县、市文物业参观人次,文物部门文物业参观人次,其他部门文物业参观人次
2019,131669.829,308.759,19135.911,112225.159,,,2953.316,13868.323,43051.53,71796.66,107071.4,24598.429
2018,122352.0,335.0,17616.0,104403.582,,,2938.0,12733.0,39300.0,67381.0,99425.0,22927.0
2017,114772.574,296.824,17303.601,97172.149,,,2840.445,10900.894,37877.677,63153.557,92238.579,22533.995
2016,101267.448,408.31,15798.108,85061.03,,,2682.651,10131.318,34680.049,53773.43,82007.065,19260.383
2015,92508.306,395.565,14001.054,78111.687,,,2257.035,10929.173,31897.288,47424.81,75659.22,16849.086
2014,84256.216,300.817,12181.591,71773.809,,,2591.873,9059.013,28992.575,43612.755,70514.505,13741.712
2013,,,,63776.0,,,,,,,,
2012,67058.817,224.309,10433.435,56401.076,,,2446.093,7115.607,23503.004,33994.122,58500.513,8558.306
2011,56686.82,194.48,9441.69,47050.68,,,2179.93,7435.57,19929.76,27141.56,50450.71,6236.12
2010,52097.9,220.8,11197.8,40679.3,,,1586.6,6851.0,16880.6,26779.7,46351.1,5746.8
2009,43248.2,1327.6,9205.0,32715.6,,,1256.4,5852.5,14696.9,21442.4,37272.4,5975.8
2008,35436.0,152.0,6956.0,28328.0,,,983.0,4474.0,16807.0,13172.0,,
2007,,596.0,8965.0,25625.0,,,,,,,,
2006,,,6411.4,12032.4,,,,,,,,
2005,,,5837.0,11819.0,,,,,,,,
2004,,,4791.0,9736.0,,,,,,,,
2003,,,3240.0,6206.0,,,,,,,,
2002,,,4011.0,7980.0,,,,,,,,
2001,,,3361.0,7955.0,,,,,,,,
2000,,,4319.0,8540.0,,,,,,,,
