年份,文物业收入,文物科研机构收入,文物保护管理机构收入,博物馆收入,文物商店收入,其他文物机构收入,中央文物业收入,省、市、区文物业收入,地、市文物业收入,县、市文物业收入,文物部门文物业收入,其他部门文物业收入
2019,6211925.2,389494.7,989519,3376342,77558,1379011.2,277341,1178036,2004392.8,2752155.3,5524310.3,687615
2018,5621156.0,333070.0,1032279,3043180,58104,1154523.0,278201,1004865,1888521.0,2449570.0,4998955.0,622202
2017,5594199.0,288857.9,989812.9,3255558.4,59475.4,1000494.4,243201.2,1122653.8,1965514.7,2262829.3,4910383.0,683816
2016,4714830.2,292463.6,995357.3,2348521.3,54382.6,1024105.4,215557.1,982772.7,1555957.4,1960543.0,4277407.3,437422.9
2015,4246280.5,255848.8,875460,2169987.3,60184.5,884799.9,224003.5,883745.7,1369566.9,1768964.4,3853923.3,392357.2
2014,3926215.5,243812.0,757303.4,1955511.9,87895.6,881692.6,209913.7,977460.5,1225223.8,1513617.5,3582322.8,343892.7
2013,3645841.0,208924.0,819557,1755739,89630,771991.0,194905,989394,1088734.0,1372808.0,3340921.0,304920
2012,2959894.0,182417.8,535778.9,1492024.2,85894.7,663778.4,166725.3,859605.3,931523.9,1002039.5,2762118.2,197775.8
2011,2363063.8,139450.0,463609,1205788.9,101136.9,453079.0,204667.1,725507.1,693248.9,739640.7,2257248.3,105815.5
2010,,120767.0,365904,,,,,,,,,
2009,,88210.0,308949,,,,,,,,,
2008,,,311916,,,,,,,,,
2007,,,269410,,,,,,,,,
2006,,,225287,,,,,,,,,
2005,,,214336,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
