年份,文物业文物藏品数,文物科研机构文物藏品数,文物保护管理机构文物藏品数,博物馆文物藏品数,文物商店文物藏品数,其他文物机构文物藏品数,中央文物业文物藏品数,省、市、区文物业文物藏品数,地、市文物业文物藏品数,县、市文物业文物藏品数,文物部门文物业文物藏品数,其他部门文物业文物藏品数,文物业文物一级藏品数,文物科研机构文物一级藏品数,文物保护管理机构文物一级藏品数,博物馆文物一级藏品数,文物商店文物一级藏品数,其他文物机构文物一级藏品数,中央文物业文物一级藏品数,省、市、区文物业文物一级藏品数,地、市文物业文物一级藏品数,县、市文物业文物一级藏品数,文物部门文物业文物一级藏品数,其他部门文物业文物一级藏品数
2019,51293830.0,1522789,1659712,39548334.0,7904158,658837,3338663,18475183.0,10235089.0,19244895.0,38698042.0,12595788.0,90551,1589,8177,79265,185,1335,14941,31201,17652,26757,84942,5609
2018,49604379.0,1315659,2430379,37540740.0,7513985,803616,3397457,17264448.0,9819563.0,19122911.0,37418648.0,12185731.0,95607,1617,8405,84201,53,1331,14941,30793,23098,26775,90801,4806
2017,48506647.0,1230188,2473352,36623080.0,7391751,788276,3337506,16816727.0,9561239.0,18791175.0,36163112.0,12343535.0,100650,1550,7211,89921,52,1916,22630,31122,23243,23655,95626,5024
2016,44558807.0,1187938,2521238,33293561.0,6997098,558972,3324574,14815094.0,9219349.0,17199790.0,33036257.0,11522550.0,109768,1703,7721,98832,52,1460,22630,32357,23683,31098,97917,11851
2015,41388558.0,1177485,2073474,30441422.0,7280219,415958,3282593,15215333.0,8650851.0,14239781.0,31700062.0,9688496.0,108692,1367,7658,98364,59,1244,21029,30860,26401,30402,95866,12826
2014,40635827.0,1459852,2092332,29299673.0,7700873,83097,3160790,15369684.0,8983044.0,13122309.0,31977227.0,8658600.0,98236,1357,7006,89532,60,281,20197,30875,24773,22391,92399,5837
2013,38408146.0,1594975,1906829,27191601.0,7632366,82375,2956953,14929635.0,8583810.0,11937748.0,30406952.0,8001194.0,96816,2328,8457,85707,59,265,20138,29878,25736,21064,92442,4374
2012,35054763.0,1208701,1767573,23180726.0,8507934,389829,2925044,15502839.0,7956502.0,8670378.0,31840116.0,3214647.0,83939,2651,5239,74537,64,1448,13320,27326,23203,20090,80330,3609
2011,30185365.0,822390,2252535,19023423.0,7770986,316031,2908666,13676326.0,7135938.0,6464435.0,28879185.0,1306180.0,68588,2601,5759,58959,71,1198,13340,24246,14014,16988,67366,1222
2010,28642200.0,870223,2149366,17552482.0,7748943,321186,2510414,13170546.0,7267495.0,5693745.0,27605115.0,1037085.0,67208,2307,4896,58649,67,1289,13342,24182,15257,14427,64725,2483
2009,26802714.0,929189,1958904,15711150.0,7616192,587279,2162318,12743630.0,6586064.0,5310702.0,25961672.0,841042.0,66818,2582,5388,56277,84,2487,15078,22759,13676,15305,65797,1021
2008,25738228.0,778804,2187639,14554158.0,8200305,17322,1260514,12236626.0,7681454.0,4559634.0,,,59365,2604,5235,51241,84,201,11060,21537,14085,12683,,
2007,,784495,2255038,13760448.0,,443969,,,,,,,,,,,,,,,,,,
2006,,987996,2342103,13024192.0,,50877,,,,,,,,,,,,,,,,,,
2005,,953314,2416460,16199377.0,,54279,,,,,,,,,,,,,,,,,,
2004,,938761,2185680,12856434.0,,53807,,,,,,,,,,,,,,,,,,
2003,,,,,,,,,,,,,,,,,,,,,,,,
2002,,,,,,,,,,,,,,,,,,,,,,,,
2001,,,,,,,,,,,,,,,,,,,,,,,,
2000,,570276,2038940,9813923.0,,68392,,,,,,,,,,,,,,,,,,
