年份,文物业实际使用房屋建筑面积,文物科研机构实际使用房屋建筑面积,文物保护管理机构实际使用房屋建筑面积,博物馆实际使用房屋建筑面积,文物商店实际使用房屋建筑面积,其他文物机构实际使用房屋建筑面积,中央文物业实际使用房屋建筑面积,省、市、区文物业实际使用房屋建筑面积,地、市文物业实际使用房屋建筑面积,县、市文物业实际使用房屋建筑面积,文物部门文物业实际使用房屋建筑面积,其他部门文物业实际使用房屋建筑面积
2019,4840,86,1629.324,2959.057,16.141,149,61,340,1279.491,3159.567,3702.69,1137
2018,4335,81,1362.0,2791.0,15.0,86,54,316,996.0,2969.0,3527.0,809
2017,4331.704,79.087,1480.909,2668.435,14.566,88.707,54.038,322.587,990.344,2964.735,3530.642,801.062
2016,3721.598,83.561,1334.345,2185.478,15.505,102.709,60.476,292.447,930.07,2438.605,3176.805,544.793
2015,2660.516,144.756,382.07,2033.747,14.804,85.139,53.443,310.261,926.826,1369.986,2185.75,474.767
2014,2434.927,101.527,304.758,1933.116,15.377,80.148,57.869,276.167,847.207,1253.684,1991.011,443.915
2013,2115.089,96.234,244.631,1700.497,15.298,58.431,63.633,248.08,746.383,1056.991,1756.636,358.454
2012,2411.28,100.595,769.424,1472.674,15.575,53.015,54.794,246.936,684.601,1424.95,2164.13,247.149
2011,2207.88,62.4,913.3,1178.54,15.52,38.27,62.78,257.02,865.12,1022.96,2090.78,117.18
2010,,28,458.0,,,,,,,,,
2009,,30,263.0,,,,,,,,,
2008,,,231.0,,,,,,,,,
2007,,,466.0,,,,,,,,,
2006,,,457.0,,,,,,,,,
2005,,,544.0,,,,,,,,,
2004,,,,,,,,,,,,
2003,,,,,,,,,,,,
2002,,,,,,,,,,,,
2001,,,,,,,,,,,,
2000,,,,,,,,,,,,
