年份,规模以上工业企业外商资本金,煤炭开采和洗选业规模以上工业企业外商资本金,石油和天然气开采业规模以上工业企业外商资本金,黑色金属矿采选业规模以上工业企业外商资本金,有色金属矿采选业规模以上工业企业外商资本金,非金属矿采选业规模以上工业企业外商资本金,其他采矿业规模以上工业企业外商资本金,农副食品加工业规模以上工业企业外商资本金,食品制造业规模以上工业企业外商资本金,饮料制造业规模以上工业企业外商资本金,烟草制品业规模以上工业企业外商资本金,纺织业规模以上工业企业外商资本金,纺织服装、鞋、帽制造业规模以上工业企业外商资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业外商资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业外商资本金,家具制造业规模以上工业企业外商资本金,造纸及纸制品业规模以上工业企业外商资本金,印刷业和记录媒介的复制规模以上工业企业外商资本金,文教体育用品制造业规模以上工业企业外商资本金,石油加工、炼焦及核燃料加工业规模以上工业企业外商资本金,化学原料及化学制品制造业规模以上工业企业外商资本金,医药制造业规模以上工业企业外商资本金,化学纤维制造业规模以上工业企业外商资本金,橡胶制品业规模以上工业企业外商资本金,塑料制品业规模以上工业企业外商资本金,非金属矿物制品业规模以上工业企业外商资本金,黑色金属冶炼及压延加工业规模以上工业企业外商资本金,有色金属冶炼及压延加工业规模以上工业企业外商资本金,金属制品业规模以上工业企业外商资本金,通用设备制造业规模以上工业企业外商资本金,专用设备制造业规模以上工业企业外商资本金,交通运输设备制造业规模以上工业企业外商资本金,电气机械及器材制造业规模以上工业企业外商资本金,通信设备、计算机及其他电子设备制造规模以上工业企业外商资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业外商资本金,工艺品及其他制造业规模以上工业企业外商资本金,废弃资源和废旧材料回收加工业规模以上工业企业外商资本金,电力、热力的生产和供应业规模以上工业企业外商资本金,燃气生产和供应业规模以上工业企业外商资本金,水的生产和供应业规模以上工业企业外商资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,19755.88446,34.54447,2.985,4.51426,7.53223,12.59201,,508.94809,474.10892,454.36172,0.42416,524.76818,245.46903,212.27758,74.75937,141.60181,785.18385,66.4333,141.81976,157.54452,2156.5412,441.0506,126.32324,382.74829,517.88683,675.15499,426.93032,303.72023,537.31282,1274.01495,787.89846,2104.39641,1386.36788,3681.28099,323.76325,114.00798,23.77123,350.64329,118.87247,173.33077
2010,19656.05908,29.01626,8.862,2.76617,9.81683,16.41568,,448.29981,479.2246,451.33629,,610.80317,273.24195,212.83214,99.86822,167.82639,728.14679,92.24275,152.10984,155.25313,2022.90399,472.74292,137.06263,386.09562,543.49983,681.48485,409.68648,318.98198,547.73298,1180.62189,808.87719,2000.95099,1329.80224,3741.11043,315.9424,121.391,21.56845,467.57889,93.91579,116.04651
2009,18230.52998,27.93713,7.3968,2.73611,18.28849,15.69971,,426.2087,421.70702,429.33923,0.3,552.76687,276.56601,204.28502,94.89554,148.3028,551.46078,90.50059,152.70236,163.02082,1838.33724,396.61597,128.29857,335.17774,523.99761,655.74459,424.88332,284.50823,500.13454,1108.01327,836.85386,1813.97999,1256.4589,3355.36426,343.47207,123.7152,20.06944,483.90006,98.83454,118.0566
2008,17278.26515,28.3681,0.34478,4.85672,16.64986,15.80341,0.01328,406.20459,420.65006,401.17488,0.26219,533.47002,309.56056,213.94805,95.10036,137.11813,535.38958,74.58869,147.89645,157.26393,1561.7725,370.09716,133.47973,308.38119,530.96096,656.23912,417.71754,266.95024,499.46204,1028.06628,630.63157,1692.36117,1200.66424,3346.88263,298.81513,119.04164,17.99134,497.49701,85.77108,116.81894
2007,14516.28867,24.45559,12.08388,2.06105,16.15825,10.95738,0.01328,333.95471,398.1794,341.96528,,449.893,255.91127,194.36014,71.87948,115.77048,472.84381,60.82065,128.08514,102.59121,1322.57167,326.17063,131.77938,253.43596,406.11706,570.77748,395.22529,189.91456,402.46139,794.20554,449.4328,1427.49283,984.87428,2925.17849,240.57138,103.46409,9.22649,393.05888,86.16795,112.17852
