年份,规模以上工业企业主营业务税金及附加,煤炭开采和洗选业规模以上工业企业主营业务税金及附加,石油和天然气开采业规模以上工业企业主营业务税金及附加,黑色金属矿采选业规模以上工业企业主营业务税金及附加,有色金属矿采选业规模以上工业企业主营业务税金及附加,非金属矿采选业规模以上工业企业主营业务税金及附加,其他采矿业规模以上工业企业主营业务税金及附加,农副食品加工业规模以上工业企业主营业务税金及附加,食品制造业规模以上工业企业主营业务税金及附加,饮料制造业规模以上工业企业主营业务税金及附加,烟草制品业规模以上工业企业主营业务税金及附加,纺织业规模以上工业企业主营业务税金及附加,纺织服装、鞋、帽制造业规模以上工业企业主营业务税金及附加,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务税金及附加,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务税金及附加,家具制造业规模以上工业企业主营业务税金及附加,造纸及纸制品业规模以上工业企业主营业务税金及附加,印刷业和记录媒介的复制规模以上工业企业主营业务税金及附加,文教体育用品制造业规模以上工业企业主营业务税金及附加,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务税金及附加,化学原料及化学制品制造业规模以上工业企业主营业务税金及附加,医药制造业规模以上工业企业主营业务税金及附加,化学纤维制造业规模以上工业企业主营业务税金及附加,橡胶制品业规模以上工业企业主营业务税金及附加,塑料制品业规模以上工业企业主营业务税金及附加,非金属矿物制品业规模以上工业企业主营业务税金及附加,黑色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,有色金属冶炼及压延加工业规模以上工业企业主营业务税金及附加,金属制品业规模以上工业企业主营业务税金及附加,通用设备制造业规模以上工业企业主营业务税金及附加,专用设备制造业规模以上工业企业主营业务税金及附加,交通运输设备制造业规模以上工业企业主营业务税金及附加,电气机械及器材制造业规模以上工业企业主营业务税金及附加,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务税金及附加,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务税金及附加,工艺品及其他制造业规模以上工业企业主营业务税金及附加,废弃资源和废旧材料回收加工业规模以上工业企业主营业务税金及附加,电力、热力的生产和供应业规模以上工业企业主营业务税金及附加,燃气生产和供应业规模以上工业企业主营业务税金及附加,水的生产和供应业规模以上工业企业主营业务税金及附加
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,12669.53,509.79402,1250.76324,94.84688,46.31511,56.53362,0.12277,187.73378,81.11515,404.1397,3453.4091,156.32365,67.68862,42.85403,60.4647,29.98886,50.63348,21.37387,13.97279,2888.49193,462.88006,95.36137,17.01376,36.78426,70.82473,274.31976,200.09326,119.67621,110.81777,204.91059,136.10963,891.01782,183.57177,155.83952,33.11739,33.81659,12.78669,187.3661,15.06685,11.59027
2010,11183.11,409.49307,809.96004,93.6817,40.47043,57.51665,0.26944,198.01018,69.66167,318.82954,2814.98345,134.36091,64.86511,38.27553,56.39293,26.35969,49.07529,19.42989,12.44785,2695.85574,426.29485,77.67495,12.29213,31.14532,67.59154,245.98358,215.91151,115.51876,111.61141,216.56359,114.78274,1074.36946,188.73195,101.31934,25.56226,35.51037,11.05551,178.06233,11.39465,11.79537
2009,8995.95,303.00797,256.63713,69.12813,33.05277,48.87078,0.19638,190.44406,63.09733,277.09491,2268.62791,124.6108,55.05728,36.89043,54.32557,26.59829,48.32678,17.86547,15.39106,2417.5585,352.64108,70.19485,10.86064,27.20573,69.47469,224.53735,186.90723,121.53538,112.02574,161.75417,92.24919,768.58815,161.94813,81.34818,21.83344,31.56907,8.78555,163.64587,11.67313,10.39341
2008,6277.28,278.33301,569.42409,60.17634,29.11657,45.11735,0.13077,156.30674,49.00167,238.47861,1840.34799,108.66007,50.13547,35.31844,46.52407,19.30137,41.77485,15.69969,20.99529,433.17938,241.87088,51.19762,8.72973,23.66798,53.04826,184.48432,265.26495,132.38441,95.05124,141.22397,76.75608,511.58809,128.09636,81.93171,21.58304,28.56551,9.58325,167.79371,7.84517,8.58998
