年份,规模以上工业企业固定资产原价合计,煤炭开采和洗选业规模以上工业企业固定资产原价合计,石油和天然气开采业规模以上工业企业固定资产原价合计,黑色金属矿采选业规模以上工业企业固定资产原价合计,有色金属矿采选业规模以上工业企业固定资产原价合计,非金属矿采选业规模以上工业企业固定资产原价合计,其他采矿业规模以上工业企业固定资产原价合计,农副食品加工业规模以上工业企业固定资产原价合计,食品制造业规模以上工业企业固定资产原价合计,饮料制造业规模以上工业企业固定资产原价合计,烟草制品业规模以上工业企业固定资产原价合计,纺织业规模以上工业企业固定资产原价合计,纺织服装、鞋、帽制造业规模以上工业企业固定资产原价合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业固定资产原价合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业固定资产原价合计,家具制造业规模以上工业企业固定资产原价合计,造纸及纸制品业规模以上工业企业固定资产原价合计,印刷业和记录媒介的复制规模以上工业企业固定资产原价合计,文教体育用品制造业规模以上工业企业固定资产原价合计,石油加工、炼焦及核燃料加工业规模以上工业企业固定资产原价合计,化学原料及化学制品制造业规模以上工业企业固定资产原价合计,医药制造业规模以上工业企业固定资产原价合计,化学纤维制造业规模以上工业企业固定资产原价合计,橡胶制品业规模以上工业企业固定资产原价合计,塑料制品业规模以上工业企业固定资产原价合计,非金属矿物制品业规模以上工业企业固定资产原价合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,有色金属冶炼及压延加工业规模以上工业企业固定资产原价合计,金属制品业规模以上工业企业固定资产原价合计,通用设备制造业规模以上工业企业固定资产原价合计,专用设备制造业规模以上工业企业固定资产原价合计,交通运输设备制造业规模以上工业企业固定资产原价合计,电气机械及器材制造业规模以上工业企业固定资产原价合计,通信设备、计算机及其他电子设备制造规模以上工业企业固定资产原价合计,仪器仪表及文化、办公用机械制造业规模以上工业企业固定资产原价合计,工艺品及其他制造业规模以上工业企业固定资产原价合计,废弃资源和废旧材料回收加工业规模以上工业企业固定资产原价合计,电力、热力的生产和供应业规模以上工业企业固定资产原价合计,燃气生产和供应业规模以上工业企业固定资产原价合计,水的生产和供应业规模以上工业企业固定资产原价合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,386086.7167,17607.58156,21787.89397,2779.93795,1665.12398,1298.15979,10.14354,11429.39842,4561.53145,4651.94816,1939.35281,10954.05653,3037.78589,1714.76226,2512.55899,1284.09671,6945.45514,1887.03033,821.90431,12599.54489,27380.33601,5630.11829,2834.8106,2965.2647,5078.43709,17935.8312,32170.96821,11768.85151,6662.63176,12219.54811,8247.44468,20051.76017,14314.6461,18331.62453,2109.56681,1518.694,488.28336,80634.97636,1940.54566,4314.11087
2010,334839.41192,14640.08924,16993.05038,2179.48404,1493.59228,1031.10552,17.01952,9180.38812,3854.98128,4002.53438,1803.74718,9965.48095,2793.54921,1506.79886,2104.77891,1132.90152,5651.87949,1981.26455,828.4475,11197.325,22996.39013,4873.24204,2235.82971,2385.59972,4671.37569,15016.33005,28593.39805,10202.09646,5800.66341,11098.92048,6904.16038,16987.8571,10314.13176,17751.29847,1856.16984,1275.34384,319.6886,73070.92126,1782.15634,4345.42066
2009,278541.08679,12064.61544,15676.44952,1360.46007,1154.84884,832.43381,5.50664,7026.50968,3173.18182,3395.55996,1656.68249,8663.97366,2440.41565,1259.21777,1637.9758,922.24031,4833.70807,1770.72674,761.233,9313.07856,18631.57208,4150.58908,2008.41625,2068.35799,3900.78194,12206.04351,23502.46928,8093.49146,4764.76645,8424.56037,5511.44639,13625.90124,8225.28299,13447.61072,1474.88385,1120.61832,260.6943,63844.994,1480.33034,3849.4584
2008,245352.79871,9798.86137,14390.27185,1216.28285,1049.49795,772.66686,2.93746,5393.06807,2759.64441,3101.35033,1507.21257,8287.57899,2321.00435,1160.86088,1473.0029,836.00173,4473.60122,1662.08605,720.69812,7518.52979,16012.17311,3732.34561,2045.68289,1839.64954,3511.53369,10541.60233,19980.04465,6964.36616,4136.93449,7453.95178,4921.0812,11846.87951,6976.94798,12295.97358,1306.03775,999.15415,213.84247,57357.23631,1229.49386,3542.7099
