年份,规模以上工业企业实收资本,煤炭开采和洗选业规模以上工业企业实收资本,石油和天然气开采业规模以上工业企业实收资本,黑色金属矿采选业规模以上工业企业实收资本,有色金属矿采选业规模以上工业企业实收资本,非金属矿采选业规模以上工业企业实收资本,其他采矿业规模以上工业企业实收资本,农副食品加工业规模以上工业企业实收资本,食品制造业规模以上工业企业实收资本,饮料制造业规模以上工业企业实收资本,烟草制品业规模以上工业企业实收资本,纺织业规模以上工业企业实收资本,纺织服装、鞋、帽制造业规模以上工业企业实收资本,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业实收资本,木材加工及木、竹、藤、棕、草制品业规模以上工业企业实收资本,家具制造业规模以上工业企业实收资本,造纸及纸制品业规模以上工业企业实收资本,印刷业和记录媒介的复制规模以上工业企业实收资本,文教体育用品制造业规模以上工业企业实收资本,石油加工、炼焦及核燃料加工业规模以上工业企业实收资本,化学原料及化学制品制造业规模以上工业企业实收资本,医药制造业规模以上工业企业实收资本,化学纤维制造业规模以上工业企业实收资本,橡胶制品业规模以上工业企业实收资本,塑料制品业规模以上工业企业实收资本,非金属矿物制品业规模以上工业企业实收资本,黑色金属冶炼及压延加工业规模以上工业企业实收资本,有色金属冶炼及压延加工业规模以上工业企业实收资本,金属制品业规模以上工业企业实收资本,通用设备制造业规模以上工业企业实收资本,专用设备制造业规模以上工业企业实收资本,交通运输设备制造业规模以上工业企业实收资本,电气机械及器材制造业规模以上工业企业实收资本,通信设备、计算机及其他电子设备制造规模以上工业企业实收资本,仪器仪表及文化、办公用机械制造业规模以上工业企业实收资本,工艺品及其他制造业规模以上工业企业实收资本,废弃资源和废旧材料回收加工业规模以上工业企业实收资本,电力、热力的生产和供应业规模以上工业企业实收资本,燃气生产和供应业规模以上工业企业实收资本,水的生产和供应业规模以上工业企业实收资本
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,144684.13261,4936.15874,6128.27501,1337.41661,736.07322,466.03642,2.48422,3685.1877,2022.15027,1968.47073,900.43118,4417.27298,1699.03243,966.09059,955.37619,693.20922,2632.29791,817.25998,492.06448,4444.69466,10192.86617,2815.35677,1026.48527,1048.96757,2503.78787,6741.47018,7385.51051,13993.48821,3249.66539,6250.63932,4310.49821,8970.0922,7188.60061,9475.54919,1249.91428,782.47145,182.89448,15569.43622,831.51776,1614.93841
2010,122494.54323,4384.30684,5123.9435,1142.15967,637.8923,445.05448,5.05192,3280.2697,1746.75611,1829.19391,793.56509,4230.02039,1613.94334,933.06336,917.5758,685.04408,2514.69834,883.02214,547.59905,3444.06173,9067.61012,2521.75996,906.52118,983.08394,2412.56287,6096.38479,6680.52253,3513.79992,3058.3006,5630.39418,3948.45406,8044.11116,6269.70647,8816.09316,1164.70725,742.56615,152.86989,15041.42911,715.27959,1571.16455
2009,111188.91989,3808.18388,4597.41832,735.71344,543.80463,384.94091,1.67656,2868.22133,1597.53673,1593.58727,829.89092,3875.54543,1519.35547,861.6313,830.09565,590.03554,2232.99304,830.51533,548.56313,3228.43624,8111.10236,2248.30443,901.67496,878.93474,2181.52284,5299.40006,6380.81512,3131.00294,2740.0987,4993.12154,3422.63246,7063.40894,5338.45781,7848.15188,1085.80023,692.07377,136.96197,15147.83067,682.0007,1427.47865
2008,104086.05807,3548.93448,5416.36627,664.12025,513.5454,340.72895,1.93969,2630.43831,1494.68519,1514.70145,760.23615,3782.70043,1478.66044,833.05416,773.97841,562.9649,2005.721,812.86014,518.03266,3649.44252,7509.81661,2073.89795,927.03331,815.07927,2059.69484,4811.76592,5469.21166,2795.86892,2447.78484,4261.38035,3007.1706,6483.75934,4685.1176,7491.25355,1031.64927,644.03708,114.87046,14214.14623,639.72651,1299.68296
2007,82732.35507,2700.411,3470.04799,447.73448,358.87848,255.61013,1.31551,2077.62704,1231.39568,1267.79305,540.48789,3284.40863,1251.02523,729.94868,576.03602,458.88179,1564.28558,674.95252,426.5018,2540.45836,6082.66625,1815.7061,891.50022,733.39499,1723.82184,3841.27589,4354.84175,2074.93679,1859.28552,3323.20535,2103.76766,5272.56481,3555.90214,6030.19367,767.76663,523.50432,46.37328,12245.03805,487.29005,1141.5199
