年份,规模以上工业企业固定资产合计,煤炭开采和洗选业规模以上工业企业固定资产合计,石油和天然气开采业规模以上工业企业固定资产合计,黑色金属矿采选业规模以上工业企业固定资产合计,有色金属矿采选业规模以上工业企业固定资产合计,非金属矿采选业规模以上工业企业固定资产合计,其他采矿业规模以上工业企业固定资产合计,农副食品加工业规模以上工业企业固定资产合计,食品制造业规模以上工业企业固定资产合计,饮料制造业规模以上工业企业固定资产合计,烟草制品业规模以上工业企业固定资产合计,纺织业规模以上工业企业固定资产合计,纺织服装、鞋、帽制造业规模以上工业企业固定资产合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业固定资产合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业固定资产合计,家具制造业规模以上工业企业固定资产合计,造纸及纸制品业规模以上工业企业固定资产合计,印刷业和记录媒介的复制规模以上工业企业固定资产合计,文教体育用品制造业规模以上工业企业固定资产合计,石油加工、炼焦及核燃料加工业规模以上工业企业固定资产合计,化学原料及化学制品制造业规模以上工业企业固定资产合计,医药制造业规模以上工业企业固定资产合计,化学纤维制造业规模以上工业企业固定资产合计,橡胶制品业规模以上工业企业固定资产合计,塑料制品业规模以上工业企业固定资产合计,非金属矿物制品业规模以上工业企业固定资产合计,黑色金属冶炼及压延加工业规模以上工业企业固定资产合计,有色金属冶炼及压延加工业规模以上工业企业固定资产合计,金属制品业规模以上工业企业固定资产合计,通用设备制造业规模以上工业企业固定资产合计,专用设备制造业规模以上工业企业固定资产合计,交通运输设备制造业规模以上工业企业固定资产合计,电气机械及器材制造业规模以上工业企业固定资产合计,通信设备、计算机及其他电子设备制造规模以上工业企业固定资产合计,仪器仪表及文化、办公用机械制造业规模以上工业企业固定资产合计,工艺品及其他制造业规模以上工业企业固定资产合计,废弃资源和废旧材料回收加工业规模以上工业企业固定资产合计,电力、热力的生产和供应业规模以上工业企业固定资产合计,燃气生产和供应业规模以上工业企业固定资产合计,水的生产和供应业规模以上工业企业固定资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,253198.19279,13979.24181,12724.58327,2173.54207,1395.34386,818.10896,7.5046,6789.91177,3046.95372,3183.12931,1415.64533,7138.8582,1973.21069,1150.67643,1615.58215,906.87241,4525.38507,1103.20933,538.20395,8019.96516,18245.48869,3770.22395,1777.65041,1937.87435,3132.2795,12888.11406,19685.74046,8269.91016,4471.78035,8070.54293,5638.49674,13893.11674,8235.69934,9817.50917,1315.01912,1026.31477,328.39675,53479.4169,1582.35675,3126.33356
2010,238097.80189,11977.8099,10718.99267,1994.38613,1295.99645,769.27289,8.56877,6059.41646,2737.01846,2832.92331,1247.86613,6894.64414,1985.56655,1061.511,1535.18272,810.04006,4214.03446,1230.64474,577.10498,7454.63469,16671.23094,3502.18743,1511.48667,1668.72441,3024.00451,11515.64774,19757.51505,7772.77583,4134.36803,7974.02108,5029.44861,12572.73182,7370.04364,11119.45239,1278.99206,899.39455,220.34373,51941.29879,1450.60125,3277.91885
2009,207355.57459,9802.52701,11227.79971,1262.87427,1009.33476,675.42588,3.12691,5083.79743,2386.48578,2426.06359,979.91551,6165.80939,1767.66677,915.67986,1252.23766,691.88651,3726.75103,1124.58618,517.98666,6435.69996,14270.15253,3121.93219,1386.38227,1458.31934,2633.18844,9497.13174,17705.90961,6570.48143,3468.31119,6365.50821,4190.54477,10702.70192,5989.1464,8149.94047,1008.09778,820.18643,201.60027,48065.47843,1256.38762,3038.51868
2008,179191.7152,8014.97204,8158.83525,1025.35898,883.24476,575.07634,2.29304,4170.26726,2067.8694,2321.8465,867.33576,5978.32827,1697.74012,854.91464,1132.71258,638.59313,3389.40576,1075.45655,494.17647,4996.76324,11811.87221,2783.36897,1421.85671,1398.43907,2409.45313,7968.89281,14973.82384,5635.3714,2988.61537,5436.93563,3695.06498,9200.17801,4980.12628,7903.03215,917.04663,759.71405,156.93323,42641.13802,1040.11667,2724.54595
