年份,规模以上工业企业法人资本金,煤炭开采和洗选业规模以上工业企业法人资本金,石油和天然气开采业规模以上工业企业法人资本金,黑色金属矿采选业规模以上工业企业法人资本金,有色金属矿采选业规模以上工业企业法人资本金,非金属矿采选业规模以上工业企业法人资本金,其他采矿业规模以上工业企业法人资本金,农副食品加工业规模以上工业企业法人资本金,食品制造业规模以上工业企业法人资本金,饮料制造业规模以上工业企业法人资本金,烟草制品业规模以上工业企业法人资本金,纺织业规模以上工业企业法人资本金,纺织服装、鞋、帽制造业规模以上工业企业法人资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业法人资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业法人资本金,家具制造业规模以上工业企业法人资本金,造纸及纸制品业规模以上工业企业法人资本金,印刷业和记录媒介的复制规模以上工业企业法人资本金,文教体育用品制造业规模以上工业企业法人资本金,石油加工、炼焦及核燃料加工业规模以上工业企业法人资本金,化学原料及化学制品制造业规模以上工业企业法人资本金,医药制造业规模以上工业企业法人资本金,化学纤维制造业规模以上工业企业法人资本金,橡胶制品业规模以上工业企业法人资本金,塑料制品业规模以上工业企业法人资本金,非金属矿物制品业规模以上工业企业法人资本金,黑色金属冶炼及压延加工业规模以上工业企业法人资本金,有色金属冶炼及压延加工业规模以上工业企业法人资本金,金属制品业规模以上工业企业法人资本金,通用设备制造业规模以上工业企业法人资本金,专用设备制造业规模以上工业企业法人资本金,交通运输设备制造业规模以上工业企业法人资本金,电气机械及器材制造业规模以上工业企业法人资本金,通信设备、计算机及其他电子设备制造规模以上工业企业法人资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业法人资本金,工艺品及其他制造业规模以上工业企业法人资本金,废弃资源和废旧材料回收加工业规模以上工业企业法人资本金,电力、热力的生产和供应业规模以上工业企业法人资本金,燃气生产和供应业规模以上工业企业法人资本金,水的生产和供应业规模以上工业企业法人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,53035.07365,2415.44552,2724.65914,443.29376,310.04799,179.10088,0.43635,1343.71048,715.28428,699.67255,725.37328,1379.96325,452.9614,249.40247,331.88202,183.37103,755.95657,297.00096,88.33036,1930.97729,4002.24928,1098.66517,359.7985,248.26872,710.95396,2803.53052,3636.74026,1749.36101,962.4668,1926.20049,1638.13275,4025.50792,2545.87867,2584.45179,325.87679,284.08805,67.54888,8051.99995,365.84013,420.64443
2010,46337.12348,2170.72606,2563.10777,419.13012,302.94548,156.25151,0.7231,1141.66124,563.13662,643.64269,644.32626,1118.01745,426.50608,194.58983,316.89474,175.34514,723.07145,298.86406,92.74343,1433.35017,3727.64341,987.35102,327.54009,229.82371,663.47117,2411.0487,2815.4401,1519.54768,872.75283,1889.89583,1346.22141,3358.59678,2029.91139,2147.90582,346.73928,213.21937,57.19731,7285.41361,342.33445,380.03632
2009,39146.85282,1680.84471,1981.27532,230.99561,239.12299,140.03038,0.2446,997.16642,520.20635,514.33112,630.52429,984.20206,367.67592,180.2091,252.53067,140.30197,679.74698,278.58478,86.30026,1321.07074,3106.16909,879.75218,340.4125,201.40491,550.77525,1965.06054,2707.15937,1280.76607,772.56205,1549.90262,1019.39007,2992.34084,1587.06814,1675.75331,298.00562,177.13176,46.91095,6165.97742,302.926,302.01986
2008,33851.08252,1144.30003,2262.67556,249.85381,203.48561,127.09886,0.87542,865.2191,415.24709,448.92845,578.4455,926.14528,333.99658,149.61726,232.51479,120.79006,549.48022,255.0523,71.75513,1448.18201,2565.28632,775.74919,329.53792,167.79683,456.04027,1644.11625,1962.31021,1034.07956,630.47376,1192.25079,967.04137,2654.71386,1300.57352,1568.03518,281.03573,140.56772,41.61442,5223.1743,261.97601,271.04625
2007,27150.60602,913.63568,1870.10327,195.78292,165.43488,96.12555,0.73682,699.71722,349.58999,384.74288,380.28069,799.4065,281.49488,129.54284,174.56737,93.88216,412.54472,196.91164,52.83741,1027.72096,2309.30364,701.38011,357.82874,154.67617,399.67404,1337.13995,1413.92449,764.73164,454.95637,887.88626,591.73371,2081.89133,906.12281,974.3527,168.6752,121.19107,10.62622,4939.81358,133.6651,215.97451
