年份,规模以上工业企业财务费用,煤炭开采和洗选业规模以上工业企业财务费用,石油和天然气开采业规模以上工业企业财务费用,黑色金属矿采选业规模以上工业企业财务费用,有色金属矿采选业规模以上工业企业财务费用,非金属矿采选业规模以上工业企业财务费用,其他采矿业规模以上工业企业财务费用,农副食品加工业规模以上工业企业财务费用,食品制造业规模以上工业企业财务费用,饮料制造业规模以上工业企业财务费用,烟草制品业规模以上工业企业财务费用,纺织业规模以上工业企业财务费用,纺织服装、鞋、帽制造业规模以上工业企业财务费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业财务费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业财务费用,家具制造业规模以上工业企业财务费用,造纸及纸制品业规模以上工业企业财务费用,印刷业和记录媒介的复制规模以上工业企业财务费用,文教体育用品制造业规模以上工业企业财务费用,石油加工、炼焦及核燃料加工业规模以上工业企业财务费用,化学原料及化学制品制造业规模以上工业企业财务费用,医药制造业规模以上工业企业财务费用,化学纤维制造业规模以上工业企业财务费用,橡胶制品业规模以上工业企业财务费用,塑料制品业规模以上工业企业财务费用,非金属矿物制品业规模以上工业企业财务费用,黑色金属冶炼及压延加工业规模以上工业企业财务费用,有色金属冶炼及压延加工业规模以上工业企业财务费用,金属制品业规模以上工业企业财务费用,通用设备制造业规模以上工业企业财务费用,专用设备制造业规模以上工业企业财务费用,交通运输设备制造业规模以上工业企业财务费用,电气机械及器材制造业规模以上工业企业财务费用,通信设备、计算机及其他电子设备制造规模以上工业企业财务费用,仪器仪表及文化、办公用机械制造业规模以上工业企业财务费用,工艺品及其他制造业规模以上工业企业财务费用,废弃资源和废旧材料回收加工业规模以上工业企业财务费用,电力、热力的生产和供应业规模以上工业企业财务费用,燃气生产和供应业规模以上工业企业财务费用,水的生产和供应业规模以上工业企业财务费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,8913.45057,478.32626,74.22992,86.45053,43.14968,36.6056,0.16569,314.27764,91.40631,71.23071,-5.31349,411.07894,98.51698,73.56025,78.56504,46.47529,171.95069,35.04138,21.10084,284.4182,670.52995,135.00621,94.8112,81.49622,136.65277,490.16062,845.4094,448.24581,207.21749,338.94453,234.88466,265.83153,482.59019,147.2316,44.50863,59.07961,15.21232,1712.29105,25.88957,66.22075
2010,7024.6801,328.62638,42.11043,57.33388,35.13801,29.82779,0.12133,271.08743,83.64403,66.18889,-2.94141,335.74124,87.77642,56.92576,65.23367,35.95451,142.68468,30.36759,22.54411,199.18989,516.96753,115.11685,71.07038,60.64607,118.66478,357.60088,635.34253,317.58099,167.92792,268.15249,166.06495,237.34824,353.68264,153.25433,35.53297,47.29962,12.95981,1414.63789,22.93661,64.33799
2009,5898.8731,249.70326,32.53073,34.47983,27.12276,24.44497,0.05048,223.46733,77.19252,63.74984,-4.60065,277.25179,71.90322,46.46464,54.0468,30.2477,128.81703,25.62839,19.92229,158.90411,429.06649,110.86034,60.99936,56.25214,97.99186,297.86134,497.72632,239.79119,142.19277,214.34942,131.42853,218.13273,244.82665,147.68681,28.62625,37.12787,9.49057,1314.53978,19.66214,58.9335
2008,6021.81458,231.12099,31.25614,39.00289,21.69809,22.1332,0.08388,216.30895,75.47653,58.55061,-3.01172,304.57865,76.95154,43.94154,52.86609,28.02881,121.37235,26.68074,19.64268,201.02334,398.73467,119.10896,74.13478,60.81239,101.93391,288.19208,575.46483,243.90572,141.39661,211.97244,135.45326,174.36092,292.87737,185.48148,26.8506,36.44123,8.05366,1302.58681,19.14337,57.20419
2007,4287.88079,139.71697,19.82698,22.72312,18.30626,13.5184,0.08827,155.26577,56.57782,43.61215,4.23129,252.05889,64.11009,36.82175,39.12365,23.82722,102.24031,21.42104,17.46833,108.96681,293.15226,94.8418,62.70334,44.68028,81.03251,213.49535,414.15714,187.45358,101.53946,147.27423,88.27175,121.60993,198.98519,108.70944,19.4782,29.17091,2.83426,885.96305,12.51647,40.10652
