年份,规模以上工业企业所有者权益合计,煤炭开采和洗选业规模以上工业企业所有者权益合计,石油和天然气开采业规模以上工业企业所有者权益合计,黑色金属矿采选业规模以上工业企业所有者权益合计,有色金属矿采选业规模以上工业企业所有者权益合计,非金属矿采选业规模以上工业企业所有者权益合计,其他采矿业规模以上工业企业所有者权益合计,农副食品加工业规模以上工业企业所有者权益合计,食品制造业规模以上工业企业所有者权益合计,饮料制造业规模以上工业企业所有者权益合计,烟草制品业规模以上工业企业所有者权益合计,纺织业规模以上工业企业所有者权益合计,纺织服装、鞋、帽制造业规模以上工业企业所有者权益合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业所有者权益合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业所有者权益合计,家具制造业规模以上工业企业所有者权益合计,造纸及纸制品业规模以上工业企业所有者权益合计,印刷业和记录媒介的复制规模以上工业企业所有者权益合计,文教体育用品制造业规模以上工业企业所有者权益合计,石油加工、炼焦及核燃料加工业规模以上工业企业所有者权益合计,化学原料及化学制品制造业规模以上工业企业所有者权益合计,医药制造业规模以上工业企业所有者权益合计,化学纤维制造业规模以上工业企业所有者权益合计,橡胶制品业规模以上工业企业所有者权益合计,塑料制品业规模以上工业企业所有者权益合计,非金属矿物制品业规模以上工业企业所有者权益合计,黑色金属冶炼及压延加工业规模以上工业企业所有者权益合计,有色金属冶炼及压延加工业规模以上工业企业所有者权益合计,金属制品业规模以上工业企业所有者权益合计,通用设备制造业规模以上工业企业所有者权益合计,专用设备制造业规模以上工业企业所有者权益合计,交通运输设备制造业规模以上工业企业所有者权益合计,电气机械及器材制造业规模以上工业企业所有者权益合计,通信设备、计算机及其他电子设备制造规模以上工业企业所有者权益合计,仪器仪表及文化、办公用机械制造业规模以上工业企业所有者权益合计,工艺品及其他制造业规模以上工业企业所有者权益合计,废弃资源和废旧材料回收加工业规模以上工业企业所有者权益合计,电力、热力的生产和供应业规模以上工业企业所有者权益合计,燃气生产和供应业规模以上工业企业所有者权益合计,水的生产和供应业规模以上工业企业所有者权益合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,282003.81,15293.73132,9631.22689,3392.93775,1862.93193,1148.54911,7.96692,8948.23564,4250.49111,4728.33505,4667.58321,8698.53216,3529.34148,2188.5434,2052.91508,1395.43115,4630.44571,1636.8979,872.47108,6924.78136,19759.17569,7523.01209,1991.54681,2133.84585,4551.60967,13660.55197,16848.10455,8920.35979,6550.78398,13135.75992,9874.76516,20925.27825,15618.96129,17059.66838,3061.03191,1776.38608,468.3967,28116.77497,1559.02318,2607.42339
2010,251160.35,12444.70438,9389.692,2954.03378,1622.67845,1004.75047,10.40653,7521.27445,3517.27206,3868.48474,4161.0052,8068.81728,3419.90944,1906.76803,1883.25112,1220.80227,4167.71189,1671.41247,889.85133,6070.69796,17077.86557,6197.56421,1675.21534,1836.45988,4302.98703,11564.44858,15706.51673,7885.33147,5870.74232,12018.92929,8495.18558,17675.45567,13368.2822,17247.0172,2568.15221,1563.56507,307.54504,26150.77779,1318.89207,2535.88895
2009,206688.83,9746.64184,8064.46833,1598.21399,1340.81295,794.69022,2.71351,6103.41475,3026.48782,3232.00054,3755.25102,7001.80274,2825.2674,1543.46639,1534.52805,986.61894,3402.20438,1461.92885,802.49104,4853.72331,13952.08993,5009.17309,1325.28909,1553.18425,3523.80767,9355.14543,14880.71708,6606.14032,4771.83155,9413.09523,6328.13832,13953.59466,10135.82061,12441.22345,2123.24685,1319.17865,238.6083,24185.3943,1185.22841,2311.19253
2008,182353.38,7974.63425,7793.57949,1653.06047,1241.55219,678.35508,2.24046,4975.37637,2465.81011,2926.55241,3386.45227,6401.23878,2587.33563,1402.36166,1398.97961,866.055,3141.98597,1335.40631,746.24794,4455.67067,12382.33435,4094.23181,1357.15244,1351.81097,3161.52856,7870.80676,12890.1849,5964.50209,4121.73905,7834.41947,5451.26199,11742.948,8754.31758,11238.82917,1894.65007,1131.52386,178.51741,22411.27641,973.90181,2114.54514
