年份,规模以上工业企业产成品,煤炭开采和洗选业规模以上工业企业产成品,石油和天然气开采业规模以上工业企业产成品,黑色金属矿采选业规模以上工业企业产成品,有色金属矿采选业规模以上工业企业产成品,非金属矿采选业规模以上工业企业产成品,其他采矿业规模以上工业企业产成品,农副食品加工业规模以上工业企业产成品,食品制造业规模以上工业企业产成品,饮料制造业规模以上工业企业产成品,烟草制品业规模以上工业企业产成品,纺织业规模以上工业企业产成品,纺织服装、鞋、帽制造业规模以上工业企业产成品,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业产成品,木材加工及木、竹、藤、棕、草制品业规模以上工业企业产成品,家具制造业规模以上工业企业产成品,造纸及纸制品业规模以上工业企业产成品,印刷业和记录媒介的复制规模以上工业企业产成品,文教体育用品制造业规模以上工业企业产成品,石油加工、炼焦及核燃料加工业规模以上工业企业产成品,化学原料及化学制品制造业规模以上工业企业产成品,医药制造业规模以上工业企业产成品,化学纤维制造业规模以上工业企业产成品,橡胶制品业规模以上工业企业产成品,塑料制品业规模以上工业企业产成品,非金属矿物制品业规模以上工业企业产成品,黑色金属冶炼及压延加工业规模以上工业企业产成品,有色金属冶炼及压延加工业规模以上工业企业产成品,金属制品业规模以上工业企业产成品,通用设备制造业规模以上工业企业产成品,专用设备制造业规模以上工业企业产成品,交通运输设备制造业规模以上工业企业产成品,电气机械及器材制造业规模以上工业企业产成品,通信设备、计算机及其他电子设备制造规模以上工业企业产成品,仪器仪表及文化、办公用机械制造业规模以上工业企业产成品,工艺品及其他制造业规模以上工业企业产成品,废弃资源和废旧材料回收加工业规模以上工业企业产成品,电力、热力的生产和供应业规模以上工业企业产成品,燃气生产和供应业规模以上工业企业产成品,水的生产和供应业规模以上工业企业产成品
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,28478.63959,740.25594,105.57177,212.19349,169.61117,85.55448,0.49668,1510.04693,495.74183,532.16543,145.94056,1380.54206,660.79202,264.23926,257.71932,183.11075,433.47928,135.30252,121.23791,936.82598,2058.17816,716.04389,321.03011,336.87469,540.62663,1320.91483,2270.47605,1290.5195,852.11878,1717.01506,1454.79839,2251.03338,2166.94403,1805.03131,301.81749,444.23005,139.69651,87.88801,26.59681,5.97853
2010,23841.14751,603.38959,109.03733,182.33122,127.72071,79.40816,1.91066,1285.28485,410.40183,431.42693,142.59829,1194.61741,568.90654,226.13895,235.08065,168.97546,359.16938,130.74957,109.06328,706.98638,1646.25374,587.00778,229.23239,276.79129,501.03026,1108.24684,1792.31046,958.04573,769.00783,1491.07936,1143.42742,2154.69341,1868.00874,1552.14624,251.94504,301.29425,77.03805,37.39633,18.53952,4.45564
2009,20495.01256,459.56081,95.5856,158.0935,118.05375,74.81469,0.25994,1045.28601,378.12798,381.3626,106.29316,1124.50729,504.15489,212.21225,238.87085,141.31958,333.21117,122.58318,101.32244,617.77428,1428.52443,509.90036,185.87414,232.9231,442.2301,1046.68041,1528.76763,756.74892,714.15655,1375.90376,943.37459,1651.68668,1552.72888,1304.99752,213.8772,252.34027,74.62727,41.91377,19.35485,5.00816
2008,19518.94625,433.6559,98.11276,134.88303,93.4407,63.19043,0.19608,912.4753,337.86354,359.55492,177.14734,1122.28396,453.36847,189.1044,211.98392,134.19611,367.45242,109.6477,102.33006,575.06304,1468.38772,468.23771,181.52843,254.59309,411.40316,984.4223,1650.20432,679.95847,623.08501,1342.45254,931.59041,1481.68377,1355.09271,1293.54326,197.72451,197.904,68.94195,38.58034,10.5589,3.10357
2007,16024.36956,286.32343,85.08133,71.99444,69.46527,50.71179,0.14404,772.67245,262.63961,305.0355,61.87014,1081.82224,365.4449,184.07865,168.72181,106.84461,258.81505,97.50197,86.92074,471.48592,1143.02887,408.8954,194.82525,189.40426,379.46354,753.90444,1327.2385,617.93494,522.93909,975.15089,680.60111,1251.75794,1232.02082,1124.67723,173.21452,169.8994,29.91404,51.08915,8.03331,2.80297
