年份,规模以上工业企业应付帐款,煤炭开采和洗选业规模以上工业企业应付帐款,石油和天然气开采业规模以上工业企业应付帐款,黑色金属矿采选业规模以上工业企业应付帐款,有色金属矿采选业规模以上工业企业应付帐款,非金属矿采选业规模以上工业企业应付帐款,其他采矿业规模以上工业企业应付帐款,农副食品加工业规模以上工业企业应付帐款,食品制造业规模以上工业企业应付帐款,饮料制造业规模以上工业企业应付帐款,烟草制品业规模以上工业企业应付帐款,纺织业规模以上工业企业应付帐款,纺织服装、鞋、帽制造业规模以上工业企业应付帐款,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业应付帐款,木材加工及木、竹、藤、棕、草制品业规模以上工业企业应付帐款,家具制造业规模以上工业企业应付帐款,造纸及纸制品业规模以上工业企业应付帐款,印刷业和记录媒介的复制规模以上工业企业应付帐款,文教体育用品制造业规模以上工业企业应付帐款,石油加工、炼焦及核燃料加工业规模以上工业企业应付帐款,化学原料及化学制品制造业规模以上工业企业应付帐款,医药制造业规模以上工业企业应付帐款,化学纤维制造业规模以上工业企业应付帐款,橡胶制品业规模以上工业企业应付帐款,塑料制品业规模以上工业企业应付帐款,非金属矿物制品业规模以上工业企业应付帐款,黑色金属冶炼及压延加工业规模以上工业企业应付帐款,有色金属冶炼及压延加工业规模以上工业企业应付帐款,金属制品业规模以上工业企业应付帐款,通用设备制造业规模以上工业企业应付帐款,专用设备制造业规模以上工业企业应付帐款,交通运输设备制造业规模以上工业企业应付帐款,电气机械及器材制造业规模以上工业企业应付帐款,通信设备、计算机及其他电子设备制造规模以上工业企业应付帐款,仪器仪表及文化、办公用机械制造业规模以上工业企业应付帐款,工艺品及其他制造业规模以上工业企业应付帐款,废弃资源和废旧材料回收加工业规模以上工业企业应付帐款,电力、热力的生产和供应业规模以上工业企业应付帐款,燃气生产和供应业规模以上工业企业应付帐款,水的生产和供应业规模以上工业企业应付帐款
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,81391.68625,3295.64127,1940.58413,518.70123,178.14673,111.51529,0.77039,1682.38187,870.70387,787.86932,560.48123,1640.48329,858.85777,532.0578,253.12722,372.25654,1059.1574,356.73761,294.11135,2549.71572,4292.65701,1041.44103,480.96974,536.75976,1096.52911,3096.05447,6030.76337,2103.13615,1700.72123,4115.56654,3493.1943,9594.92628,6045.88773,11141.04993,1056.2112,558.91606,242.77912,6509.75768,224.17986,166.88565
2010,71375.99484,2457.98729,1813.07503,386.82653,153.07106,97.15292,0.93572,1499.66927,796.17772,654.70875,436.29018,1601.15215,882.76507,567.90453,246.12553,384.17515,902.94126,401.05029,314.55389,2155.92653,3726.80582,873.33023,357.69897,486.59085,1145.4006,2654.37679,4875.30756,1723.93202,1639.65503,3824.03019,3080.12883,8831.26887,5299.18069,9730.45413,957.62641,408.33922,165.65899,5477.90624,190.05919,175.75534
2009,58167.93813,1955.29609,1563.01251,273.55992,139.34574,86.79191,0.4181,1176.72081,653.21785,561.24692,367.48586,1492.53676,780.79596,489.74334,237.27174,309.02492,885.07515,349.37046,276.89966,1453.42585,3074.14645,764.54182,289.27294,413.46762,958.59871,2177.03728,4216.35353,1334.71517,1376.19555,3111.52185,2531.81691,7062.01696,4086.8366,7901.27226,785.3787,352.39299,113.53181,4286.87014,144.61042,136.12087
2008,51067.04516,1648.07999,1627.82777,258.91323,140.43051,85.57039,0.4217,1003.39142,618.76652,498.85374,322.153,1486.06112,808.06939,503.12539,238.28871,307.73987,764.95232,327.27566,303.75638,1216.14843,2683.45169,665.48526,237.51164,400.03682,964.48582,1988.50123,4219.60161,1166.60064,1301.54217,2995.16783,2245.73951,4897.92355,3606.04429,6643.14949,670.13274,316.44656,99.60778,3549.03216,124.44082,132.31801
2007,43518.60438,1123.69729,1173.18442,158.35649,105.941,65.37111,0.3993,829.02565,487.34494,447.7088,231.38554,1353.9274,671.29363,463.13703,193.76127,279.09901,658.67374,283.7172,271.44398,885.07473,2323.67695,553.40007,276.8054,330.65337,830.94473,1490.38646,3030.04935,1054.58829,1067.8184,2214.37066,1611.25313,4367.64565,3160.32632,7368.0071,639.78505,300.61931,54.16829,2987.08306,79.03555,95.44471
