年份,规模以上工业企业销售费用,煤炭开采和洗选业规模以上工业企业销售费用,石油和天然气开采业规模以上工业企业销售费用,黑色金属矿采选业规模以上工业企业销售费用,有色金属矿采选业规模以上工业企业销售费用,非金属矿采选业规模以上工业企业销售费用,其他采矿业规模以上工业企业销售费用,农副食品加工业规模以上工业企业销售费用,食品制造业规模以上工业企业销售费用,饮料制造业规模以上工业企业销售费用,烟草制品业规模以上工业企业销售费用,纺织业规模以上工业企业销售费用,纺织服装、鞋、帽制造业规模以上工业企业销售费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业销售费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业销售费用,家具制造业规模以上工业企业销售费用,造纸及纸制品业规模以上工业企业销售费用,印刷业和记录媒介的复制规模以上工业企业销售费用,文教体育用品制造业规模以上工业企业销售费用,石油加工、炼焦及核燃料加工业规模以上工业企业销售费用,化学原料及化学制品制造业规模以上工业企业销售费用,医药制造业规模以上工业企业销售费用,化学纤维制造业规模以上工业企业销售费用,橡胶制品业规模以上工业企业销售费用,塑料制品业规模以上工业企业销售费用,非金属矿物制品业规模以上工业企业销售费用,黑色金属冶炼及压延加工业规模以上工业企业销售费用,有色金属冶炼及压延加工业规模以上工业企业销售费用,金属制品业规模以上工业企业销售费用,通用设备制造业规模以上工业企业销售费用,专用设备制造业规模以上工业企业销售费用,交通运输设备制造业规模以上工业企业销售费用,电气机械及器材制造业规模以上工业企业销售费用,通信设备、计算机及其他电子设备制造规模以上工业企业销售费用,仪器仪表及文化、办公用机械制造业规模以上工业企业销售费用,工艺品及其他制造业规模以上工业企业销售费用,废弃资源和废旧材料回收加工业规模以上工业企业销售费用,电力、热力的生产和供应业规模以上工业企业销售费用,燃气生产和供应业规模以上工业企业销售费用,水的生产和供应业规模以上工业企业销售费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,20259.62828,825.43602,51.90595,120.7959,66.82819,132.61057,0.40084,920.94546,973.03485,955.13423,143.23265,477.95123,450.20338,225.13509,200.14852,160.10492,292.90817,89.3682,72.32609,281.30056,1734.45806,1577.67067,60.40841,173.82215,585.87935,1054.87441,531.56871,309.6793,472.94155,1027.45223,829.98344,1612.25061,1676.78255,1411.2141,235.98045,146.19823,28.25737,199.05635,80.10849,71.27103
2010,17520.2741,662.58578,56.36867,106.7834,59.54278,114.85036,1.1835,775.47607,823.02347,793.54874,122.48735,429.69056,418.92419,192.61523,173.85169,138.46139,271.13634,80.53662,72.12684,249.52101,1527.66125,1294.264,50.17184,148.6532,308.0477,902.96123,483.00271,264.54597,434.49105,901.07917,670.81197,1535.07843,1564.49317,1243.3841,204.96591,132.15212,24.93634,152.06971,67.32481,67.46543
2009,14137.42082,531.23235,45.14341,73.71935,45.75121,93.69792,0.29664,610.32171,705.65247,686.36636,104.91111,346.0026,324.241,146.35309,132.99286,111.55843,219.26536,66.47322,57.51729,206.27371,1252.05235,1075.50632,38.94074,129.07581,250.60303,714.81567,396.92333,203.35214,339.15123,720.27222,502.50258,1169.53633,1209.12737,1104.26332,168.0626,110.32869,20.45054,107.87378,61.25076,55.56192
2008,12893.31007,507.54497,41.19777,72.60818,43.77676,89.49815,0.36019,520.71743,589.52392,577.54552,96.78561,321.98608,301.25471,130.91598,125.81727,107.51875,193.06967,62.68971,57.28273,249.78244,1134.41708,876.45961,34.34696,112.58988,220.59736,648.60671,462.20136,215.37982,323.70521,653.98529,441.87775,955.5096,1085.02209,1182.21936,157.40568,102.57645,20.64156,75.67649,49.81949,50.39648
2007,10728.14583,390.83475,59.86458,51.45814,38.09401,67.55577,0.39615,412.49332,476.89258,485.19267,84.50974,291.14753,235.6095,110.98712,92.22336,84.96307,164.47219,48.80129,51.40907,211.41631,951.44369,716.44803,34.58742,96.24025,184.87049,512.4275,417.87019,156.02317,251.50623,527.94348,340.10442,789.6046,892.52365,1127.85678,131.4762,84.31067,10.86039,62.55846,38.01157,43.15749
