年份,规模以上工业企业利息支出,煤炭开采和洗选业规模以上工业企业利息支出,石油和天然气开采业规模以上工业企业利息支出,黑色金属矿采选业规模以上工业企业利息支出,有色金属矿采选业规模以上工业企业利息支出,非金属矿采选业规模以上工业企业利息支出,其他采矿业规模以上工业企业利息支出,农副食品加工业规模以上工业企业利息支出,食品制造业规模以上工业企业利息支出,饮料制造业规模以上工业企业利息支出,烟草制品业规模以上工业企业利息支出,纺织业规模以上工业企业利息支出,纺织服装、鞋、帽制造业规模以上工业企业利息支出,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业利息支出,木材加工及木、竹、藤、棕、草制品业规模以上工业企业利息支出,家具制造业规模以上工业企业利息支出,造纸及纸制品业规模以上工业企业利息支出,印刷业和记录媒介的复制规模以上工业企业利息支出,文教体育用品制造业规模以上工业企业利息支出,石油加工、炼焦及核燃料加工业规模以上工业企业利息支出,化学原料及化学制品制造业规模以上工业企业利息支出,医药制造业规模以上工业企业利息支出,化学纤维制造业规模以上工业企业利息支出,橡胶制品业规模以上工业企业利息支出,塑料制品业规模以上工业企业利息支出,非金属矿物制品业规模以上工业企业利息支出,黑色金属冶炼及压延加工业规模以上工业企业利息支出,有色金属冶炼及压延加工业规模以上工业企业利息支出,金属制品业规模以上工业企业利息支出,通用设备制造业规模以上工业企业利息支出,专用设备制造业规模以上工业企业利息支出,交通运输设备制造业规模以上工业企业利息支出,电气机械及器材制造业规模以上工业企业利息支出,通信设备、计算机及其他电子设备制造规模以上工业企业利息支出,仪器仪表及文化、办公用机械制造业规模以上工业企业利息支出,工艺品及其他制造业规模以上工业企业利息支出,废弃资源和废旧材料回收加工业规模以上工业企业利息支出,电力、热力的生产和供应业规模以上工业企业利息支出,燃气生产和供应业规模以上工业企业利息支出,水的生产和供应业规模以上工业企业利息支出
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,9054.30254,456.69037,134.19937,79.04219,39.68799,26.70579,0.16423,345.95498,90.41467,84.04021,10.1012,373.91914,84.15428,67.56549,68.67487,39.16682,173.94118,31.62194,18.47397,272.31632,659.32421,132.64782,98.8519,77.32414,122.92963,433.69671,891.70639,448.35691,185.3472,315.5819,225.50247,446.35794,444.22074,244.18548,48.25938,51.73973,15.59161,1714.27371,30.18897,71.38069
2010,6274.20018,305.66839,38.54126,48.46916,28.18163,20.64293,0.10814,243.81118,68.93319,58.59015,-1.73396,286.58445,66.0157,45.53196,51.21417,27.21442,131.38272,23.90248,15.2813,182.03919,464.1248,95.29429,64.87984,52.48121,94.45076,305.74664,600.29044,297.71805,134.80767,214.85526,135.05786,230.54496,279.1036,121.37436,28.82654,36.60806,9.28342,1383.72986,22.32817,62.31593
2009,5323.00587,235.4295,37.88395,29.43577,23.60584,18.65188,0.02829,191.2281,64.14474,52.21183,3.01376,240.06076,56.87442,39.58593,42.80944,21.7395,111.75358,20.8835,14.23394,149.04612,383.02209,92.56499,57.58207,49.89193,79.21788,246.61923,474.33538,216.4717,120.75995,173.46518,114.00434,212.44572,206.93906,129.52671,24.42336,29.01639,7.78252,1278.03385,17.32714,56.95553
2008,5664.16458,211.47655,45.98668,31.13676,20.14136,15.68506,0.06359,194.40994,67.91367,58.01837,-1.91746,275.97351,57.78529,38.35631,41.94961,23.20033,130.9297,23.65755,15.08553,195.78518,390.10781,99.99413,75.22677,56.84628,89.79711,252.86072,570.61361,226.96283,122.91419,171.27266,120.07942,211.67894,235.48368,179.36296,24.47458,29.56249,8.21099,1277.9381,20.37401,54.76577
2007,4163.30647,134.93559,46.05431,21.46419,16.15062,10.63279,0.07612,141.40357,51.47187,43.5429,5.65494,224.42683,46.70637,29.03949,30.62331,17.90525,102.36567,17.92346,10.97934,119.78916,295.01604,81.59914,66.66883,41.96636,67.29289,191.74709,397.33842,161.71555,85.48863,118.90924,78.92806,149.80243,167.14194,142.94017,16.33502,21.40704,2.46786,945.09099,15.50025,44.80474
