年份,规模以上工业企业累计折旧,煤炭开采和洗选业规模以上工业企业累计折旧,石油和天然气开采业规模以上工业企业累计折旧,黑色金属矿采选业规模以上工业企业累计折旧,有色金属矿采选业规模以上工业企业累计折旧,非金属矿采选业规模以上工业企业累计折旧,其他采矿业规模以上工业企业累计折旧,农副食品加工业规模以上工业企业累计折旧,食品制造业规模以上工业企业累计折旧,饮料制造业规模以上工业企业累计折旧,烟草制品业规模以上工业企业累计折旧,纺织业规模以上工业企业累计折旧,纺织服装、鞋、帽制造业规模以上工业企业累计折旧,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业累计折旧,木材加工及木、竹、藤、棕、草制品业规模以上工业企业累计折旧,家具制造业规模以上工业企业累计折旧,造纸及纸制品业规模以上工业企业累计折旧,印刷业和记录媒介的复制规模以上工业企业累计折旧,文教体育用品制造业规模以上工业企业累计折旧,石油加工、炼焦及核燃料加工业规模以上工业企业累计折旧,化学原料及化学制品制造业规模以上工业企业累计折旧,医药制造业规模以上工业企业累计折旧,化学纤维制造业规模以上工业企业累计折旧,橡胶制品业规模以上工业企业累计折旧,塑料制品业规模以上工业企业累计折旧,非金属矿物制品业规模以上工业企业累计折旧,黑色金属冶炼及压延加工业规模以上工业企业累计折旧,有色金属冶炼及压延加工业规模以上工业企业累计折旧,金属制品业规模以上工业企业累计折旧,通用设备制造业规模以上工业企业累计折旧,专用设备制造业规模以上工业企业累计折旧,交通运输设备制造业规模以上工业企业累计折旧,电气机械及器材制造业规模以上工业企业累计折旧,通信设备、计算机及其他电子设备制造规模以上工业企业累计折旧,仪器仪表及文化、办公用机械制造业规模以上工业企业累计折旧,工艺品及其他制造业规模以上工业企业累计折旧,废弃资源和废旧材料回收加工业规模以上工业企业累计折旧,电力、热力的生产和供应业规模以上工业企业累计折旧,燃气生产和供应业规模以上工业企业累计折旧,水的生产和供应业规模以上工业企业累计折旧
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,157312.32145,6693.41178,9764.55396,846.64764,472.65546,563.23489,2.67956,5357.9323,1794.66506,1798.7546,1009.88821,4447.67279,1225.7126,657.57026,1068.88863,472.02721,2835.40623,859.86394,325.43962,5668.45744,11045.95355,2320.21906,1196.82837,1229.69191,2210.26717,6102.44626,14290.63028,4337.80858,2665.72932,5030.35108,3318.84582,8315.05339,6977.69628,9138.12003,928.63478,577.85757,182.74615,29446.76073,543.55934,1587.6596
2010,123546.79674,5451.5272,7610.86982,548.37778,383.34408,355.65906,9.38267,3686.97449,1339.2347,1462.28389,944.66097,3684.04455,1001.74069,543.12756,700.80528,391.20722,1853.93783,834.46159,310.88902,4594.14221,8305.55272,1850.13349,874.4792,882.21919,1862.15167,4632.83527,11280.20578,3433.34209,2099.62093,3898.9283,2478.05469,6621.18262,3843.61025,7311.42286,715.7303,456.2017,113.55677,25172.19411,526.58721,1482.11698
2009,98894.67144,4087.04258,6888.3251,380.25469,311.35691,256.21908,2.84324,2432.8428,1033.42494,1166.82485,881.51996,3024.71747,870.26142,435.93729,509.75154,309.15685,1512.59875,726.4708,283.8714,3882.40328,6474.44567,1466.32586,724.63748,724.28879,1490.41293,3741.00961,8501.39058,2731.03953,1661.26179,2908.82205,1869.31436,4842.84263,3067.779,5831.71384,570.48964,372.66467,70.74317,21145.51899,409.09855,1295.04935
2008,87059.53866,3112.6843,6505.53185,368.5252,291.25058,253.2184,0.70476,1617.42171,890.82001,1139.26361,799.14075,2841.91815,785.95564,394.4202,435.20891,260.26206,1372.38617,683.39921,264.48091,3392.20898,5818.72537,1331.66893,740.25726,621.61722,1291.65037,3320.57014,7052.70977,2102.7219,1441.58,2585.64684,1713.43269,4188.54844,2618.18276,5069.61351,483.29369,327.42805,59.42932,19279.29744,342.31605,1262.04751
2007,69615.70772,2716.77997,6525.26358,249.03629,210.74008,179.2332,0.86553,1142.27649,715.45658,881.16055,722.94752,2313.47715,561.29581,306.66614,303.1676,178.13656,1048.62961,549.74058,202.72758,2611.83547,4422.50829,1076.70848,715.17393,479.28485,998.73517,2606.53101,5756.38877,1607.09194,989.10557,1806.44832,1146.15561,3379.33666,1809.59923,3869.46963,396.88749,249.35035,23.70856,15582.2117,281.87794,999.69793
