年份,规模以上工业企业流动负债合计,煤炭开采和洗选业规模以上工业企业流动负债合计,石油和天然气开采业规模以上工业企业流动负债合计,黑色金属矿采选业规模以上工业企业流动负债合计,有色金属矿采选业规模以上工业企业流动负债合计,非金属矿采选业规模以上工业企业流动负债合计,其他采矿业规模以上工业企业流动负债合计,农副食品加工业规模以上工业企业流动负债合计,食品制造业规模以上工业企业流动负债合计,饮料制造业规模以上工业企业流动负债合计,烟草制品业规模以上工业企业流动负债合计,纺织业规模以上工业企业流动负债合计,纺织服装、鞋、帽制造业规模以上工业企业流动负债合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业流动负债合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业流动负债合计,家具制造业规模以上工业企业流动负债合计,造纸及纸制品业规模以上工业企业流动负债合计,印刷业和记录媒介的复制规模以上工业企业流动负债合计,文教体育用品制造业规模以上工业企业流动负债合计,石油加工、炼焦及核燃料加工业规模以上工业企业流动负债合计,化学原料及化学制品制造业规模以上工业企业流动负债合计,医药制造业规模以上工业企业流动负债合计,化学纤维制造业规模以上工业企业流动负债合计,橡胶制品业规模以上工业企业流动负债合计,塑料制品业规模以上工业企业流动负债合计,非金属矿物制品业规模以上工业企业流动负债合计,黑色金属冶炼及压延加工业规模以上工业企业流动负债合计,有色金属冶炼及压延加工业规模以上工业企业流动负债合计,金属制品业规模以上工业企业流动负债合计,通用设备制造业规模以上工业企业流动负债合计,专用设备制造业规模以上工业企业流动负债合计,交通运输设备制造业规模以上工业企业流动负债合计,电气机械及器材制造业规模以上工业企业流动负债合计,通信设备、计算机及其他电子设备制造规模以上工业企业流动负债合计,仪器仪表及文化、办公用机械制造业规模以上工业企业流动负债合计,工艺品及其他制造业规模以上工业企业流动负债合计,废弃资源和废旧材料回收加工业规模以上工业企业流动负债合计,电力、热力的生产和供应业规模以上工业企业流动负债合计,燃气生产和供应业规模以上工业企业流动负债合计,水的生产和供应业规模以上工业企业流动负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,298911.19741,15181.15436,5626.53729,2392.00678,1242.19877,702.82257,2.26027,8893.49981,3482.7984,3965.13354,1440.99942,9642.73968,3360.13797,1851.09325,1337.04935,1351.97484,4700.19379,1275.21435,812.47233,9600.6818,19233.28193,4613.49096,2710.11578,2209.45089,4356.77289,12470.3651,28416.1692,11438.47411,7566.33092,14533.63449,10951.81131,28262.4356,19279.17044,21666.99658,2723.5345,1956.12944,757.63106,26095.39692,1326.74461,1482.29211
2010,257995.57108,11393.95236,4139.68312,1922.50263,1115.84901,626.29941,4.08921,7674.29956,3143.09088,3423.28064,1263.87081,9207.85576,3167.13185,1800.99357,1276.175,1252.26829,4035.67466,1348.30384,842.0205,7598.3084,16233.50346,4032.36231,2159.3486,1874.03458,4213.57701,10572.55272,23541.15863,9678.33934,6402.78153,13655.24516,9550.12117,26392.4172,16259.82085,18334.57343,2340.31316,1505.12397,567.37638,22933.87673,1084.18706,1429.20829
2009,214406.08643,9128.26255,4040.75508,1390.04207,916.22201,534.55593,1.72817,5996.41527,2621.47969,2898.51166,1134.1777,8044.77464,2774.21532,1569.19206,1160.20522,1003.66033,3417.43159,1208.5431,757.68732,6339.82815,13190.71165,3622.65112,1725.56449,1590.4474,3544.33141,8698.06316,20195.01916,7606.63221,5471.25714,11398.08044,7884.18818,20799.17976,12630.25472,15465.01532,2218.4434,1240.47323,465.19791,18788.43325,1700.02451,1234.43011
2008,190115.98358,7794.85816,2877.16223,1266.23303,829.82469,481.65356,1.62998,5049.70845,2346.89092,2609.6611,1006.7638,7727.02583,2752.4353,1493.44002,1103.6449,969.3743,3259.94302,1136.21896,772.21666,5816.92089,11453.86731,3229.91801,1711.07881,1593.44644,3364.97103,7891.72746,17614.54417,6504.02361,4961.35748,10341.51336,7073.93747,17110.9087,10926.94388,13995.1949,1740.91047,1139.81286,337.59658,17878.70348,791.42718,1158.49458
