年份,规模以上工业企业营业利润,煤炭开采和洗选业规模以上工业企业营业利润,石油和天然气开采业规模以上工业企业营业利润,黑色金属矿采选业规模以上工业企业营业利润,有色金属矿采选业规模以上工业企业营业利润,非金属矿采选业规模以上工业企业营业利润,其他采矿业规模以上工业企业营业利润,农副食品加工业规模以上工业企业营业利润,食品制造业规模以上工业企业营业利润,饮料制造业规模以上工业企业营业利润,烟草制品业规模以上工业企业营业利润,纺织业规模以上工业企业营业利润,纺织服装、鞋、帽制造业规模以上工业企业营业利润,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业营业利润,木材加工及木、竹、藤、棕、草制品业规模以上工业企业营业利润,家具制造业规模以上工业企业营业利润,造纸及纸制品业规模以上工业企业营业利润,印刷业和记录媒介的复制规模以上工业企业营业利润,文教体育用品制造业规模以上工业企业营业利润,石油加工、炼焦及核燃料加工业规模以上工业企业营业利润,化学原料及化学制品制造业规模以上工业企业营业利润,医药制造业规模以上工业企业营业利润,化学纤维制造业规模以上工业企业营业利润,橡胶制品业规模以上工业企业营业利润,塑料制品业规模以上工业企业营业利润,非金属矿物制品业规模以上工业企业营业利润,黑色金属冶炼及压延加工业规模以上工业企业营业利润,有色金属冶炼及压延加工业规模以上工业企业营业利润,金属制品业规模以上工业企业营业利润,通用设备制造业规模以上工业企业营业利润,专用设备制造业规模以上工业企业营业利润,交通运输设备制造业规模以上工业企业营业利润,电气机械及器材制造业规模以上工业企业营业利润,通信设备、计算机及其他电子设备制造规模以上工业企业营业利润,仪器仪表及文化、办公用机械制造业规模以上工业企业营业利润,工艺品及其他制造业规模以上工业企业营业利润,废弃资源和废旧材料回收加工业规模以上工业企业营业利润,电力、热力的生产和供应业规模以上工业企业营业利润,燃气生产和供应业规模以上工业企业营业利润,水的生产和供应业规模以上工业企业营业利润
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,63744.1618,4666.1574,4271.05414,1307.29097,840.26197,393.63547,1.52136,3055.35402,1278.19763,1327.87641,857.2107,1999.61782,971.07547,719.58622,701.51966,352.84473,772.93666,347.94855,178.38102,549.8206,4624.46758,1631.9144,372.57511,464.71233,1049.09755,3633.81174,2694.81733,2382.17624,1649.76729,3211.93982,2194.44564,5512.68931,3465.05706,2917.40456,612.88249,461.0478,194.43658,1741.86837,300.65776,36.10204
2010,55537.21701,3599.28779,3028.50886,929.01013,595.38461,296.59758,2.38041,2560.31775,1053.98554,1018.42661,739.12899,1736.57233,852.47457,631.27262,554.37156,288.0033,739.76943,308.96168,185.61636,1366.33424,3792.42093,1349.97945,363.84555,416.1224,957.4386,2907.52943,2753.13262,1914.82432,1470.81659,2816.42039,1901.09219,4995.17617,3210.30638,2946.15189,534.15603,380.25077,161.09804,1922.55323,242.17153,15.32614
2009,36788.84647,2315.56818,1904.34289,486.46811,375.80528,199.91756,0.82394,1746.98969,759.97061,768.08707,690.52955,1149.65458,635.35281,433.34779,385.40965,203.52221,530.8813,238.53578,130.76785,1004.37611,2300.98252,1002.76722,163.24636,336.62603,650.58805,1935.65294,1935.74673,1110.9662,958.76133,1901.64067,1224.42894,3111.27343,2284.86712,1800.97286,378.90843,272.23396,84.64289,1205.72524,168.76715,-0.30256
2008,32892.75102,2536.47061,4634.65739,747.60366,445.07405,198.76587,0.70357,1485.23757,569.52428,592.35413,695.73106,1022.4803,529.53313,359.32494,333.61357,156.75103,457.68112,196.94466,90.49184,-1115.94034,2155.51523,844.62467,78.60625,200.45856,544.07111,1517.09648,2063.64281,1092.01054,850.41231,1690.06905,1023.43591,2091.77627,1906.6513,1657.25217,316.19842,232.99024,68.96586,511.58859,110.93334,-0.55053
2007,28170.80868,1137.95219,3588.66596,365.82089,444.48736,126.95714,0.59292,1073.94817,424.49107,451.07716,617.61286,833.79959,395.72531,279.07677,223.11488,127.70602,396.24797,153.79652,84.90492,240.91703,1928.8837,557.84224,190.00043,192.8032,449.54157,1045.67333,2327.22822,1271.75486,607.96893,1249.3775,768.82391,1621.53219,1306.43661,1462.66718,279.57032,174.11846,38.34173,1653.76417,61.9639,15.6215
