年份,规模以上工业企业流动资产合计,煤炭开采和洗选业规模以上工业企业流动资产合计,石油和天然气开采业规模以上工业企业流动资产合计,黑色金属矿采选业规模以上工业企业流动资产合计,有色金属矿采选业规模以上工业企业流动资产合计,非金属矿采选业规模以上工业企业流动资产合计,其他采矿业规模以上工业企业流动资产合计,农副食品加工业规模以上工业企业流动资产合计,食品制造业规模以上工业企业流动资产合计,饮料制造业规模以上工业企业流动资产合计,烟草制品业规模以上工业企业流动资产合计,纺织业规模以上工业企业流动资产合计,纺织服装、鞋、帽制造业规模以上工业企业流动资产合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业流动资产合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业流动资产合计,家具制造业规模以上工业企业流动资产合计,造纸及纸制品业规模以上工业企业流动资产合计,印刷业和记录媒介的复制规模以上工业企业流动资产合计,文教体育用品制造业规模以上工业企业流动资产合计,石油加工、炼焦及核燃料加工业规模以上工业企业流动资产合计,化学原料及化学制品制造业规模以上工业企业流动资产合计,医药制造业规模以上工业企业流动资产合计,化学纤维制造业规模以上工业企业流动资产合计,橡胶制品业规模以上工业企业流动资产合计,塑料制品业规模以上工业企业流动资产合计,非金属矿物制品业规模以上工业企业流动资产合计,黑色金属冶炼及压延加工业规模以上工业企业流动资产合计,有色金属冶炼及压延加工业规模以上工业企业流动资产合计,金属制品业规模以上工业企业流动资产合计,通用设备制造业规模以上工业企业流动资产合计,专用设备制造业规模以上工业企业流动资产合计,交通运输设备制造业规模以上工业企业流动资产合计,电气机械及器材制造业规模以上工业企业流动资产合计,通信设备、计算机及其他电子设备制造规模以上工业企业流动资产合计,仪器仪表及文化、办公用机械制造业规模以上工业企业流动资产合计,工艺品及其他制造业规模以上工业企业流动资产合计,废弃资源和废旧材料回收加工业规模以上工业企业流动资产合计,电力、热力的生产和供应业规模以上工业企业流动资产合计,燃气生产和供应业规模以上工业企业流动资产合计,水的生产和供应业规模以上工业企业流动资产合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,327778.65,16492.85674,4323.32965,2866.44601,1421.40721,876.48681,4.48076,10887.83864,4382.48848,4987.40569,4228.13849,10669.80222,4676.06176,2659.38698,1788.80885,1682.7758,4907.29972,1668.74893,1060.61743,8877.04295,20924.55893,7288.79647,2757.05213,2470.8413,5493.55337,13464.7114,23820.33472,12380.64379,9115.55696,18491.80503,14511.13842,33049.158,25027.59722,27725.97065,4080.42117,2622.23854,874.17383,12628.74988,1207.7365,1382.19
2010,279227.32,12598.26698,3522.31148,2551.53235,1207.54001,748.82985,6.57925,8879.31544,3597.86988,3986.792,3710.47497,9976.28118,4253.17855,2446.8007,1633.59878,1519.46884,4151.47363,1654.81653,1084.54453,6799.49677,17269.53233,5993.88605,2164.9447,2092.09807,5224.49371,11108.09375,19792.65918,10223.91622,7776.22325,16804.97826,12453.30962,29859.8214,20986.89591,23567.72408,3425.38127,2085.34585,623.67153,11087.89509,1008.41767,1348.86024
2009,223038.68,9427.45988,2803.10626,1527.07027,1048.74397,613.04675,1.64313,6809.11699,3005.72443,3276.90734,3301.83496,8413.93641,3554.30285,2017.83599,1387.29319,1200.91123,3343.16581,1420.19901,958.94462,5028.96215,13744.85818,4820.61516,1618.10653,1725.74105,4170.69919,8917.71578,16976.6709,7872.57613,6395.89672,13729.6002,9710.59488,22453.76549,15766.44153,18927.13808,3132.10349,1683.92555,488.3627,8951.08299,1641.34633,1171.23446
2008,195681.75,7983.65578,2419.72305,1469.97087,980.42416,526.55988,1.58734,5593.26159,2566.61812,2879.16916,2941.58268,7915.71541,3343.19068,1833.24425,1314.19374,1115.53015,3117.58861,1312.23917,944.45501,5028.67606,12249.09663,3992.18596,1523.30584,1607.53781,3907.97445,7845.10635,15026.18343,6766.22517,5729.34929,12130.30078,8463.3031,17970.14054,13386.58189,16675.08716,2511.50877,1475.96925,355.27297,9027.23267,745.40522,1006.59213
