年份,规模以上工业企业个人资本金,煤炭开采和洗选业规模以上工业企业个人资本金,石油和天然气开采业规模以上工业企业个人资本金,黑色金属矿采选业规模以上工业企业个人资本金,有色金属矿采选业规模以上工业企业个人资本金,非金属矿采选业规模以上工业企业个人资本金,其他采矿业规模以上工业企业个人资本金,农副食品加工业规模以上工业企业个人资本金,食品制造业规模以上工业企业个人资本金,饮料制造业规模以上工业企业个人资本金,烟草制品业规模以上工业企业个人资本金,纺织业规模以上工业企业个人资本金,纺织服装、鞋、帽制造业规模以上工业企业个人资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业个人资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业个人资本金,家具制造业规模以上工业企业个人资本金,造纸及纸制品业规模以上工业企业个人资本金,印刷业和记录媒介的复制规模以上工业企业个人资本金,文教体育用品制造业规模以上工业企业个人资本金,石油加工、炼焦及核燃料加工业规模以上工业企业个人资本金,化学原料及化学制品制造业规模以上工业企业个人资本金,医药制造业规模以上工业企业个人资本金,化学纤维制造业规模以上工业企业个人资本金,橡胶制品业规模以上工业企业个人资本金,塑料制品业规模以上工业企业个人资本金,非金属矿物制品业规模以上工业企业个人资本金,黑色金属冶炼及压延加工业规模以上工业企业个人资本金,有色金属冶炼及压延加工业规模以上工业企业个人资本金,金属制品业规模以上工业企业个人资本金,通用设备制造业规模以上工业企业个人资本金,专用设备制造业规模以上工业企业个人资本金,交通运输设备制造业规模以上工业企业个人资本金,电气机械及器材制造业规模以上工业企业个人资本金,通信设备、计算机及其他电子设备制造规模以上工业企业个人资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业个人资本金,工艺品及其他制造业规模以上工业企业个人资本金,废弃资源和废旧材料回收加工业规模以上工业企业个人资本金,电力、热力的生产和供应业规模以上工业企业个人资本金,燃气生产和供应业规模以上工业企业个人资本金,水的生产和供应业规模以上工业企业个人资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,36429.17782,746.90595,16.77083,339.35257,197.30743,175.00715,2.03299,1428.42947,511.37031,411.98299,3.93344,1578.74535,607.31679,257.72871,439.83944,234.34595,533.39505,209.97975,82.70813,460.4638,1980.63631,782.1082,239.44601,258.67381,746.33538,2137.98419,1490.5811,10743.76184,1183.99043,2231.41331,1111.87483,1175.54735,2226.15205,791.28706,346.95006,226.15329,59.03075,378.3615,46.53727,34.73698
2010,23389.5592,682.69628,22.2595,264.0445,181.97286,168.88723,4.29872,1253.50765,442.54371,389.59229,8.35743,1504.04278,480.1115,257.68262,407.82379,201.64386,469.76231,235.77791,95.76882,390.8299,1671.5843,675.78378,184.80985,229.34081,660.31969,1976.77107,1324.75889,649.90149,1018.32594,1796.86686,1011.95507,1026.49142,1861.19734,742.50639,271.07015,215.05957,47.5002,484.88277,41.72346,37.10649
2009,20503.81585,581.2752,22.7991,244.67519,151.69659,141.38864,1.36797,1067.93228,392.6542,337.07366,2.36836,1364.34018,423.7822,212.44279,374.23152,177.56372,446.30387,211.07048,90.67487,466.09117,1542.89122,590.87773,179.29175,189.42525,582.44791,1712.48043,1113.35016,640.74609,846.95005,1523.27827,845.94957,947.44185,1494.92287,595.22946,245.65063,197.90308,38.72728,439.08409,30.94809,36.48808
2008,18574.11779,558.67448,17.68464,197.371,134.53747,129.34236,0.98881,984.22296,380.46581,343.52199,1.97469,1329.86534,389.88123,216.0498,340.81135,161.28758,401.25415,198.93634,83.51369,352.00829,1423.6628,550.73071,209.38263,172.508,553.58711,1518.86948,1005.11636,571.23024,782.63281,1326.0323,719.45351,851.54544,1265.21128,527.08039,218.53927,182.82711,25.21721,392.11318,23.92026,32.06572
2007,13496.04637,352.30188,18.7772,122.06665,79.50725,86.06474,0.52719,693.20512,247.59408,242.49312,0.79363,1087.41791,324.49844,171.95437,218.67998,116.76457,313.75335,157.6265,66.01047,244.66011,988.74322,448.58593,145.74312,128.98162,410.5412,1141.38919,801.72435,363.82135,536.03093,956.82834,489.99674,608.30719,905.57312,397.22592,165.188,122.00072,12.94005,288.35346,17.35411,22.02125
