年份,规模以上工业企业负债合计,煤炭开采和洗选业规模以上工业企业负债合计,石油和天然气开采业规模以上工业企业负债合计,黑色金属矿采选业规模以上工业企业负债合计,有色金属矿采选业规模以上工业企业负债合计,非金属矿采选业规模以上工业企业负债合计,其他采矿业规模以上工业企业负债合计,农副食品加工业规模以上工业企业负债合计,食品制造业规模以上工业企业负债合计,饮料制造业规模以上工业企业负债合计,烟草制品业规模以上工业企业负债合计,纺织业规模以上工业企业负债合计,纺织服装、鞋、帽制造业规模以上工业企业负债合计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业负债合计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业负债合计,家具制造业规模以上工业企业负债合计,造纸及纸制品业规模以上工业企业负债合计,印刷业和记录媒介的复制规模以上工业企业负债合计,文教体育用品制造业规模以上工业企业负债合计,石油加工、炼焦及核燃料加工业规模以上工业企业负债合计,化学原料及化学制品制造业规模以上工业企业负债合计,医药制造业规模以上工业企业负债合计,化学纤维制造业规模以上工业企业负债合计,橡胶制品业规模以上工业企业负债合计,塑料制品业规模以上工业企业负债合计,非金属矿物制品业规模以上工业企业负债合计,黑色金属冶炼及压延加工业规模以上工业企业负债合计,有色金属冶炼及压延加工业规模以上工业企业负债合计,金属制品业规模以上工业企业负债合计,通用设备制造业规模以上工业企业负债合计,专用设备制造业规模以上工业企业负债合计,交通运输设备制造业规模以上工业企业负债合计,电气机械及器材制造业规模以上工业企业负债合计,通信设备、计算机及其他电子设备制造规模以上工业企业负债合计,仪器仪表及文化、办公用机械制造业规模以上工业企业负债合计,工艺品及其他制造业规模以上工业企业负债合计,废弃资源和废旧材料回收加工业规模以上工业企业负债合计,电力、热力的生产和供应业规模以上工业企业负债合计,燃气生产和供应业规模以上工业企业负债合计,水的生产和供应业规模以上工业企业负债合计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,392644.64,22557.63327,9137.53835,3732.23001,1685.81801,958.14354,4.70643,10657.85536,4231.63903,4685.26311,1492.43037,11240.90286,3924.53726,2041.5052,1724.32272,1544.03456,6274.6564,1499.54979,916.22816,11894.30063,25166.08555,5667.55955,3242.1887,2718.0304,5059.60396,16153.60042,35119.54895,14754.78623,8577.34586,16626.43432,12839.2818,33305.39402,21901.15893,24401.49946,3011.09445,2294.07955,836.35469,55801.04038,1927.64085,3038.62089
2010,340396.39,17418.53384,7292.65858,3007.81827,1445.01209,868.73583,5.77366,9121.78194,3685.26848,3954.34409,1318.70986,10670.28806,3590.59274,1987.83112,1642.71531,1410.25829,5457.20794,1536.34785,935.6882,9545.57548,21588.07293,4890.73594,2526.72837,2282.58555,4879.71304,13901.44736,30191.73454,12362.52782,7249.60977,15491.7914,11030.30333,30248.95421,18289.64378,20437.59081,2595.91698,1757.32778,613.18875,50505.23923,1659.88846,2998.24733
2009,285732.81,14051.16403,6823.43482,1716.9681,1202.48881,729.42072,2.48546,7174.13608,3092.17839,3335.24048,1179.61111,9299.91926,3101.76036,1738.04995,1435.53519,1131.67712,4658.47367,1390.55328,847.44389,8104.2751,17725.18337,4308.78837,2059.92693,1965.75877,4086.14494,11395.85972,26087.39613,9813.35921,6109.81655,12907.11408,9086.04149,23969.6983,14044.35518,17270.94253,2414.54005,1457.12228,507.41456,44674.93369,2189.55357,2644.04242
2008,248899.38,11483.102,5012.99954,1526.90716,1048.74752,651.66042,1.83096,6001.78927,2778.23735,3019.68864,1042.04581,8935.33003,3068.34931,1622.7257,1345.62854,1075.21767,4299.3444,1307.66926,849.08125,7243.23765,15172.37281,3786.31248,2008.85265,1951.41569,3858.04871,10056.2528,22305.5601,8166.37782,5468.64148,11626.94583,8087.23517,19395.86609,11993.52897,15760.8469,1917.72996,1334.64163,370.43302,39817.33205,1227.7853,2279.61137
2007,202913.68,8477.41799,3835.78562,959.71931,868.83621,490.64028,1.94141,4997.35843,2331.31701,2613.0648,932.00876,8257.94041,2517.53843,1499.7057,1090.9037,923.30767,3596.30668,1161.88583,731.34404,5317.82621,12387.13884,3377.33359,2106.29366,1607.68809,3352.86214,7931.12249,17737.42433,6663.74756,4413.32192,8866.39484,5885.76955,15853.94671,9991.08272,15085.35837,1673.71057,1190.92278,180.66076,31104.93953,918.41998,1980.69761
