年份,规模以上工业企业本年应交增值税,煤炭开采和洗选业规模以上工业企业本年应交增值税,石油和天然气开采业规模以上工业企业本年应交增值税,黑色金属矿采选业规模以上工业企业本年应交增值税,有色金属矿采选业规模以上工业企业本年应交增值税,非金属矿采选业规模以上工业企业本年应交增值税,其他采矿业规模以上工业企业本年应交增值税,农副食品加工业规模以上工业企业本年应交增值税,食品制造业规模以上工业企业本年应交增值税,饮料制造业规模以上工业企业本年应交增值税,烟草制品业规模以上工业企业本年应交增值税,纺织业规模以上工业企业本年应交增值税,纺织服装、鞋、帽制造业规模以上工业企业本年应交增值税,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业本年应交增值税,木材加工及木、竹、藤、棕、草制品业规模以上工业企业本年应交增值税,家具制造业规模以上工业企业本年应交增值税,造纸及纸制品业规模以上工业企业本年应交增值税,印刷业和记录媒介的复制规模以上工业企业本年应交增值税,文教体育用品制造业规模以上工业企业本年应交增值税,石油加工、炼焦及核燃料加工业规模以上工业企业本年应交增值税,化学原料及化学制品制造业规模以上工业企业本年应交增值税,医药制造业规模以上工业企业本年应交增值税,化学纤维制造业规模以上工业企业本年应交增值税,橡胶制品业规模以上工业企业本年应交增值税,塑料制品业规模以上工业企业本年应交增值税,非金属矿物制品业规模以上工业企业本年应交增值税,黑色金属冶炼及压延加工业规模以上工业企业本年应交增值税,有色金属冶炼及压延加工业规模以上工业企业本年应交增值税,金属制品业规模以上工业企业本年应交增值税,通用设备制造业规模以上工业企业本年应交增值税,专用设备制造业规模以上工业企业本年应交增值税,交通运输设备制造业规模以上工业企业本年应交增值税,电气机械及器材制造业规模以上工业企业本年应交增值税,通信设备、计算机及其他电子设备制造规模以上工业企业本年应交增值税,仪器仪表及文化、办公用机械制造业规模以上工业企业本年应交增值税,工艺品及其他制造业规模以上工业企业本年应交增值税,废弃资源和废旧材料回收加工业规模以上工业企业本年应交增值税,电力、热力的生产和供应业规模以上工业企业本年应交增值税,燃气生产和供应业规模以上工业企业本年应交增值税,水的生产和供应业规模以上工业企业本年应交增值税
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,26302.71,2356.41806,1072.3607,414.63935,195.35834,152.86698,0.24028,860.80343,478.14135,511.11202,842.72387,814.13866,371.13599,255.15275,244.12453,132.52225,319.17027,128.5468,74.27766,1129.86195,1685.44382,670.2763,145.01739,158.0101,372.96639,1433.51129,1388.36684,826.5183,582.34583,1135.71575,730.25467,1804.54876,1268.22379,1326.11413,208.0563,158.59963,85.05586,1838.91122,80.45025,50.73179
2010,22472.72,1848.02026,830.13324,313.70177,142.28033,122.69047,0.91182,703.15214,388.11324,407.88554,674.63027,720.77761,345.49232,214.69428,201.04926,109.80585,299.82078,119.18618,70.40679,1115.13074,1362.78515,547.11792,107.12289,152.54785,333.3137,1189.50294,1311.24212,704.53694,521.88607,1047.52673,628.5842,1776.68649,1125.4121,900.91357,177.85627,137.08954,72.05962,1635.14759,64.95634,48.54434
2009,17490.2,1345.86804,569.52919,188.51405,94.71307,94.65124,0.30035,509.73284,322.87769,351.22073,567.5581,573.28276,286.73464,173.47957,170.63486,81.80851,250.65233,104.20063,61.0095,744.65618,1073.90078,453.47939,69.47428,136.16114,267.35094,944.44799,1230.0004,501.699,406.79515,823.67563,483.49845,1305.21817,914.15536,577.79511,135.24835,110.81856,33.31936,1438.26813,49.97708,43.49556
2008,17690.72,1156.78528,1037.53832,228.13679,109.60427,85.09993,0.36644,490.18926,293.90979,309.16038,527.04363,606.06785,288.84775,178.85093,152.57056,87.77758,263.67905,110.77769,62.1962,626.32052,1127.69898,398.23522,78.37082,128.1996,266.77258,888.34829,1481.90189,623.09475,428.49741,753.60606,406.52725,957.75947,845.99503,618.94882,119.54513,113.31043,32.00714,1704.08903,63.37161,39.51909
2007,13650.34,702.32374,755.947,124.67878,110.89028,60.92332,0.27836,295.31086,223.53251,242.81735,456.22578,469.04132,204.22033,126.87758,100.82949,51.82496,217.63351,79.88328,43.15424,519.06214,864.76351,307.71124,79.92353,96.08775,190.44241,643.28845,1309.72574,582.9811,283.34847,542.80978,295.99832,759.3286,553.71565,430.41582,93.73424,86.87673,16.99821,1653.15131,37.53347,36.04927
