年份,规模以上工业企业出口交货值,煤炭开采和洗选业规模以上工业企业出口交货值,石油和天然气开采业规模以上工业企业出口交货值,黑色金属矿采选业规模以上工业企业出口交货值,有色金属矿采选业规模以上工业企业出口交货值,非金属矿采选业规模以上工业企业出口交货值,其他采矿业规模以上工业企业出口交货值,农副食品加工业规模以上工业企业出口交货值,食品制造业规模以上工业企业出口交货值,饮料制造业规模以上工业企业出口交货值,烟草制品业规模以上工业企业出口交货值,纺织业规模以上工业企业出口交货值,纺织服装、鞋、帽制造业规模以上工业企业出口交货值,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业出口交货值,木材加工及木、竹、藤、棕、草制品业规模以上工业企业出口交货值,家具制造业规模以上工业企业出口交货值,造纸及纸制品业规模以上工业企业出口交货值,印刷业和记录媒介的复制规模以上工业企业出口交货值,文教体育用品制造业规模以上工业企业出口交货值,石油加工、炼焦及核燃料加工业规模以上工业企业出口交货值,化学原料及化学制品制造业规模以上工业企业出口交货值,医药制造业规模以上工业企业出口交货值,化学纤维制造业规模以上工业企业出口交货值,橡胶制品业规模以上工业企业出口交货值,塑料制品业规模以上工业企业出口交货值,非金属矿物制品业规模以上工业企业出口交货值,黑色金属冶炼及压延加工业规模以上工业企业出口交货值,有色金属冶炼及压延加工业规模以上工业企业出口交货值,金属制品业规模以上工业企业出口交货值,通用设备制造业规模以上工业企业出口交货值,专用设备制造业规模以上工业企业出口交货值,交通运输设备制造业规模以上工业企业出口交货值,电气机械及器材制造业规模以上工业企业出口交货值,通信设备、计算机及其他电子设备制造规模以上工业企业出口交货值,仪器仪表及文化、办公用机械制造业规模以上工业企业出口交货值,工艺品及其他制造业规模以上工业企业出口交货值,废弃资源和废旧材料回收加工业规模以上工业企业出口交货值,电力、热力的生产和供应业规模以上工业企业出口交货值,燃气生产和供应业规模以上工业企业出口交货值,水的生产和供应业规模以上工业企业出口交货值
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,99612.37399,57.5234,72.43025,7.36098,7.13428,32.37992,1.70446,2249.7788,864.86102,202.79398,31.01206,4959.60881,3218.47579,2390.98797,708.43494,1246.90961,613.03034,300.50433,1410.37665,359.87739,3603.35416,1030.48149,437.74437,1306.22418,2147.24446,1637.4902,2148.6132,1382.02487,3016.61982,3832.79648,2321.22797,6813.779,9477.85039,37469.13826,2188.41585,1884.64588,19.69473,69.16984,59.76154,30.91232
2010,89910.11646,128.7074,90.32306,0.25417,11.90999,31.70097,,1982.51704,744.51463,181.27124,27.71633,4620.54276,3344.63147,2311.64044,648.18203,1203.19019,666.00405,293.25655,1358.20337,381.97862,3103.33232,948.58278,331.03659,1049.07213,2144.98548,1536.56562,1706.54928,1065.75971,2758.4865,3286.22875,1994.82232,5938.8133,7982.657,34250.30646,2047.80087,1619.97724,5.4446,67.44152,15.36361,30.34607
2009,72051.74791,71.06392,121.1578,3.80696,7.04918,27.09257,,1705.72976,632.28716,169.10282,23.6863,3732.24621,3145.8389,1956.82425,591.38298,992.92291,450.82323,258.6339,1267.35487,351.84727,2264.6478,747.16608,250.31567,895.49355,1714.29143,1251.33892,979.37386,741.26937,2133.38927,2736.25388,1534.10086,4771.84558,6070.30532,27224.00446,1699.81963,1376.44469,2.93928,95.89455,24.97525,29.02747
2008,82498.37886,160.98847,240.78919,4.35691,12.84554,37.00469,0.06544,1693.81136,653.94664,184.10605,21.22761,4055.90324,3293.85355,2130.65896,596.56001,1109.88212,536.23838,261.59737,1377.90035,372.00822,2843.88367,746.73716,330.42928,961.82719,1977.78118,1442.69578,3004.3718,1155.08681,3092.36819,3450.10979,1891.3252,5088.69575,6855.65959,29179.45875,2082.08578,1546.34768,4.99385,55.80783,17.61412,27.35536
2007,73393.39264,161.44417,163.86337,7.81618,20.61868,35.15363,0.05524,1473.34538,558.7624,175.41678,24.50454,3984.08825,3158.28524,2173.04801,568.30189,1032.37582,521.66227,221.95605,1252.06502,354.12424,2442.67478,639.42859,345.55995,855.26155,1789.69429,1341.02,2486.36376,1160.00399,2781.68516,2833.9284,1417.32479,3778.53318,5892.36857,26260.18323,1996.98479,1365.34271,4.91163,68.09795,21.6419,25.49626
