年份,规模以上工业企业集体资本金,煤炭开采和洗选业规模以上工业企业集体资本金,石油和天然气开采业规模以上工业企业集体资本金,黑色金属矿采选业规模以上工业企业集体资本金,有色金属矿采选业规模以上工业企业集体资本金,非金属矿采选业规模以上工业企业集体资本金,其他采矿业规模以上工业企业集体资本金,农副食品加工业规模以上工业企业集体资本金,食品制造业规模以上工业企业集体资本金,饮料制造业规模以上工业企业集体资本金,烟草制品业规模以上工业企业集体资本金,纺织业规模以上工业企业集体资本金,纺织服装、鞋、帽制造业规模以上工业企业集体资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业集体资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业集体资本金,家具制造业规模以上工业企业集体资本金,造纸及纸制品业规模以上工业企业集体资本金,印刷业和记录媒介的复制规模以上工业企业集体资本金,文教体育用品制造业规模以上工业企业集体资本金,石油加工、炼焦及核燃料加工业规模以上工业企业集体资本金,化学原料及化学制品制造业规模以上工业企业集体资本金,医药制造业规模以上工业企业集体资本金,化学纤维制造业规模以上工业企业集体资本金,橡胶制品业规模以上工业企业集体资本金,塑料制品业规模以上工业企业集体资本金,非金属矿物制品业规模以上工业企业集体资本金,黑色金属冶炼及压延加工业规模以上工业企业集体资本金,有色金属冶炼及压延加工业规模以上工业企业集体资本金,金属制品业规模以上工业企业集体资本金,通用设备制造业规模以上工业企业集体资本金,专用设备制造业规模以上工业企业集体资本金,交通运输设备制造业规模以上工业企业集体资本金,电气机械及器材制造业规模以上工业企业集体资本金,通信设备、计算机及其他电子设备制造规模以上工业企业集体资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业集体资本金,工艺品及其他制造业规模以上工业企业集体资本金,废弃资源和废旧材料回收加工业规模以上工业企业集体资本金,电力、热力的生产和供应业规模以上工业企业集体资本金,燃气生产和供应业规模以上工业企业集体资本金,水的生产和供应业规模以上工业企业集体资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,2080.46583,127.18639,13.91979,14.83895,64.55839,13.28995,0.005,63.96229,25.99466,47.11022,3.53991,55.22273,18.96061,6.82524,12.21062,3.16065,53.64851,21.40017,4.94915,30.49618,138.80273,81.56993,15.12959,23.50891,31.94608,144.61903,351.81018,60.64265,46.91805,77.17613,52.24315,103.50212,131.34248,37.31052,11.82255,9.24458,4.75075,153.47978,5.14604,18.22117
2010,1968.22485,129.9745,15.79154,16.34056,55.14091,12.91721,0.0301,79.9149,27.15996,46.91725,1.61738,56.60577,20.93505,7.26006,10.83718,6.30993,66.38055,25.00968,10.53977,28.45876,132.5605,63.77136,14.33507,19.83536,30.97285,155.69782,132.05229,67.8291,53.96691,90.23754,55.69562,135.76482,114.89943,48.13247,11.0465,11.78666,6.08406,173.77523,5.59477,26.04543
2009,1862.96086,108.60307,21.48417,14.6127,47.14642,16.98657,0.0501,62.57104,25.96803,30.01555,1.72291,65.65535,21.57325,8.67776,11.02922,3.55969,75.91211,23.53722,5.06816,22.93518,111.8775,55.20406,12.24578,15.99126,29.28178,167.2129,122.19859,50.11875,55.13224,90.21078,49.20967,73.48533,146.02976,55.47597,9.50688,14.57191,5.51398,177.73104,18.94142,35.91276
2008,1890.71929,124.0792,16.64665,13.87134,52.04183,16.27426,0.04829,75.43594,36.33766,32.54354,1.40036,79.16783,27.05357,10.18554,14.27451,5.84042,63.87198,28.84369,5.3859,17.52214,130.8689,68.22501,7.92142,14.01904,46.2794,162.18593,116.06379,70.91445,63.64357,87.02186,48.48023,79.67663,127.98417,37.90123,13.28347,13.76363,4.91111,139.0588,10.91826,26.77374
2007,1941.28647,105.72897,20.52967,10.27391,39.37538,14.19389,0.025,95.99472,51.75431,38.80338,4.43154,95.79174,28.13498,11.42637,10.41928,4.80267,58.48973,26.32461,7.0413,29.77142,126.74247,55.03486,15.6939,12.23322,38.97902,156.34154,107.28032,95.0506,52.34455,85.72757,45.40442,98.06258,120.86459,99.34778,16.02733,16.94854,2.37342,109.5938,3.79753,30.12556
