年份,规模以上工业企业存货,煤炭开采和洗选业规模以上工业企业存货,石油和天然气开采业规模以上工业企业存货,黑色金属矿采选业规模以上工业企业存货,有色金属矿采选业规模以上工业企业存货,非金属矿采选业规模以上工业企业存货,其他采矿业规模以上工业企业存货,农副食品加工业规模以上工业企业存货,食品制造业规模以上工业企业存货,饮料制造业规模以上工业企业存货,烟草制品业规模以上工业企业存货,纺织业规模以上工业企业存货,纺织服装、鞋、帽制造业规模以上工业企业存货,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业存货,木材加工及木、竹、藤、棕、草制品业规模以上工业企业存货,家具制造业规模以上工业企业存货,造纸及纸制品业规模以上工业企业存货,印刷业和记录媒介的复制规模以上工业企业存货,文教体育用品制造业规模以上工业企业存货,石油加工、炼焦及核燃料加工业规模以上工业企业存货,化学原料及化学制品制造业规模以上工业企业存货,医药制造业规模以上工业企业存货,化学纤维制造业规模以上工业企业存货,橡胶制品业规模以上工业企业存货,塑料制品业规模以上工业企业存货,非金属矿物制品业规模以上工业企业存货,黑色金属冶炼及压延加工业规模以上工业企业存货,有色金属冶炼及压延加工业规模以上工业企业存货,金属制品业规模以上工业企业存货,通用设备制造业规模以上工业企业存货,专用设备制造业规模以上工业企业存货,交通运输设备制造业规模以上工业企业存货,电气机械及器材制造业规模以上工业企业存货,通信设备、计算机及其他电子设备制造规模以上工业企业存货,仪器仪表及文化、办公用机械制造业规模以上工业企业存货,工艺品及其他制造业规模以上工业企业存货,废弃资源和废旧材料回收加工业规模以上工业企业存货,电力、热力的生产和供应业规模以上工业企业存货,燃气生产和供应业规模以上工业企业存货,水的生产和供应业规模以上工业企业存货
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,80583.14623,1787.41537,639.57256,435.04778,311.14625,143.81985,0.91163,3265.30197,1040.35487,1544.26486,2270.7235,3164.82903,1287.33028,715.99255,579.20834,484.78911,1090.75727,351.67901,366.86367,3281.02229,4796.35751,1627.90137,677.82408,681.76347,1256.64664,3021.07037,7558.94979,4385.51315,2428.62822,5305.01441,4020.70249,7387.59655,5355.25957,5745.83288,1026.88917,970.76149,250.29689,1163.5818,115.6724,45.85379
2010,69790.09631,1430.41654,547.76666,355.48522,255.20544,136.1281,2.13788,2881.51095,904.80962,1251.87045,1897.4659,2937.83486,1206.80223,664.94444,542.14047,458.23376,962.38999,360.63953,351.9222,2536.46833,4103.76527,1361.64801,539.70743,593.62888,1200.96464,2558.50551,6943.53318,3686.03551,2057.15069,4610.64924,3373.50418,6443.5806,4662.36935,5163.86001,822.95198,697.31473,162.51495,991.70516,83.77839,48.75603
2009,56724.80381,1093.06058,516.48757,261.68285,239.16701,118.59719,0.42725,2234.34875,782.87294,1076.79477,1680.78941,2510.1519,1025.31798,574.23456,483.88612,385.07753,794.80005,317.49232,316.72502,2032.03833,3262.19876,1127.82746,421.5183,482.13499,1029.48334,2197.52879,5539.80351,2624.89141,1801.62479,3837.34425,2805.95792,5087.28813,3746.69677,3999.98914,701.25421,555.83788,151.91516,759.97969,100.18736,47.38982
2008,54108.55561,1019.78615,469.3928,251.66743,223.94947,105.57572,0.34432,1935.60449,746.96548,1014.27659,1418.16732,2507.1936,995.70352,588.89366,496.46601,395.13247,827.28595,317.22183,341.19234,1607.74731,3306.89544,1026.24743,396.38858,498.96224,1000.53178,2171.68744,5499.01515,2255.80843,1708.56846,3994.26924,2731.51337,4753.87044,3380.74391,3864.65413,639.80057,475.58394,124.31566,908.36936,70.43905,38.32453
2007,45288.65329,708.21885,367.15312,145.06234,164.60643,82.06335,0.26093,1714.59736,615.60944,843.39695,1197.51862,2382.36035,835.86336,554.10983,395.20314,333.54301,673.37794,268.07655,290.61175,1539.5308,2723.62289,884.4804,447.30422,409.99678,899.41219,1615.86708,4733.99978,1996.30532,1368.06646,2925.05655,1953.8233,3841.03529,2974.09205,3719.59008,532.16848,423.90158,62.83013,571.54906,56.83691,37.55062
