年份,规模以上工业企业国家资本金,煤炭开采和洗选业规模以上工业企业国家资本金,石油和天然气开采业规模以上工业企业国家资本金,黑色金属矿采选业规模以上工业企业国家资本金,有色金属矿采选业规模以上工业企业国家资本金,非金属矿采选业规模以上工业企业国家资本金,其他采矿业规模以上工业企业国家资本金,农副食品加工业规模以上工业企业国家资本金,食品制造业规模以上工业企业国家资本金,饮料制造业规模以上工业企业国家资本金,烟草制品业规模以上工业企业国家资本金,纺织业规模以上工业企业国家资本金,纺织服装、鞋、帽制造业规模以上工业企业国家资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业国家资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业国家资本金,家具制造业规模以上工业企业国家资本金,造纸及纸制品业规模以上工业企业国家资本金,印刷业和记录媒介的复制规模以上工业企业国家资本金,文教体育用品制造业规模以上工业企业国家资本金,石油加工、炼焦及核燃料加工业规模以上工业企业国家资本金,化学原料及化学制品制造业规模以上工业企业国家资本金,医药制造业规模以上工业企业国家资本金,化学纤维制造业规模以上工业企业国家资本金,橡胶制品业规模以上工业企业国家资本金,塑料制品业规模以上工业企业国家资本金,非金属矿物制品业规模以上工业企业国家资本金,黑色金属冶炼及压延加工业规模以上工业企业国家资本金,有色金属冶炼及压延加工业规模以上工业企业国家资本金,金属制品业规模以上工业企业国家资本金,通用设备制造业规模以上工业企业国家资本金,专用设备制造业规模以上工业企业国家资本金,交通运输设备制造业规模以上工业企业国家资本金,电气机械及器材制造业规模以上工业企业国家资本金,通信设备、计算机及其他电子设备制造规模以上工业企业国家资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业国家资本金,工艺品及其他制造业规模以上工业企业国家资本金,废弃资源和废旧材料回收加工业规模以上工业企业国家资本金,电力、热力的生产和供应业规模以上工业企业国家资本金,燃气生产和供应业规模以上工业企业国家资本金,水的生产和供应业规模以上工业企业国家资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,22601.38116,1560.87655,3363.11434,529.60481,146.66321,77.43887,,110.40238,56.49461,136.77456,166.04436,89.00884,15.09352,2.29008,16.55094,2.53922,232.06333,74.94143,8.23433,1796.58841,1095.79805,240.06761,97.10584,40.14732,43.27319,414.26243,1231.64525,812.20662,154.41125,405.03262,379.63287,1135.13247,226.1549,462.73863,109.06001,24.0029,7.85138,6233.16341,211.22669,893.74393
2010,20404.37269,1338.24938,2468.95001,427.26573,82.9224,79.86673,,128.37513,57.23597,115.99299,138.22247,121.03091,13.44639,2.37811,18.48333,1.50285,166.06768,89.98997,9.05307,1355.50913,837.02012,159.43976,72.25775,21.11604,36.02559,362.75919,1734.75209,679.35275,129.25467,333.20814,391.32007,1068.04181,233.11602,271.58928,54.6086,32.62041,2.70987,6273.37865,164.84063,932.419
2009,21321.01674,1401.53506,2516.12448,231.97438,81.85762,60.03679,0.01389,110.12098,58.91648,111.75802,193.93381,113.35402,11.87007,2.88067,21.5554,0.9423,126.24971,87.68147,5.50953,1197.02783,945.81435,169.18035,88.41549,29.28129,42.62704,360.25367,1768.36797,623.42878,130.11749,358.96678,353.16007,837.79107,204.88278,359.50069,55.60143,19.97157,11.52205,7583.95921,178.1694,866.66275
2008,22859.26713,1683.61391,3074.87399,187.69798,102.82713,40.84718,0.01389,116.91696,61.65267,123.21866,177.15742,119.37851,19.14017,3.28939,23.31373,8.44597,138.3893,98.64888,11.45534,1599.66705,1302.48858,178.99987,97.69757,42.28797,37.49506,383.12343,1734.59814,669.71459,92.74207,325.07543,316.82985,845.71657,188.53654,338.24238,71.79469,21.30468,11.24831,7616.99198,195.35958,798.47171
2007,17588.91929,1297.43238,1479.30801,114.47539,55.3553,38.78266,0.01322,98.23776,46.73217,111.13757,153.4354,144.23779,14.52017,3.74018,37.17432,8.62065,97.1302,93.80949,6.38175,1075.25803,926.72691,180.11024,103.35686,33.44984,61.52052,276.40456,1408.35962,518.12121,84.72152,360.28501,294.22287,780.76225,179.1504,311.37279,44.77407,26.78792,5.74557,6188.46092,208.23088,720.57289
