年份,规模以上工业企业管理费用,煤炭开采和洗选业规模以上工业企业管理费用,石油和天然气开采业规模以上工业企业管理费用,黑色金属矿采选业规模以上工业企业管理费用,有色金属矿采选业规模以上工业企业管理费用,非金属矿采选业规模以上工业企业管理费用,其他采矿业规模以上工业企业管理费用,农副食品加工业规模以上工业企业管理费用,食品制造业规模以上工业企业管理费用,饮料制造业规模以上工业企业管理费用,烟草制品业规模以上工业企业管理费用,纺织业规模以上工业企业管理费用,纺织服装、鞋、帽制造业规模以上工业企业管理费用,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业管理费用,木材加工及木、竹、藤、棕、草制品业规模以上工业企业管理费用,家具制造业规模以上工业企业管理费用,造纸及纸制品业规模以上工业企业管理费用,印刷业和记录媒介的复制规模以上工业企业管理费用,文教体育用品制造业规模以上工业企业管理费用,石油加工、炼焦及核燃料加工业规模以上工业企业管理费用,化学原料及化学制品制造业规模以上工业企业管理费用,医药制造业规模以上工业企业管理费用,化学纤维制造业规模以上工业企业管理费用,橡胶制品业规模以上工业企业管理费用,塑料制品业规模以上工业企业管理费用,非金属矿物制品业规模以上工业企业管理费用,黑色金属冶炼及压延加工业规模以上工业企业管理费用,有色金属冶炼及压延加工业规模以上工业企业管理费用,金属制品业规模以上工业企业管理费用,通用设备制造业规模以上工业企业管理费用,专用设备制造业规模以上工业企业管理费用,交通运输设备制造业规模以上工业企业管理费用,电气机械及器材制造业规模以上工业企业管理费用,通信设备、计算机及其他电子设备制造规模以上工业企业管理费用,仪器仪表及文化、办公用机械制造业规模以上工业企业管理费用,工艺品及其他制造业规模以上工业企业管理费用,废弃资源和废旧材料回收加工业规模以上工业企业管理费用,电力、热力的生产和供应业规模以上工业企业管理费用,燃气生产和供应业规模以上工业企业管理费用,水的生产和供应业规模以上工业企业管理费用
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,32165.16504,2368.11416,800.93244,310.41403,264.10331,175.23284,1.20414,1075.4043,502.83262,529.73385,382.53225,919.70824,542.65605,344.12939,284.37646,205.21561,387.21911,212.32348,153.08675,831.61025,2171.50183,928.85536,165.39172,270.05358,580.0705,1410.56942,1645.41415,924.92101,873.18292,1861.79457,1466.42537,2889.71041,2059.25715,2636.01993,455.95645,237.18178,54.54129,972.5443,121.81203,149.13199
2010,28872.98918,2083.52306,677.94194,266.07568,224.39815,160.03358,1.30151,1016.33112,446.0531,444.20989,363.91687,859.90715,544.87094,319.39685,258.23089,193.3308,375.82889,214.41834,155.48499,758.30029,1923.47989,810.39443,113.63597,249.95697,547.22576,1230.52551,1549.07105,747.88635,775.24861,1752.89508,1231.43992,2664.11394,1844.36148,2176.90108,395.02689,215.31472,47.85916,979.2781,97.17392,157.64631
2009,22169.69787,1538.17786,654.91198,164.02724,153.57991,113.7802,0.52139,622.40176,336.33633,341.20132,343.95561,683.27665,443.3251,242.1564,162.76718,144.70408,271.92869,183.01392,127.66202,571.04674,1501.23727,633.63109,90.40403,190.46223,417.21659,908.54103,1178.86616,508.84716,599.41898,1317.48866,942.32229,2014.16504,1410.29805,1779.65065,317.57559,175.69763,31.81064,830.65101,83.00412,139.63527
2008,20199.81234,1554.33534,491.75832,181.09201,154.55525,99.13464,0.39825,526.3514,291.91291,300.34912,307.6765,629.25439,419.70378,224.43147,145.87932,134.42914,246.73758,166.59706,122.80924,650.53262,1415.89008,533.21775,104.01765,165.25532,382.69191,791.71155,1109.08088,525.60898,545.15665,1179.77228,823.63975,1659.09416,1241.58907,1663.89209,295.53588,164.39013,29.00426,712.33529,78.60284,131.38748
2007,15943.65841,1047.18146,436.00488,113.56169,131.35572,72.89649,0.28904,381.46439,215.17864,242.79764,253.54263,541.00821,342.71023,188.85762,102.19422,105.26532,197.60567,132.11876,102.75276,472.93015,1100.22437,441.98224,86.09727,135.20302,291.54365,611.93629,927.07993,387.30235,402.67348,905.70601,618.76463,1388.46563,930.09139,1354.03422,237.974,141.00989,13.19349,719.53143,57.44844,113.68116
