年份,规模以上工业企业资产总计,煤炭开采和洗选业规模以上工业企业资产总计,石油和天然气开采业规模以上工业企业资产总计,黑色金属矿采选业规模以上工业企业资产总计,有色金属矿采选业规模以上工业企业资产总计,非金属矿采选业规模以上工业企业资产总计,其他采矿业规模以上工业企业资产总计,农副食品加工业规模以上工业企业资产总计,食品制造业规模以上工业企业资产总计,饮料制造业规模以上工业企业资产总计,烟草制品业规模以上工业企业资产总计,纺织业规模以上工业企业资产总计,纺织服装、鞋、帽制造业规模以上工业企业资产总计,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业资产总计,木材加工及木、竹、藤、棕、草制品业规模以上工业企业资产总计,家具制造业规模以上工业企业资产总计,造纸及纸制品业规模以上工业企业资产总计,印刷业和记录媒介的复制规模以上工业企业资产总计,文教体育用品制造业规模以上工业企业资产总计,石油加工、炼焦及核燃料加工业规模以上工业企业资产总计,化学原料及化学制品制造业规模以上工业企业资产总计,医药制造业规模以上工业企业资产总计,化学纤维制造业规模以上工业企业资产总计,橡胶制品业规模以上工业企业资产总计,塑料制品业规模以上工业企业资产总计,非金属矿物制品业规模以上工业企业资产总计,黑色金属冶炼及压延加工业规模以上工业企业资产总计,有色金属冶炼及压延加工业规模以上工业企业资产总计,金属制品业规模以上工业企业资产总计,通用设备制造业规模以上工业企业资产总计,专用设备制造业规模以上工业企业资产总计,交通运输设备制造业规模以上工业企业资产总计,电气机械及器材制造业规模以上工业企业资产总计,通信设备、计算机及其他电子设备制造规模以上工业企业资产总计,仪器仪表及文化、办公用机械制造业规模以上工业企业资产总计,工艺品及其他制造业规模以上工业企业资产总计,废弃资源和废旧材料回收加工业规模以上工业企业资产总计,电力、热力的生产和供应业规模以上工业企业资产总计,燃气生产和供应业规模以上工业企业资产总计,水的生产和供应业规模以上工业企业资产总计
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,675796.86,37936.2715,18785.19622,7155.16376,3557.85056,2120.85003,12.68953,19725.22027,8511.61299,9441.17918,6169.24582,19993.34451,7468.30164,4260.10201,3797.46009,2951.97798,10933.73505,3147.30634,1790.51596,18870.46935,44919.06086,13220.50957,5236.95641,4865.6783,9640.08584,29888.96432,52025.11775,23710.49293,15191.46555,29853.76572,22778.00968,54340.8424,37583.85543,41510.83425,6076.73837,4087.00902,1311.79393,83820.65065,3457.71451,5648.82507
2010,592881.89,29941.65842,16692.04565,5985.12554,3083.4659,1882.29849,16.22891,16731.34803,7229.40511,7852.82804,5484.03957,18789.9869,7026.08387,3907.4375,3541.82933,2639.06639,9655.28945,3216.39343,1829.93245,15669.15332,38771.98849,11116.39792,4204.801,4133.97617,9210.96732,25567.36944,45984.25272,20298.1299,13155.2885,27615.27392,19561.44928,47981.05039,31717.93707,37719.79915,5168.62011,3329.97749,923.55911,76725.40871,2982.87165,5539.15313
2009,493692.86,23790.08562,14890.12754,3324.16855,2548.66525,1531.03745,5.2801,13344.9169,6155.03159,6589.64681,4940.0786,16330.18298,5946.06346,3295.86756,2979.74005,2126.59046,8084.37594,2855.98594,1651.30034,12983.90812,31825.71443,9341.3298,3389.55571,3525.85985,7624.38643,20820.55054,41009.75789,16455.60088,10954.0562,22363.37393,15448.08441,38095.72808,24224.63442,29737.50192,4543.98623,2785.03993,746.29957,69086.9908,3379.3558,4962.00051
2008,431305.55,19457.73625,12806.57903,3179.96763,2290.29971,1330.0155,4.07142,10977.16563,5244.04746,5946.24104,4428.49807,15336.5688,5655.87945,3025.08736,2744.60815,1941.2399,7448.77351,2643.07558,1595.32919,11698.90832,27567.50768,7881.95523,3366.00509,3303.22666,7019.57727,17927.35956,35197.00182,14130.87991,9590.38053,19461.3653,13538.49716,31145.43621,20747.84655,27012.93002,3812.59021,2466.16549,548.95043,62237.93918,2201.68521,4394.15651
