年份,规模以上工业企业主营业务收入,煤炭开采和洗选业规模以上工业企业主营业务收入,石油和天然气开采业规模以上工业企业主营业务收入,黑色金属矿采选业规模以上工业企业主营业务收入,有色金属矿采选业规模以上工业企业主营业务收入,非金属矿采选业规模以上工业企业主营业务收入,其他采矿业规模以上工业企业主营业务收入,农副食品加工业规模以上工业企业主营业务收入,食品制造业规模以上工业企业主营业务收入,饮料制造业规模以上工业企业主营业务收入,烟草制品业规模以上工业企业主营业务收入,纺织业规模以上工业企业主营业务收入,纺织服装、鞋、帽制造业规模以上工业企业主营业务收入,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业主营业务收入,木材加工及木、竹、藤、棕、草制品业规模以上工业企业主营业务收入,家具制造业规模以上工业企业主营业务收入,造纸及纸制品业规模以上工业企业主营业务收入,印刷业和记录媒介的复制规模以上工业企业主营业务收入,文教体育用品制造业规模以上工业企业主营业务收入,石油加工、炼焦及核燃料加工业规模以上工业企业主营业务收入,化学原料及化学制品制造业规模以上工业企业主营业务收入,医药制造业规模以上工业企业主营业务收入,化学纤维制造业规模以上工业企业主营业务收入,橡胶制品业规模以上工业企业主营业务收入,塑料制品业规模以上工业企业主营业务收入,非金属矿物制品业规模以上工业企业主营业务收入,黑色金属冶炼及压延加工业规模以上工业企业主营业务收入,有色金属冶炼及压延加工业规模以上工业企业主营业务收入,金属制品业规模以上工业企业主营业务收入,通用设备制造业规模以上工业企业主营业务收入,专用设备制造业规模以上工业企业主营业务收入,交通运输设备制造业规模以上工业企业主营业务收入,电气机械及器材制造业规模以上工业企业主营业务收入,通信设备、计算机及其他电子设备制造规模以上工业企业主营业务收入,仪器仪表及文化、办公用机械制造业规模以上工业企业主营业务收入,工艺品及其他制造业规模以上工业企业主营业务收入,废弃资源和废旧材料回收加工业规模以上工业企业主营业务收入,电力、热力的生产和供应业规模以上工业企业主营业务收入,燃气生产和供应业规模以上工业企业主营业务收入,水的生产和供应业规模以上工业企业主营业务收入
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,841830.24,31413.27262,12882.25832,8114.28522,4928.4561,3743.41214,14.76572,43848.57952,13875.73189,11774.80188,6666.90024,32288.52054,13214.41457,8747.21575,8804.00734,4946.75671,11807.00586,3784.26574,3133.81404,37275.11829,60097.8857,14484.37986,6646.95056,7279.95306,15281.74755,39294.74672,65909.31398,36869.41805,22951.33466,40157.9251,26059.59872,63131.95012,50148.85251,63474.88774,7468.83463,7193.49228,2645.27874,47097.57121,3205.30873,1167.22628
2010,697744.0,23609.59365,10617.58946,6135.21967,3836.09984,3005.11129,30.46428,34668.26271,11133.50074,9165.69832,5628.19347,28110.06775,11988.61391,7738.9092,7166.00252,4304.75735,10201.81821,3468.30709,3060.93414,29310.7304,47452.35085,11417.30482,5020.28965,5826.18801,13571.09305,31267.19777,54490.92545,29175.19686,19642.38204,34400.1082,21312.96913,55058.67586,42152.58737,55161.1635,6322.86801,5700.7384,2381.76762,40561.28867,2505.93523,1143.09201
2009,542522.43,17379.94169,7909.04335,3608.38896,2859.03415,2237.54318,14.20623,27624.67453,8865.01738,7464.93688,4870.92398,22470.5079,10140.52256,6241.34654,5618.95155,3353.24539,8001.89919,2873.1314,2570.30685,21247.47785,36297.99264,9087.00346,3799.1809,4642.06792,10602.18076,24081.17333,43905.73433,21000.27812,15499.20227,26636.42398,16480.14838,41090.49245,32386.50682,44215.94155,4939.51401,4409.87034,1453.05602,33789.9658,1888.27462,966.32515
2008,500020.07,15315.14886,11052.96884,3635.65834,2705.98706,1822.49621,9.73749,23565.79833,7463.72325,6137.61184,4259.64946,20726.36703,9074.12936,5692.83805,4650.54105,3001.2839,7501.22882,2593.35072,2414.03698,22636.22366,33308.52715,7402.33355,3883.83859,4149.85842,9623.95898,20345.46504,45658.7028,20666.94446,14547.59341,23837.77682,14116.48139,32913.37999,29374.90591,43177.95211,4850.64162,4026.49772,1158.32619,30245.25598,1592.08903,880.76243
