年份,规模以上工业企业港澳台资本金,煤炭开采和洗选业规模以上工业企业港澳台资本金,石油和天然气开采业规模以上工业企业港澳台资本金,黑色金属矿采选业规模以上工业企业港澳台资本金,有色金属矿采选业规模以上工业企业港澳台资本金,非金属矿采选业规模以上工业企业港澳台资本金,其他采矿业规模以上工业企业港澳台资本金,农副食品加工业规模以上工业企业港澳台资本金,食品制造业规模以上工业企业港澳台资本金,饮料制造业规模以上工业企业港澳台资本金,烟草制品业规模以上工业企业港澳台资本金,纺织业规模以上工业企业港澳台资本金,纺织服装、鞋、帽制造业规模以上工业企业港澳台资本金,皮革、毛皮、羽毛(绒)及其制品业规模以上工业企业港澳台资本金,木材加工及木、竹、藤、棕、草制品业规模以上工业企业港澳台资本金,家具制造业规模以上工业企业港澳台资本金,造纸及纸制品业规模以上工业企业港澳台资本金,印刷业和记录媒介的复制规模以上工业企业港澳台资本金,文教体育用品制造业规模以上工业企业港澳台资本金,石油加工、炼焦及核燃料加工业规模以上工业企业港澳台资本金,化学原料及化学制品制造业规模以上工业企业港澳台资本金,医药制造业规模以上工业企业港澳台资本金,化学纤维制造业规模以上工业企业港澳台资本金,橡胶制品业规模以上工业企业港澳台资本金,塑料制品业规模以上工业企业港澳台资本金,非金属矿物制品业规模以上工业企业港澳台资本金,黑色金属冶炼及压延加工业规模以上工业企业港澳台资本金,有色金属冶炼及压延加工业规模以上工业企业港澳台资本金,金属制品业规模以上工业企业港澳台资本金,通用设备制造业规模以上工业企业港澳台资本金,专用设备制造业规模以上工业企业港澳台资本金,交通运输设备制造业规模以上工业企业港澳台资本金,电气机械及器材制造业规模以上工业企业港澳台资本金,通信设备、计算机及其他电子设备制造规模以上工业企业港澳台资本金,仪器仪表及文化、办公用机械制造业规模以上工业企业港澳台资本金,工艺品及其他制造业规模以上工业企业港澳台资本金,废弃资源和废旧材料回收加工业规模以上工业企业港澳台资本金,电力、热力的生产和供应业规模以上工业企业港澳台资本金,燃气生产和供应业规模以上工业企业港澳台资本金,水的生产和供应业规模以上工业企业港澳台资本金
2019,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2016,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2015,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,10742.32221,48.97405,5.47092,4.4461,9.94786,7.75146,0.00988,225.60334,239.10304,210.27948,1.11607,781.99285,358.77281,235.24786,79.02244,126.59817,390.61702,145.84191,165.01123,66.88983,789.20556,170.39998,188.63708,95.94661,453.78819,557.10367,247.53502,322.60101,361.03395,334.89977,331.69609,422.00323,654.61787,1910.30122,131.34251,123.82732,19.89676,368.00093,83.0928,73.69632
2010,10739.49431,33.64436,44.97268,12.61259,5.09382,10.71612,,228.51097,177.45525,181.7124,1.04155,819.61611,399.83722,258.3306,63.66854,132.41591,361.26956,141.13777,187.38412,80.66064,675.8978,162.67112,170.51579,96.8724,478.36352,508.62316,263.83268,278.18692,436.26727,339.56392,334.35421,454.26534,700.78005,1864.84877,165.30032,148.47959,17.81,356.39996,66.87049,79.51079
2009,10170.83016,7.53871,48.33845,10.71945,5.69252,10.79882,,204.22188,178.08465,171.06969,1.04155,795.22695,417.88802,253.13596,75.8533,119.36506,353.31959,139.14079,208.30795,58.2905,566.01296,156.67414,153.01087,107.65429,452.39325,438.64793,244.85571,251.43502,435.20233,362.74982,318.06922,398.36986,649.09536,1806.82819,133.5636,158.78025,14.21827,344.7154,52.18125,68.3386
2008,9619.30381,9.89876,44.14065,10.4694,4.0035,11.36288,,182.43876,180.3319,165.31393,0.99599,794.67345,399.02833,239.96412,67.96367,129.48274,317.33577,156.79024,198.02615,74.7991,512.43963,130.09601,149.01404,110.08624,435.33204,447.23171,233.40562,182.97984,378.83059,302.93369,324.73407,359.74567,602.14785,1673.11174,148.18098,166.5323,13.88807,345.31096,61.77682,54.5066
2007,8036.49057,6.85651,69.24596,3.07456,3.04742,9.48591,,156.51751,137.53355,148.65082,1.54663,707.66171,346.46549,218.92478,63.31559,119.04126,209.52377,139.45963,166.14573,60.45663,408.57633,104.42433,137.09822,150.61818,406.99,359.23982,228.32767,143.29743,328.77076,238.27263,232.97712,276.04863,459.31694,1320.91622,132.53065,133.15318,5.50528,324.75207,38.07448,40.64717
