年份,住宿和餐饮业法人企业数,住宿和餐饮业年末从业人数,住宿和餐饮业营业额,住宿和餐饮业餐费收入,住宿和餐饮业餐饮营业面积,住宿业法人企业数,住宿业年末从业人数,住宿业营业额,住宿业客房收入,住宿业餐费收入,住宿业客房数,住宿业床位数,住宿业餐饮营业面积,餐饮业法人企业数,餐饮业年末从业人数,餐饮业营业额,餐饮业餐费收入,餐饮业餐饮营业面积
2019,53711,434.7564,10900.9876,7349.5471,,23793,1819634,4343.6098,2345.6252,1462.966,422.7542,677.5351,,29918,2527930,6557.3778,5886.5811,
2018,46872,412.2,9682.6,6405.4,10283.3,20614,1780363,4059.7,2130.6,1407.7,394.8,637.3,4827.9,26258,2342218,5622.9,4997.7,5455.4
2017,45664,405.3109,9276.7093,6135.4173,9590.4284,19780,1820851,3963.934,2051.2415,1403.3174,393.1662,626.1588,4239.9355,25884,2232258,5312.7754,4732.0996,5350.4929
2016,45855,407.4415,8938.1855,5967.9,9468.1539,19496,1863303,3811.1189,1907.2278,1405.8207,378.3201,605.4703,4080.4807,26359,2211112,5127.0675,4562.142,5387.6732
2015,44884,413.2395,8512.228,5709.5221,9276.6537,18937,1911615,3648.2152,1803.1021,1366.0564,337.1983,549.6643,3910.4014,25947,2220780,4864.0133,4343.4656,5366.2523
2014,45508,432.4,8150.6,5453.7,9570.0,18874,1979000,3535.2,1739.2,1333.5,319.9,523.0,4014.2,26634,2345000,4615.3,4120.2,5555.8
2013,45180,456.1878,8061.32118,5430.51778,9473.842,18437,2094185,3527.99,1705.42678,1374.45077,265.5144,439.5387,3880.3242,26743,2467693,4533.33118,4056.06701,5593.5178
2012,40499,454.459,7954.2841,5442.76114,10000.7573,17109,2107502,3534.43884,1617.91349,1476.03171,336.0,548.7,4641.6287,23390,2437088,4419.84526,3966.72943,5359.1286
2011,39002,443.4618,7070.9417,4755.7566,9630.8019,16506,2156638,3261.893,1535.3203,1321.9823,254.3225,426.4094,4279.699,22496,2277980,3809.0487,3433.7743,5351.1029
2010,37308,431.1167,5992.9874,4037.09646,6249.3863,15713,2108179,2797.84297,1309.7602,1143.86846,224.8983,393.2213,2269.6452,21595,2202988,3195.14443,2893.228,3979.7411
2009,35192,400.654,4947.05993,3373.08644,6093.8927,14498,2000484,2260.69973,1041.19403,931.7793,201.6684,351.4658,2308.1091,20694,2006056,2686.3602,2441.30714,3785.7836
2008,37151,400.0366,4824.4296,3246.0579,6171.382,14628,1998667,2231.6117,1064.5796,887.6696,215.5468,379.9867,2256.7984,22523,2001699,2592.8179,2358.3883,3914.5836
2007,25041,341.8,3711.5,2427.02687,5117.9,10971,1744142,1804.28477,851.67481,715.70944,,286.9,1969.6,14070,1673561,1907.21515,1711.31743,3148.3
2006,22091,311.2,3125.5,,,10269,1622808,1551.9,742.2,607.2,,,,11822,1489402,1573.6,1410.6,
2005,19366,287.4,2613.5,,,9444,1529270,1353.3,661.1,507.8,,,,9922,1344263,1260.2,1124.0,
2004,19299,262.1418,2331.0,,,9232,1282173,1170.5,554.7,438.8,,,,10067,1339245,1160.5,1030.8,
2003,,,,,,,,,,,,,,5935,1132733,896.20292,,
2002,,,,,,,,,,,,,,5021,978043,740.3,,
2001,,,,,,,,,,,,,,4132,779370,618.7,,
2000,,,,,,,,,,,,,,3508,664749,528.5,,
